"Weather Records, Gothic, CO",,,,,,,,,,,
,,,"Temp.,","Temp.,",New ,Water,Total,Total,On ,,
197576,C,10,-8.5,5.0,10,0.30,74,,22,,
197576,C,11,-18.0,-6.0,0,0.00,74,,20,,
197576,C,12,-15.0,0.0,0,0.00,74,,18,,
197576,C,13,-13.0,6.0,0,0.00,74,,17,,
197576,C,14,-9.0,9.5,0,0.00,74,,15,,
197576,C,15,-9.0,11.0,0,0.00,74,,15,,
197576,C,16,-6.5,11.5,0,0.00,74,,14,,
197576,C,17,-8.5,11.0,0,0.00,74,,13,,
197576,C,18,-5.0,5.5,6,0.15,80,,18,,
197576,C,19,-5.0,-3.0,0,0.00,80,,17,,
197576,C,21,-18.5,-3.0,0,0.00,80,,16,,
197576,C,22,-13.5,0.0,0,0.00,80,,15,,
197576,C,23,-10.5,-0.5,1,0.03,81,,14,,
197576,C,24,-10.0,-3.0,17,0.50,98,,30,,
197576,C,25,-26.0,-10.0,0,0.00,98,,27,,
197576,C,26,-13.5,-10.0,21,0.42,119,,44,,
197576,C,27,-10.0,-4.0,38,0.83,157,,68,,
197576,C,28,-9.0,-2.0,25,0.46,182,,74,,
197576,C,29,-9.5,12.0,12,0.21,194,,73,,
197576,C,30,-19.0,-10.0,7,0.14,201,,65,,
197576,D,01,-19.0,-4.0,7,0.13,208,,64,,
197576,D,02,-13.0,9.5,0,0.00,208,,58,,
197576,D,03,-16.0,9.0,0,0.00,208,,56,,
197576,D,04,-16.0,5.0,0,0.00,208,,54,,
197576,D,05,-15.5,2.0,0,0.00,208,,53,,
197576,D,06,-13.5,4.0,0,0.00,208,,52,,
197576,D,07,-15.5,2.5,0,0.00,208,,51,,
197576,D,08,-11.0,2.5,0,0.00,208,,51,,
197576,D,09,-13.5,6.5,0,0.00,208,,50,,
197576,D,10,-14.0,9.0,0,0.00,208,,48,,
197576,D,11,-9.5,-0.5,1,0.03,209,,53,,
197576,D,12,-5.5,-1.0,17,0.38,226,,66,,
197576,D,13,-6.0,-4.0,22,0.64,248,,81,,
197576,D,14,-20.5,-6.0,21,0.51,269,,91,,
197576,D,15,-25.0,-4.0,0,0.00,269,,81,,
197576,D,16,-15.5,-1.0,0,0.00,269,,77,,
197576,D,17,-19.0,-5.0,0,0.00,269,,74,,
197576,D,18,-21.5,0.0,0,0.00,269,,71,,
197576,D,19,-22.0,1.0,0,0.00,269,,70,,
197576,D,20,-21.0,-1.0,0,0.00,269,,69,,
197576,D,21,-20.0,-4.0,0,0.00,269,,69,,
197576,D,22,-21.0,-3.5,0,0.00,269,,68,,
197576,D,23,-16.0,-0.5,0,0.00,269,,67,,
197576,D,24,-17.0,-5.0,0,0.00,269,,66,,
197576,D,25,-14.5,-1.0,1,0.05,270,,66,,
197576,D,26,-18.0,-3.5,0,0.00,270,,66,,
197576,D,27,-12.0,-5.0,7,0.27,277,,69,,
197576,D,28,-19.5,-10.5,1,0.04,278,,67,,
197576,D,29,-24.0,-8.0,0,0.00,278,,66,,
197576,D,30,-18.0,-2.5,0,0.00,278,,66,,
197576,D,31,-19.0,-7.0,16,0.29,294,,80,,
197576,E,01,-25.0,-14.0,0,0.00,294,,79,,
197576,E,02,-30.5,-14.5,0,0.00,294,,76,,
197576,E,03,-23.5,-7.0,0,0.00,294,,73,,
197576,E,04,-19.0,-7.0,7,0.06,301,,79,,
197576,E,05,-20.5,-7.0,4,0.04,305,,81,,
197576,E,06,-18.0,-9.0,35,0.56,340,,101,,
197576,E,07,-26.0,-13.0,0,0.00,340,,94,,
197576,E,08,-15.5,-5.5,5,0.12,345,,91,,
197576,E,09,-15.0,2.5,0,0.00,345,,86,,
197576,E,10,-18.0,-5.0,28,0.66,373,,109,,
197576,E,11,-21.5,-6.5,0,0.00,373,,102,,
197576,E,12,-10.5,-5.0,25,0.55,398,,118,,
197576,E,13,-21.0,-7.0,15,0.60,413,,110,,
197576,E,14,-24.0,-6.5,0,0.00,413,,106,,
197576,E,15,-10.0,-1.0,0,0.00,413,,101,,
197576,E,16,-11.0,1.5,0,0.00,413,,96,,
197576,E,17,-15.5,1.0,0,0.00,413,,94,,
197576,E,18,-14.0,4.0,0,0.00,413,,91,,
197576,E,19,-19.5,-1.5,0,0.00,413,,90,,
197576,E,20,-23.5,-1.5,0,0.00,413,,90,,
197576,E,21,-20.5,2.5,0,0.00,413,,89,,
197576,E,22,-20.0,0.5,0,0.00,413,,88,,
197576,E,23,-19.5,1.0,0,0.00,413,,88,,
197576,E,24,-11.5,-4.5,19,0.33,432,,105,,
197576,E,25,-21.0,-7.0,1,0.03,433,,103,,
197576,E,26,-23.0,-9.0,0,0.00,433,,100,,
197576,E,27,-20.5,-4.0,0,0.00,433,,96,,
197576,E,28,-14.5,-0.5,0,0.00,433,,93,,
197576,E,29,-18.0,1.5,0,0.00,433,,92,,
197576,E,30,-16.0,0.0,0,0.00,433,,91,,
197576,E,31,-15.0,0.5,0,0.00,433,,91,,
197576,F,01,-18.5,0.5,0,0.00,433,,91,,
197576,F,02,-9.5,3.0,0,0.00,433,,90,,
197576,F,03,-15.0,1.5,0,0.00,433,,89,,
197576,F,04,-9.0,-4.0,26,0.48,459,,110,,
197576,F,05,-6.0,-3.0,44,0.87,503,,137,,
197576,F,06,-6.0,0.0,33,0.60,536,,151,,
197576,F,07,-10.0,0.5,0,0.00,536,,144,,
197576,F,08,-10.5,1.0,0,0.00,536,,135,,
197576,F,09,-4.5,-2.5,47,1.73,583,,162,,
197576,F,10,-14.0,-4.0,26,0.91,609,,163,,
197576,F,11,-21.0,0.5,0,0.00,609,,156,,
197576,F,12,-20.5,3.5,0,0.00,609,,149,,
197576,F,13,-15.0,4.0,0,0.00,609,,144,,
197576,F,14,-8.0,-1.0,14,0.27,623,,146,,
197576,F,15,-6.0,-0.5,34,0.68,657,,169,,
197576,F,16,-10.5,1.5,14,0.19,671,,170,,
197576,F,17,-15.0,-6.5,16,0.24,687,,175,,
197576,F,18,-12.0,-6.0,18,0.26,705,,177,,
197576,F,19,-10.0,5.0,0,0.00,705,,170,,
197576,F,20,-14.5,-5.0,19,0.26,724,,171,,
197576,F,21,-23.0,-6.5,0,0.00,724,,170,,
197576,F,22,-25.0,-1.0,0,0.00,724,,164,,
197576,F,23,-21.5,0.5,0,0.00,724,,159,,
197576,F,24,-15.5,-0.5,9,0.15,733,,164,,
197576,F,25,-17.0,4.0,0,0.00,733,,157,,
197576,F,26,-15.5,6.0,0,0.00,733,,152,,
197576,F,27,-16.0,6.5,0,0.00,733,,148,,
197576,F,28,-13.5,4.0,0,0.00,733,,145,,
197576,F,29,-9.5,7.0,0,0.00,733,,142,,
197576,G,01,-3.0,2.0,30,0.56,763,,161,,
197576,G,02,-6.0,-2.5,43,1.06,806,,173,,
197576,G,03,-10.0,-2.5,7,0.15,813,,168,,
197576,G,04,-12.0,-5.5,6,0.12,819,,170,,
197576,G,05,-16.5,-5.5,10,0.27,829,,168,,
197576,G,06,-21.0,-4.0,0,0.00,829,,164,,
197576,G,07,-14.0,0.0,0,0.00,829,,160,,
197576,G,08,-14.0,1.0,0,0.00,829,,157,,
197576,G,09,-13.5,1.0,0,0.00,829,,155,,
197576,G,10,-18.0,2.0,0,0.00,829,,152,,
197576,G,11,-10.0,-2.5,10,0.33,839,,162,,
197576,G,12,-14.5,-6.5,4,0.12,843,,162,,
197576,G,13,-21.0,-4.0,0,0.00,843,,161,,
197576,G,14,-14.0,1.0,6,0.13,849,,165,,
197576,G,15,-11.5,-4.0,6,0.14,855,,165,,
197576,G,16,-16.5,-3.5,0,0.00,855,,163,,
197576,G,17,-12.5,1.0,0,0.00,855,,157,,
197576,G,18,-9.0,5.0,0,0.00,855,,153,,
197576,G,19,-14.0,-0.5,3,0.15,858,,155,,
197576,G,20,-15.0,-5.0,0,0.00,858,,154,,
197576,G,21,-12.0,-3.5,0,0.00,858,,152,,
197576,G,22,-14.5,2.5,0,0.00,858,,150,,
197576,G,23,-13.0,4.5,0,0.00,858,,149,,
197576,G,24,-4.5,6.0,0,0.00,858,,146,,
197576,G,25,-9.5,5.0,3,0.10,861,,147,,
197576,G,26,-13.5,-3.0,0,0.00,861,,144,,
197576,G,27,-17.0,2.0,0,0.00,861,,142,,
197576,G,28,-11.5,-3.5,4,0.07,865,,145,,
197576,G,29,-14.0,-6.0,0,0.00,865,,144,,
197576,G,30,-14.5,-2.5,0,0.00,865,,142,,
197576,G,31,-16.0,5.5,0,0.00,865,,142,,
197576,H,01,-12.5,6.0,0,0.00,865,,137,,
197576,H,02,-8.0,9.0,0,0.00,865,,130,,
197576,H,03,-12.0,11.0,0,0.00,865,,128,,
197576,H,04,-7.5,8.5,0,0.00,865,,124,,
197576,H,05,-8.0,4.0,0,0.00,865,,122,,
197576,H,06,-8.0,0.0,7,0.17,872,,123,,
197576,H,07,-4.5,1.5,16,0.28,888,,127,,
197576,H,08,-11.5,6.5,0,0.00,888,,121,,
197576,H,09,-7.5,8.0,0,0.00,888,,116,,
197576,H,10,-10.5,10.0,0,0.00,888,,114,,
197576,H,11,-9.5,11.5,0,0.00,888,,110,,
197576,H,12,-6.0,5.0,8,0.21,896,,114,,
197576,H,13,-1.5,2.5,4,0.12,900,,116,,
197576,H,14,-6.0,2.0,1,0.04,901,,112,,
197576,H,15,-7.0,1.5,1,0.03,902,,110,,
197576,H,16,-6.0,4.0,11,0.18,913,,113,,
197576,H,17,-9.0,0.0,4,0.09,917,,114,,
197576,H,18,-10.0,1.0,13,0.34,930,,126,,
197576,H,19,-10.0,2.5,2,0.05,932,,113,,
197576,H,20,-9.5,5.0,0,0.00,932,,110,,
197576,H,21,-8.0,7.0,0,0.00,932,,107,,
197576,H,22,-8.0,8.0,1,0.04,933,,103,,
197576,H,23,-5.5,2.0,12,0.21,945,,109,,
197576,H,24,-10.5,4.5,0,0.00,945,,104,,
197576,H,25,-9.0,7.0,0,0.00,945,,100,,
197576,H,26,-6.0,4.0,0,0.00,945,,98,,
197576,H,27,-11.0,6.0,0,0.00,945,,93,,
197576,H,28,-4.5,8.5,0,0.00,945,,86,,
197576,H,29,-4.0,8.5,0,0.00,945,,83,,
197576,H,30,-5.0,1.5,1,0.01,946,,80,,
197576,I,01,-10.5,8.0,0,0.00,946,,76,,
197576,I,02,-7.5,11.0,0,0.00,946,,69,,
197576,I,03,-5.5,12.0,0,0.00,946,,66,,
197576,I,04,-0.5,6.0,1,0.03,947,,64,,
197576,I,05,-4.5,8.0,1,0.04,948,,58,,
197576,I,06,-2.0,5.0,1,0.03,949,,56,,
197576,I,07,-0.5,6.0,4,0.10,953,,53,,
197576,I,08,-0.5,6.0,1,0.03,954,,51,,
197576,I,09,-1.5,6.0,1,0.04,955,,41,,
197576,I,10,-5.0,13.0,0,0.00,955,,36,,
197576,I,11,-3.0,9.5,1,0.03,956,,32,,
197576,I,12,-4.0,4.0,0,0.00,956,,22,,
197576,I,13,-4.5,10.5,0,0.00,956,,15,,
197576,I,14,-1.5,19.0,0,0.00,956,,5,,
197576,I,15,-1.0,18.5,0,0.00,956,,0,,
197576,I,16,-4.5,18.0,0,0.00,956,,0,,
197576,I,17,-1.5,20.5,0,0.00,956,,0,,
197576,I,18,0.5,21.0,0,0.00,956,,0,,
197576,I,19,0.0,16.0,0,0.00,956,,0,,
197576,I,20,0.5,15.5,0,0.00,956,,0,,
197576,I,21,2.0,10.0,0,0.00,956,,0,,
197576,I,22,1.5,8.0,2,0.05,958,,0,,
197576,I,23,0.5,7.0,1,0.03,959,,0,,
197576,I,24,-1.5,12.0,0,0.00,959,,0,,
197576,I,25,-1.5,13.5,1,0.04,960,,0,,
197576,I,26,-0.5,14.5,0,0.00,960,,0,,
197576,I,27,-1.5,20.0,0,0.00,960,,0,,
197576,I,28,-0.5,18.5,0,0.00,960,,0,,
197576,I,29,-0.5,20.5,0,0.00,960,,0,,
197576,I,30,-1.0,18.5,0,0.00,960,,0,,
197576,J,14,,,4,0.11,964,,0,,
197576,J,17,,,2,0.06,966,,0,,
197677,A,26,,,5,0.13,5,,2,,
197677,A,27,,,1,0.03,6,,1,,
197677,B,06,,,3,0.07,9,,1,,
197677,B,19,,,1,0.04,10,,0,,
197677,B,24,,,8,0.22,18,,6,,
197677,B,26,,,5,0.14,23,,3,,
197677,B,27,,,1,0.03,24,,1,,
197677,C,01,-9.0,16.5,0,0.00,24,,0,,
197677,C,02,-8.5,15.0,0,0.00,24,,0,,
197677,C,03,-4.0,10.0,0,0.00,24,,0,,
197677,C,04,-10.0,15.5,0,0.00,24,,0,,
197677,C,05,-8.5,18.0,0,0.00,24,,0,,
197677,C,06,-9.5,13.0,0,0.00,24,,0,,
197677,C,07,-7.5,18.0,0,0.00,24,,0,,
197677,C,08,-9.5,14.0,0,0.00,24,,0,,
197677,C,09,-10.5,13.0,0,0.00,24,,0,,
197677,C,10,-11.5,11.0,0,0.00,24,,0,,
197677,C,11,-11.0,11.5,0,0.00,24,,0,,
197677,C,12,-12.0,3.5,0,0.00,24,,0,,
197677,C,13,-7.0,-1.0,9,0.15,33,,5,,
197677,C,14,-8.5,-3.0,29,0.55,62,,29,,
197677,C,15,-16.0,1.0,2,0.04,64,,19,,
197677,C,16,-13.0,-1.0,6,0.09,70,,18,,
197677,C,17,-14.0,4.0,0,0.00,70,,13,,
197677,C,18,-10.5,8.5,0,0.00,70,,9,,
197677,C,19,-11.0,6.5,0,0.00,70,,8,,
197677,C,20,-10.5,4.0,0,0.00,70,,8,,
197677,C,21,-9.5,4.5,0,0.00,70,,8,,
197677,C,22,-12.0,4.5,0,0.00,70,,7,,
197677,C,23,-11.5,7.0,0,0.00,70,,7,,
197677,C,24,-14.5,7.0,0,0.00,70,,7,,
197677,C,25,-13.0,3.0,0,0.00,70,,6,,
197677,C,26,-20.5,-7.0,10,0.17,80,,15,,
197677,C,27,-25.5,-14.0,1,0.02,81,,14,,
197677,C,28,-30.5,-11.5,0,0.00,81,,13,,
197677,C,29,-19.5,-8.0,0,0.00,81,,12,,
197677,C,30,-18.5,-2.0,0,0.00,81,,12,,
197677,D,01,-16.5,-2.0,3,0.05,84,,13,,
197677,D,02,-18.5,1.0,0,0.00,84,,12,,
197677,D,03,-16.5,-1.0,0,0.00,84,,12,,
197677,D,04,-18.5,-1.0,0,0.00,84,,12,,
197677,D,05,-8.0,-2.5,6,0.13,90,,17,,
197677,D,06,-20.5,-9.0,0,0.00,90,,15,,
197677,D,07,-14.5,-1.5,1,0.03,91,,15,,
197677,D,08,-13.0,5.0,0,0.00,91,,13,,
197677,D,09,-14.0,1.0,0,0.00,91,,13,,
197677,D,10,-17.5,1.0,0,0.00,91,,13,,
197677,D,11,-19.5,0.5,0,0.00,91,,13,,
197677,D,12,-16.5,3.0,0,0.00,91,,13,,
197677,D,13,-18.0,3.0,0,0.00,91,,12,,
197677,D,14,-17.0,3.5,0,0.00,91,,12,,
197677,D,15,-15.5,3.0,0,0.00,91,,12,,
197677,D,16,-18.5,4.5,0,0.00,91,,12,,
197677,D,17,-15.0,5.5,0,0.00,91,,12,,
197677,D,18,-17.0,3.0,0,0.00,91,,12,,
197677,D,19,-18.0,-0.5,0,0.00,91,,12,,
197677,D,20,-22.0,-0.5,0,0.00,91,,12,,
197677,D,21,-21.0,-0.5,0,0.00,91,,12,,
197677,D,22,-21.5,-1.5,0,0.00,91,,12,,
197677,D,23,-19.0,0.5,0,0.00,91,,11,,
197677,D,24,-14.5,-3.0,0,0.00,91,,11,,
197677,D,25,-16.0,-6.5,0,0.00,91,,11,,
197677,D,26,-17.0,3.5,0,0.00,91,,11,,
197677,D,27,-11.0,0.0,0,0.00,91,,11,,
197677,D,28,-12.5,-1.5,0,0.00,91,,11,,
197677,D,29,-18.0,0.0,0,0.00,91,,11,,
197677,D,30,-16.5,-3.0,0,0.00,91,,11,,
197677,D,31,-11.5,-7.0,8,0.14,99,,17,,
197677,E,01,-13.0,-5.0,5,0.10,104,,18,,
197677,E,02,-10.0,-6.0,8,0.15,112,,22,,
197677,E,03,-11.5,-6.5,26,0.59,138,,38,,
197677,E,04,-17.5,-8.0,21,0.47,159,,53,,
197677,E,05,-25.5,-8.0,5,0.10,164,,50,,
197677,E,06,-23.0,-8.0,4,0.08,168,,46,,
197677,E,07,-25.5,-5.5,0,0.00,168,,42,,
197677,E,08,-26.5,-10.5,3,0.14,171,,43,,
197677,E,09,-21.0,-13.5,0,0.00,171,,43,,
197677,E,10,-24.0,-6.5,0,0.00,171,,43,,
197677,E,11,-22.0,-5.0,0,0.00,171,,42,,
197677,E,12,-24.0,-3.0,0,0.00,171,,41,,
197677,E,13,-21.0,-4.5,0,0.00,171,,40,,
197677,E,14,-23.0,-4.5,0,0.00,171,,39,,
197677,E,15,-21.0,-4.5,0,0.00,171,,39,,
197677,E,16,-16.5,-6.5,2,0.02,173,,39,,
197677,E,17,-11.0,-1.5,1,0.02,174,,39,,
197677,E,18,-8.0,2.5,0,0.00,174,,38,,
197677,E,19,-10.5,3.5,0,0.00,174,,37,,
197677,E,20,-18.0,2.0,0,0.00,174,,34,,
197677,E,21,-13.0,5.0,0,0.00,174,,34,,
197677,E,22,-9.0,-1.0,9,0.12,183,,38,,
