"Accepted Symbol","Synonym Symbol","Scientific Name"
"ALAEA","","Alopecurus aequalis var. aequalis"
"ALAES","","Alopecurus aequalis var. sonomensis"
"ALAR","","Alopecurus arundinaceus"
"ALBR12","","Alopecurus brachystachus"
"ALBU3","","Alopecurus bulbosus"
"ALCA4","","Alopecurus carolinianus"
"ALCR7","","Alopecurus creticus"
"ALDA3","","Alopecurus dasyanthus"
"ALGE2","","Alopecurus geniculatus"
"ALGEG4","","Alopecurus geniculatus var. geniculatus"
"ALMA8","","Alopecurus magellanicus"
"ALMY","","Alopecurus myosuroides"
"ALPR3","","Alopecurus pratensis"
"ALRE3","","Alopecurus rendlei"
"ALSA3","","Alopecurus saccatus"
"ALUT2","","Alopecurus utriculatus"
"ALVA6","","Alopecurus vaginatus"
"AMMU5","","Amblyopyrum muticum"
"AMBA8","","×Ammocalamagrostis baltica"
"AMAR4","","Ammophila arenaria"
"AMARA6","","Ammophila arenaria ssp. arundinacea"
"AMBR","","Ammophila breviligulata"
"AMCH6","","Ammophila champlainensis"
"AMMA5","","Ampelodesmos mauritanicus"
"AMNE4","","Amphibromus neesii"
"AMSC4","","Amphibromus scabrivalvis"
"AMMU2","","Amphicarpum muehlenbergianum"
"AMPU6","","Amphicarpum purshii"
"ANUN4","","Ancistrachne uncinulata"
"ANAR2","","Andropogon arctatus"
"ANBI","","Andropogon bicornis"
"ANBR2","","Andropogon brachystachyus"
"ANCA4","","Andropogon capillipes"
"ANFL","","Andropogon floridanus"
"ANFR4","","Andropogon fragilis"
"ANGA3","","Andropogon gayanus"
"ANGE","","Andropogon gerardii"
"ANGL10","","Andropogon glaucopsis"
"ANGL2","","Andropogon glomeratus"
"ANGLG2","","Andropogon glomeratus var. glomeratus"
"ANGLH","","Andropogon glomeratus var. hirsutior"
"ANGLP","","Andropogon glomeratus var. pumilus"
"ANGLS","","Andropogon glomeratus var. scabriglumis"
"ANGR5","","Andropogon gracilis"
"ANGY2","","Andropogon gyrans"
"ANGYG","","Andropogon gyrans var. gyrans"
"ANGYS","","Andropogon gyrans var. stenophyllus"
"ANHA","","Andropogon hallii"
"ANLA15","","Andropogon lateralis"
"ANLE","","Andropogon leucostachyus"
"ANLO2","","Andropogon longiberbis"
"ANMO3","","Andropogon mohrii"
"ANTE2","","Andropogon ternarius"
"ANTEC","","Andropogon ternarius var. cabanisii"
"ANTET","","Andropogon ternarius var. ternarius"
"ANTR","","Andropogon tracyi"
"ANVI2","","Andropogon virginicus"
"ANVID","","Andropogon virginicus var. decipiens"
"ANVIV","","Andropogon virginicus var. virginicus"
"ANRU","","Anthaenantia rufa"
"ANVI4","","Anthaenantia villosa"
"ANHE3","","Anthephora hermaphrodita"
"ANPU15","","Anthephora pubescens"
"ANAR7","","Anthoxanthum aristatum"
"ANMO7","","Anthoxanthum monticola"
"ANMOA3","","Anthoxanthum monticola ssp. alpinum"
"ANMOM2","","Anthoxanthum monticola ssp. monticola"
"ANOD","","Anthoxanthum odoratum"
"ANODO2","","Anthoxanthum odoratum ssp. odoratum"
"APIN","","Apera interrupta"
"APSP","","Apera spica-venti"
"APMU2","","Apluda mutica"
"ARLA2","","Arctagrostis latifolia"
"ARLAA5","","Arctagrostis latifolia ssp. arundinacea"
"ARLAL6","","Arctagrostis latifolia ssp. latifolia"
"ARSC6","","×Arctodupontia scleroclada"
"ARFU2","","Arctophila fulva"
"ARAD","","Aristida adscensionis"
"ARAR6","","Aristida arizonica"
"ARBA2","","Aristida basiramea"
"ARBE7","","Aristida beyrichiana"
"ARCA9","","Aristida californica"
"ARCAC8","","Aristida californica var. californica"
"ARCAG","","Aristida californica var. glabrata"
"ARCH4","","Aristida chaseae"
"ARCO10","","Aristida cognata"
"ARCO7","","Aristida condensata"
"ARCO34","","Aristida contorta"
"ARDE3","","Aristida desmantha"
"ARDI4","","Aristida dichotoma"
"ARDIC","","Aristida dichotoma var. curtissii"
"ARDID","","Aristida dichotoma var. dichotoma"
"ARDI25","","Aristida diffusa"
"ARDI5","","Aristida divaricata"
"ARFL","","Aristida floridana"
"ARGY4","","Aristida gypsophila"
"ARGY","","Aristida gyrans"
"ARHA3","","Aristida havardii"
"ARLA6","","Aristida lanosa"
"ARLO16","","Aristida longespica"
"ARLOG6","","Aristida longespica var. geniculata"
"ARLOL3","","Aristida longespica var. longespica"
"ARMO3","","Aristida mohrii"
"AROL","","Aristida oligantha"
"ARPA26","","Aristida palustris"
"ARPA9","","Aristida pansa"
"ARPA11","","Aristida patula"
"ARPO3","","Aristida portoricensis"
"ARPU8","","Aristida purpurascens"
"ARPUP4","","Aristida purpurascens var. purpurascens"
"ARPUT","","Aristida purpurascens var. tenuispica"
"ARPUV","","Aristida purpurascens var. virgata"
"ARPU9","","Aristida purpurea"
"ARPUF","","Aristida purpurea var. fendleriana"
"ARPUL","","Aristida purpurea var. longiseta"
"ARPUN","","Aristida purpurea var. nealleyi"
"ARPUP5","","Aristida purpurea var. parishii"
"ARPUP9","","Aristida purpurea var. perplexa"
"ARPUP6","","Aristida purpurea var. purpurea"
"ARPUW","","Aristida purpurea var. wrightii"
"ARRA2","","Aristida ramosissima"
"ARRE4","","Aristida refracta"
"ARRH","","Aristida rhizomophora"
"ARSC3","","Aristida schiedeana"
"ARSCO","","Aristida schiedeana var. orcuttiana"
"ARSI3","","Aristida simpliciflora"
"ARSP3","","Aristida spiciformis"
"ARST5","","Aristida stricta"
"ARSU6","","Aristida suringarii"
"ARSW","","Aristida swartziana"
"ARTE3","","Aristida ternipes"
"ARTEG","","Aristida ternipes var. gentilis"
"ARTET","","Aristida ternipes var. ternipes"
"ARTU","","Aristida tuberculosa"
"ARAL28","","Arrhenatherum album"
"AREL3","","Arrhenatherum elatius"
"ARELB","","Arrhenatherum elatius var. bulbosum"
"ARELE","","Arrhenatherum elatius var. elatius"
"ARKO80","","Arrhenatherum kotschyi"
"ARLO14","","Arrhenatherum longifolium"
"ARPA34","","Arrhenatherum palaestinum"
"ARCA34","","Arthraxon castratus"
"ARHI3","","Arthraxon hispidus"
"ARFA8","","Arthrostylidium farctum"
"ARMU2","","Arthrostylidium multispicatum"
"ARSA6","","Arthrostylidium sarmentosum"
"ARAM6","","Arundinaria amabilis"
"ARAP4","","Arundinaria appalachiana"
"ARGI","","Arundinaria gigantea"
"ARPY8","","Arundinaria pygmaea"
"ARTE4","","Arundinaria tecta"
"ARVI19","","Arundinaria viridistriata"
"ARHI8","","Arundinella hirta"
"ARHI10","","Arundinella hispida"
"ARNE12","","Arundinella nepalensis"
"ARDO4","","Arundo donax"
"ASEL15","","Astrebla elymoides"
"ASLA22","","Astrebla lappacea"
"ASPE20","","Astrebla pectinata"
"AUSC","","Austrostipa scabra"
"AUSCF","","Austrostipa scabra ssp. falcata"
"AVMI","","Avellinia michelii"
"AVAB","","Avena abyssinica"
"AVBA","","Avena barbata"
"AVBR2","","Avena brevis"
"AVFA","","Avena fatua"
"AVHY","","Avena hybrida"
"AVMA","","Avena maroccana"
"AVNU2","","Avena nuda"
"AVOC","","Avena occidentalis"
"AVSA","","Avena sativa"
"AVST","","Avena sterilis"
"AVSTL3","","Avena sterilis ssp. ludoviciana"
"AVST2","","Avena strigosa"
"AVHO3","","Avenula hookeri"
"AVPU2","","Avenula pubescens"
"AXAU","","Axonopus aureus"
"AXCO","","Axonopus compressus"
"AXFI","","Axonopus fissifolius"
"AXFU","","Axonopus furcatus"
"AXMI","","Axonopus micay"
"AXPU","","Axonopus purpusii"
"AXSC","","Axonopus scoparius"
"AXSI","","Axonopus siccus"
"AXSU2","","Axonopus suffultus"
"BAAR8","","Bambusa arundinacea"
"BABA8","","Bambusa bambos"
"BABE2","","Bambusa beecheyana"
"BABL2","","Bambusa blumeana"
"BALO3","","Bambusa longifolia"
"BALO4","","Bambusa longispiculata"
"BAMU2","","Bambusa multiplex"
"BAOL","","Bambusa oldhamii"
"BAPO6","","Bambusa polymorpha"
"BATE6","","Bambusa textilis"
"BATU","","Bambusa tulda"
"BATU2","","Bambusa tuldoides"
"BAVU2","","Bambusa vulgaris"
"BESY","","Beckmannia syzigachne"
"BLBI","","Blepharidachne bigelovii"
"BLKI","","Blepharidachne kingii"
"BLTR","","Blepharoneuron tricholepis"
"BLRU","","Blysmus rufus"
"BOFL3","","Bolboschoenus fluviatilis"
"BOGL9","","Bolboschoenus glaucus"
"BOMA7","","Bolboschoenus maritimus"
"BOMAM","","Bolboschoenus maritimus ssp. maritimus"
"BOMAP4","","Bolboschoenus maritimus ssp. paludosus"
"BONO","","Bolboschoenus novae-angliae"
"BORO5","","Bolboschoenus robustus"
"BOFU","","Borinda fungosa"
"BOAL3","","Bothriochloa alta"
"BOAM3","","Bothriochloa ambigua"
"BOBA3","","Bothriochloa barbinodis"
"BOBL","","Bothriochloa bladhii"
"BOBLG","","Bothriochloa bladhii ssp. glabra"
"BODE8","","Bothriochloa decipiens"
"BOED","","Bothriochloa edwardsiana"
"BOER7","","Bothriochloa erianthoides"
"BOEX","","Bothriochloa exaristata"
"BOHY","","Bothriochloa hybrida"
"BOIN6","","Bothriochloa insculpta"
"BOIS","","Bothriochloa ischaemum"
"BOISI","","Bothriochloa ischaemum var. ischaemum"
"BOISS","","Bothriochloa ischaemum var. songarica"
"BOLA2","","Bothriochloa laguroides"
"BOLAL2","","Bothriochloa laguroides ssp. laguroides"
"BOLAT","","Bothriochloa laguroides ssp. torreyana"
"BOLO","","Bothriochloa longipaniculata"
"BOPE2","","Bothriochloa pertusa"
"BOSA","","Bothriochloa saccharoides"
"BOSP3","","Bothriochloa springfieldii"
"BOWR2","","Bothriochloa wrightii"
"BOAM2","","Bouteloua americana"
"BOAR","","Bouteloua aristidoides"
"BOARA","","Bouteloua aristidoides var. aristidoides"
"BOARA2","","Bouteloua aristidoides var. arizonica"
"BOBA2","","Bouteloua barbata"
"BOBR","","Bouteloua breviseta"
"BOCH","","Bouteloua chondrosioides"
"BOCU","","Bouteloua curtipendula"
"BOCUC","","Bouteloua curtipendula var. caespitosa"
"BOCUC2","","Bouteloua curtipendula var. curtipendula"
"BODA2","","Bouteloua dactyloides"
"BODI6","","Bouteloua dimorpha"
"BODI7","","Bouteloua diversispicula"
"BOEL","","Bouteloua eludens"
"BOER4","","Bouteloua eriopoda"
"BOGR2","","Bouteloua gracilis"
"BOHI2","","Bouteloua hirsuta"
"BOHIH","","Bouteloua hirsuta var. hirsuta"
"BOHIP","","Bouteloua hirsuta var. pectinata"
"BOJU","","Bouteloua juncea"
"BOKA","","Bouteloua kayi"
"BOPA2","","Bouteloua parryi"
"BORA","","Bouteloua radicosa"
"BORA4","","Bouteloua ramosa"
"BORE2","","Bouteloua repens"
"BORI","","Bouteloua rigidiseta"
"BORO2","","Bouteloua rothrockii"
"BOSI2","","Bouteloua simplex"
"BOTR2","","Bouteloua trifida"
"BOTRB","","Bouteloua trifida var. burkii"
"BOTRT","","Bouteloua trifida var. trifida"
"BOUN","","Bouteloua uniflora"
"BOWA","","Bouteloua warnockii"
"BRER","","Brachiaria eruciformis"
"BRMO6","","Brachiaria mollis"
"BRNI5","","Brachiaria nigropedata"
"BRSE8","","Brachiaria serrata"
"BRCO15","","Brachyachne convergens"
"BRAR9","","Brachyelytrum aristosum"
"BRER2","","Brachyelytrum erectum"
"BRDI2","","Brachypodium distachyon"
"BRPH3","","Brachypodium phoenicoides"
"BRPI","","Brachypodium pinnatum"
"BRRE9","","Brachypodium retusum"
"BRRU9","","Brachypodium rupestre"
"BRRUC2","","Brachypodium rupestre ssp. caespitosum"
"BRSY","","Brachypodium sylvaticum"
"BRHU4","","Briza humilis"
"BRLA21","","Briza lamarckiana"
"BRMA","","Briza maxima"
"BRME","","Briza media"
"BRMEE","","Briza media ssp. elatior"
"BRMI2","","Briza minor"
"BRSU15","","Briza subaristata"
"BRUN5","","Briza uniolae"
"BRTA","","Bromidium tandilense"
"BRAL6","","Bromus aleutensis"
"BRAL2","","Bromus alopecuros"
"BRAN","","Bromus anomalus"
"BRAR3","","Bromus arenarius"
"BRAR4","","Bromus arizonicus"
"BRAR5","","Bromus arvensis"
"BRAU4","","Bromus auleticus"
"BRBA4","","Bromus barcensis"
"BRBE6","","Bromus berteroanus"
"BRBI2","","Bromus biebersteinii"
"BRBR14","","Bromus brachyanthera"
"BRBRU","","Bromus brachyanthera ssp. uruguayensis"
"BRBR12","","Bromus brachystachys"
"BRBR5","","Bromus briziformis"
"BRBR13","","Bromus bromoideus"
"BRCA27","","Bromus cappadocicus"
"BRCA5","","Bromus carinatus"
"BRCA6","","Bromus catharticus"
"BRCI2","","Bromus ciliatus"
"BRCIC3","","Bromus ciliatus var. ciliatus"
"BRCIR","","Bromus ciliatus var. richardsonii"
"BRDA80","","Bromus danthoniae"
"BRDI3","","Bromus diandrus"
"BRDID2","","Bromus diandrus ssp. diandrus"
"BRDIR","","Bromus diandrus ssp. rigidus"
"BRER3","","Bromus erectus"
"BRFR2","","Bromus frondosus"
"BRGR4","","Bromus grandis"
"BRGR5","","Bromus grossus"
"BRHO2","","Bromus hordeaceus"
"BRHOD","","Bromus hordeaceus ssp. divaricatus"
"BRHOF","","Bromus hordeaceus ssp. ferronii"
"BRHOH","","Bromus hordeaceus ssp. hordeaceus"
"BRHOP","","Bromus hordeaceus ssp. pseudothominii"
"BRHOT","","Bromus hordeaceus ssp. thominei"
"BRIN2","","Bromus inermis"
"BRINI","","Bromus inermis ssp. inermis"
"BRIND","","Bromus inermis ssp. inermis var. divaricatus"
"BRINI2","","Bromus inermis ssp. inermis var. inermis"
"BRINP","","Bromus inermis ssp. pumpellianus"
"BRINA","","Bromus inermis ssp. pumpellianus var. arcticus"
"BRINP5","","Bromus inermis ssp. pumpellianus var. pumpellianus"
"BRIN13","","Bromus intermedius"
"BRIN14","","Bromus interruptus"
"BRKA2","","Bromus kalmii"
"BRLA3","","Bromus laevipes"
"BRLA6","","Bromus lanatipes"
"BRLA7","","Bromus lanceolatus"
"BRLAL","","Bromus lanceolatus var. lanuginosus"
"BRLA4","","Bromus latiglumis"
"BRLE5","","Bromus lepidus"
"BRMA3","","Bromus madritensis"
"BRMA8","","Bromus mango"
"BRMA4","","Bromus marginatus"
"BRMA5","","Bromus maritimus"
"BRMU4","","Bromus mucroglumis"
"BRNO","","Bromus nottowayanus"
"BROR2","","Bromus orcuttianus"
"BROX3","","Bromus oxyodon"
"BRPA3","","Bromus pacificus"
"BRPA18","","Bromus pannonicus"
"BRPE10","","Bromus pectinatus"
"BRPO","","Bromus polyanthus"
"BRPOP","","Bromus polyanthus var. paniculatus"
"BRPOP2","","Bromus polyanthus var. polyanthus"
"BRPO2","","Bromus porteri"
"BRPS9","","Bromus pseudodanthoniae"
"BRPS","","Bromus pseudolaevipes"
"BRPU6","","Bromus pubescens"
"BRRA2","","Bromus racemosus"
"BRRA3","","Bromus ramosus"
"BRRAB","","Bromus ramosus ssp. benekenii"
"BRRI7","","Bromus riparius"
"BRRU2","","Bromus rubens"
"BRSC3","","Bromus scoparius"
"BRSE","","Bromus secalinus"
"BRSED","","Bromus secalinus var. decipiens"
"BRSES","","Bromus secalinus var. secalinus"
"BRSE10","","Bromus setifolius"
"BRSEB","","Bromus setifolius var. brevifolius"
"BRSI","","Bromus sitchensis"
"BRSQ2","","Bromus squarrosus"
"BRSQV2","","Bromus squarrosus var. villosus"
"BRST3","","Bromus stamineus"
"BRST10","","Bromus stenostachyus"
"BRST2","","Bromus sterilis"
"BRSU4","","Bromus subvelutinus"
"BRSU2","","Bromus suksdorfii"
"BRSY3","","Bromus syriacus"
"BRTE","","Bromus tectorum"
"BRTE2","","Bromus texensis"
"BRTO5","","Bromus tomentellus"
"BRTO6","","Bromus tomentosus"
"BRVA4","","Bromus variegatus"
"BRVU","","Bromus vulgaris"
"BUAN","","Bulbostylis antillana"
"BUBA","","Bulbostylis barbata"
"BUCA2","","Bulbostylis capillaris"
"BUCAC","","Bulbostylis capillaris ssp. capillaris"
"BUCAI2","","Bulbostylis capillaris ssp. insulana"
"BUCI","","Bulbostylis ciliatifolia"
"BUCIC2","","Bulbostylis ciliatifolia var. ciliatifolia"
"BUCIC","","Bulbostylis ciliatifolia var. coarctata"
"BUCU","","Bulbostylis curassavica"
"BUFU","","Bulbostylis funckii"
"BUHI","","Bulbostylis hirta"
"BUJU","","Bulbostylis juncoides"
"BUPA","","Bulbostylis pauciflora"
"BUSC2","","Bulbostylis schaffneri"
"BUST7","","Bulbostylis stenocarpa"
"BUST","","Bulbostylis stenophylla"
"BUSU6","","Bulbostylis subaphylla"
"BUVE","","Bulbostylis vestita"
"BUWA","","Bulbostylis warei"
"CAAC19","","Calamagrostis ×acutiflora"
"CAKO7","","Calamagrostis ×kolymensis"
"CAAL33","","Calamagrostis alba"
"CAAR45","","Calamagrostis arundinacea"
"CAAV","","Calamagrostis avenoides"
"CABO","","Calamagrostis bolanderi"
"CABR","","Calamagrostis breweri"
"CACA2","","Calamagrostis cainii"
"CACA4","","Calamagrostis canadensis"
"CACAC10","","Calamagrostis canadensis var. canadensis"
"CACAL3","","Calamagrostis canadensis var. langsdorffii"
"CACAM","","Calamagrostis canadensis var. macouniana"
"CACA80","","Calamagrostis canescens"
"CACO71","","Calamagrostis coarctata"
"CADE3","","Calamagrostis deschampsioides"
"CAEP","","Calamagrostis epigeios"
"CAEPE2","","Calamagrostis epigeios ssp. epigeios"
"CAEPG","","Calamagrostis epigeios ssp. glomerata"
"CAEPM3","","Calamagrostis epigeios ssp. macrolepis"
"CAEPM4","","Calamagrostis epigeios ssp. meinshausenii"
"CAEX","","Calamagrostis expansa"
"CAFO","","Calamagrostis foliosa"
"CAHI","","Calamagrostis hillebrandii"
"CAHO","","Calamagrostis holmii"
"CAHO2","","Calamagrostis howellii"
"CAKO","","Calamagrostis koelerioides"
"CALA6","","Calamagrostis lapponica"
"CALE56","","Calamagrostis leonardii"
"CAMO","","Calamagrostis montanensis"
"CAMU15","","Calamagrostis muiriana"
"CANU","","Calamagrostis nutkaensis"
"CAOP2","","Calamagrostis ophitidis"
"CAPE10","","Calamagrostis perplexa"
"CAPI","","Calamagrostis pickeringii"
"CAPO3","","Calamagrostis porteri"
"CAPOI","","Calamagrostis porteri ssp. insperata"
"CAPOP","","Calamagrostis porteri ssp. porteri"
"CAPS10","","Calamagrostis pseudophragmites"
"CAPU","","Calamagrostis purpurascens"
"CAPUP7","","Calamagrostis purpurascens var. purpurascens"
"CAPU47","","Calamagrostis purpurea"
"CAPUP6","","Calamagrostis purpurea ssp. phragmitoides"
"CARU","","Calamagrostis rubescens"
"CASC","","Calamagrostis scopulorum"
"CASE24","","Calamagrostis sesquiflora"
"CAST36","","Calamagrostis stricta"
"CASTI3","","Calamagrostis stricta ssp. inexpansa"
"CASTS5","","Calamagrostis stricta ssp. stricta"
"CASTB4","","Calamagrostis stricta ssp. stricta var. borealis"
"CASTS8","","Calamagrostis stricta ssp. stricta var. stricta"
"CATA6","","Calamagrostis tacomensis"
"CATW","","Calamagrostis tweedyi"
"CAVA10","","Calamagrostis varia"
"CAVI28","","Calamagrostis viridiflavescens"
"CAVIM2","","Calamagrostis viridiflavescens var. montevidensis"
"CADO7","","×Calammophila don-hensonii"
"CAAR12","","Calamovilfa arcuata"
"CABR2","","Calamovilfa brevipilis"
"CACU","","Calamovilfa curtissii"
"CAGI3","","Calamovilfa gigantea"
"CALO","","Calamovilfa longifolia"
"CALOL2","","Calamovilfa longifolia var. longifolia"
"CALOM","","Calamovilfa longifolia var. magna"
"CALLI16","","Calliscirpus"
"CABR30","","Calliscirpus brachythrix"
"CACR29","","Calliscirpus criniger"
"CAGR36","","Calyptochloa gracillima"
"CAAB7","","Carex ×abitibiana"
"CAAE3","","Carex ×aestivaliformis"
"CAAR48","","Carex ×arctophila"
"CACA22","","Carex ×caesariensis"
"CACA90","","Carex ×calderi"
"CACA43","","Carex ×cayouettei"
"CACL10","","Carex ×clausa"
"CACO42","","Carex ×connectens"
"CACR20","","Carex ×crinitoides"
"CADE13","","Carex ×deamii"
"CADU14","","Carex ×dumanii"
"CAEX12","","Carex ×exsalina"
"CAFI7","","Carex ×firmior"
"CAFL21","","Carex ×flavicans"
"CAFU16","","Carex ×fulva"
"CAGR40","","Carex ×grantii"
"CAGR20","","Carex ×groenlandica"
"CAHA27","","Carex ×haematolepis"
"CAHA28","","Carex ×hartii"
"CAHE20","","Carex ×helvola"
"CAKE5","","Carex ×kenaica"
"CAKN","","Carex ×knieskernii"
"CAKY","","Carex ×kyyhkynenii"
"CALA53","","Carex ×langeana"
"CALI30","","Carex ×limosoides"
"CALI16","","Carex ×limula"
"CAMA62","","Carex ×massonii"
"CAME27","","Carex ×mendica"
"CAMI51","","Carex ×mirata"
"CANE24","","Carex ×neobigelowii"
"CANE26","","Carex ×neofilipendula"
"CANE13","","Carex ×neomiliaris"
"CANE15","","Carex ×neorigida"
"CAOL4","","Carex ×olneyi"
"CAON","","Carex ×oneillii"
"CAPA49","","Carex ×paludivagans"
"CAPA48","","Carex ×pannewitziana"
"CAPA60","","Carex ×patuensis"
"CAPE22","","Carex ×persalina"
"CAPH3","","Carex ×physocarpoides"
"CAPI11","","Carex ×pieperiana"
"CAPS4","","Carex ×pseudohelvola"
"CAQU4","","Carex ×quebecensis"
"CAQU5","","Carex ×quirponensis"
"CARE7","","Carex ×reducta"
"CARO28","","Carex ×rollandii"
"CASA39","","Carex ×sardloqensis"
"CASA19","","Carex ×saxenii"
"CASC42","","Carex ×schatzii"
"CASO3","","Carex ×soerensenii"
"CASP18","","Carex ×spiculosa"
"CAST55","","Carex ×stenolepis"
"CASU14","","Carex ×subimpressa"
"CASU69","","Carex ×subpaleacea"
"CASU71","","Carex ×subrecta"
"CASU72","","Carex ×subreducta"
"CASU37","","Carex ×subsalina"
"CASU15","","Carex ×subviridula"
"CASU16","","Carex ×sullivantii"
"CATR11","","Carex ×trichina"
"CAXA5","","Carex ×xanthocarpa"
"CAZA4","","Carex ×zahnii"
"CAAB18","","Carex aboriginum"
"CAAB2","","Carex abrupta"
"CAAB5","","Carex abscondita"
"CAAC20","","Carex acidicola"
"CAAC2","","Carex acutiformis"
"CAAD","","Carex adelostoma"
"CAAD2","","Carex adusta"
"CAAE2","","Carex aestivalis"
"CAAG2","","Carex aggregata"
"CAAG","","Carex agrostoides"
"CAAL3","","Carex alata"
"CAAL25","","Carex albicans"
"CAALA","","Carex albicans var. albicans"
"CAALA2","","Carex albicans var. australis"
"CAALE","","Carex albicans var. emmonsii"
"CAAL5","","Carex albolutescens"
