ID,block,trt,plot,quad,CO2,heat,water,N,2/22/02,3/11/02,3/21/02,4/4/02,4/12/02,4/18/02,4/26/02,5/2/02,5/9/02,5/16/02,6/5/02
27,2,11,7,3,2,1,2,1,33.67270518,32.44189674,31.20474122,29.96140316,28.92052044,26.19593931,22.91341604,24.71777281,26.40632264,26.19547895,26.8270893
28,2,9,7,4,2,1,1,1,30.58383472,29.96140316,28.29412489,20.77737896,18.08872522,17.87279834,14.2921115,14.07415378,13.31018899,12.21666338,13.20100425
29,2,3,8,1,1,1,2,1,32.64729937,33.05756885,32.44136782,29.96090166,29.75342447,26.19593931,24.50602897,18.9513036,17.11585466,16.89919562,16.89946718
30,2,1,8,2,1,1,1,1,29.3374671,30.58383472,27.87572173,20.3486193,17.33233323,16.2491334,14.07415378,14.18284081,12.98247316,12.98239431,13.3102698
31,2,4,8,3,1,1,2,2,32.03003363,31.82410208,29.54544578,29.96140316,27.45636358,24.50602897,20.56309922,19.05898348,19.59690082,20.24113103,20.56309922
32,2,2,8,4,1,1,1,2,,29.3374671,26.61670597,18.41233368,15.054162,16.03220708,11.55926038,,10.24165402,10.57144367,12.65443997
33,2,8,9,1,1,2,2,2,30.79080355,29.96140316,28.71204712,28.50259822,27.66627969,22.16729473,20.1339409,19.05859854,18.19659499,17.87270554,16.24922192
34,2,5,9,2,1,2,1,1,29.3374671,29.54544578,27.45636358,19.91916456,17.22409394,17.11594575,15.16301494,15.27161002,14.29219488,13.30994767,14.9455652
35,2,6,9,3,1,2,1,2,31.82410208,29.54544578,27.45636358,19.91926251,18.19668865,17.44048142,15.38037786,16.03203089,14.18276086,13.63782401,13.85603016
36,2,7,9,4,1,2,2,1,32.44136782,33.26297148,31.61764846,31.82410208,31.20474122,28.08516378,26.19593931,24.29428513,21.20553293,25.14081385,25.56340824
37,3,10,10,1,2,1,1,2,28.91953802,29.75342447,27.87572173,20.2413295,16.89946718,17.11594575,13.20100425,13.63782401,11.66891711,10.35160827,12.3261662
38,3,12,10,2,2,1,2,2,29.54544578,30.58383472,29.3374671,27.87572173,27.87572173,25.35211104,24.92951665,20.88456909,22.16739868,18.5196389,19.48941427
39,3,11,10,3,2,1,2,1,24.3999917,27.24692153,26.61670597,25.35211104,23.5513714,22.06071972,20.99125319,20.56309922,21.84715391,16.89937695,16.68280814
40,3,9,10,4,2,1,1,1,22.06071972,23.23260847,21.20573654,17.65668586,15.16310089,15.27186873,11.99742473,12.32608796,11.33994692,10.35168136,11.66891711
41,3,15,11,1,2,2,2,1,29.3374671,29.54544578,28.92052044,28.503086,27.45683765,25.35211104,26.40539507,24.08210149,28.29412489,27.03606413,25.56340824
42,3,13,11,2,2,2,1,1,29.96140316,29.96140316,29.12899377,25.14081385,20.02655231,19.81187391,16.79095805,17.54835291,14.83662717,13.3102698,12.65443997
43,3,14,11,3,2,2,1,2,27.87572173,28.08516378,26.19547895,19.81177597,17.87270554,17.98076178,14.50990161,15.16310089,13.74692708,12.32608796,12.3261662
44,3,16,11,4,2,2,2,2,29.75342447,30.58383472,29.3374671,28.29412489,28.92052044,25.56340824,24.29252596,21.20573654,23.86991786,21.20573654,21.09874831
45,2,14,12,1,2,2,1,2,29.96140316,30.99777238,29.75342447,25.98509562,18.7357531,18.41233368,15.59791441,15.38055062,15.27178278,14.40096444,14.6190064
46,2,16,12,2,2,2,2,2,35.10022034,35.30343871,33.67270518,32.03003363,32.23543626,28.71204712,27.24692153,25.98509562,25.56340824,27.24692153,
47,2,13,12,3,2,2,1,1,31.82410208,33.05810463,31.204226,26.61670597,25.56340824,24.71777281,18.73584848,18.7357531,16.3575523,14.94548011,14.9455652
48,2,15,12,4,2,2,2,1,33.87702939,33.87702939,32.64729937,31.20474122,31.82410208,28.71204712,26.8270893,25.35211104,28.71204712,26.8270893,26.8270893
49,4,10,13,1,2,1,1,2,35.50665708,35.10022034,33.67270518,31.20474122,28.08516378,26.8270893,23.65773423,19.48931718,17.7647421,16.68280814,16.24922192
50,4,9,13,2,2,1,1,1,32.852702,33.26297148,31.20474122,28.08516378,24.50602897,21.74026791,17.11576442,17.33233323,16.03220708,14.94522483,14.9455652
51,4,12,13,3,2,1,2,2,32.852702,32.852702,31.20474122,29.96140316,28.08516378,25.56340824,22.06040873,20.77747948,24.92907001,21.74026791,21.31272477
52,4,11,13,4,2,1,2,1,34.0813536,34.69322725,33.67270518,33.05810463,32.23596519,30.99777238,29.54544578,28.71204712,30.37635753,28.92052044,19.81187391
53,4,13,14,1,2,2,1,1,33.05810463,33.05756885,30.79080355,26.61670597,20.9916587,20.2413295,15.81510458,15.70650949,13.63782401,,13.96513323
54,4,14,14,2,2,2,1,2,34.0813536,33.67270518,30.79080355,27.03700542,20.45590909,18.08872522,13.85536827,14.9455652,13.63782401,13.63724979,13.85603016
55,4,15,14,3,2,2,2,1,34.89700197,34.28567781,31.20474122,30.58383472,26.19593931,21.84715391,23.23260847,20.2413295,24.50613977,24.29417518,20.13403971
56,4,16,14,4,2,2,2,2,34.89700197,34.48945253,33.46783833,31.41119484,28.08516378,21.84715391,18.84362373,18.08872522,20.13403971,18.73584848,17.87279834
57,5,13,15,1,2,2,1,1,29.96140316,29.96140316,28.08516378,24.92951665,18.08872522,17.7647421,14.29219488,14.72785933,13.85603016,12.98239431,13.96513323
58,5,15,15,2,2,2,2,1,24.08210149,24.50558918,25.14081385,23.6573013,17.54862962,14.07415378,15.81510458,15.48923251,16.14062598,16.79113766,15.70598608
59,5,14,15,3,2,2,1,2,29.3374671,28.503086,26.8270893,20.56289904,18.4124282,18.19668865,15.05424795,14.9455652,13.31018899,12.54501538,12.98247316
60,5,16,15,4,2,2,2,2,28.71204712,28.503086,28.08516378,27.03700542,26.8270893,,19.70438737,18.73584848,24.71732616,20.45580943,24.92951665
61,5,6,16,1,1,2,1,2,25.98509562,26.61670597,24.92951665,16.57447862,13.3102698,12.10708317,9.141108772,9.471543419,8.479545638,7.596350603,10.02181861
62,5,8,16,2,1,2,2,2,28.503086,28.71204712,27.45683765,26.40632264,26.19593931,19.05898348,18.08872522,16.79113766,17.98066897,18.6279787,20.45590909
63,5,5,16,3,1,2,1,1,28.92052044,29.12899377,28.08516378,24.29384534,17.22418504,15.27178278,12.21666338,12.65443997,12.10708317,10.57144367,11.99765772
64,5,7,16,4,1,2,2,1,31.20474122,31.82410208,30.79080355,26.61670597,29.3374671,26.19593931,25.35211104,24.29428513,26.61670597,,26.8270893
65,5,3,17,1,1,1,2,1,,30.37635753,29.96140316,29.12899377,29.3374671,27.24692153,26.19593931,24.92951665,26.40586228,25.56340824,20.02665111
66,5,1,17,2,1,1,1,1,32.64729937,33.05810463,31.61764846,29.3374671,20.77747948,14.9455652,17.87251907,15.38037786,15.27178278,,14.6190064
67,5,4,17,3,1,1,2,2,31.20474122,31.41119484,29.96140316,28.71204712,28.71204712,25.35211104,21.74006087,19.91926251,22.27355704,21.20512571,20.13403971
68,5,2,17,4,1,1,1,2,30.58383472,30.16888034,29.12899377,24.29428513,17.87279834,17.33233323,14.72785933,14.40062921,13.31018899,12.65435978,14.29219488
69,5,10,18,1,2,1,1,2,28.503086,28.92052044,26.61670597,19.16666335,16.57438924,16.03220708,13.63782401,14.07415378,13.09157905,12.54501538,14.07415378
70,5,9,18,2,2,1,1,1,31.41119484,31.41119484,29.3374671,25.35211104,18.19659499,17.4399323,15.81440155,16.14062598,15.38037786,14.7277751,16.57447862
71,5,11,18,3,2,1,2,1,,,,,,,,,,,
72,5,12,18,4,2,1,2,2,29.96140316,30.37635753,29.3374671,27.45683765,25.56295473,,,,,,
73,6,15,19,1,2,2,2,1,29.96090166,30.58383472,28.92052044,27.87572173,26.61670597,24.08210149,20.3486193,19.16656712,21.31262254,20.77717877,20.3486193
74,6,16,19,2,2,2,2,2,32.44189674,32.852702,31.41119484,29.3374671,30.58383472,27.87572173,27.03606413,25.98509562,30.16787049,27.66627969,27.45683765
75,6,14,19,3,2,2,1,2,,28.92052044,25.98509562,20.13403971,17.11585466,16.03220708,12.65435978,12.98239431,11.77819012,11.66884058,12.10716055
76,6,13,19,4,2,2,1,1,26.8270893,26.8270893,21.20573654,18.30455843,15.81510458,18.52029797,13.20100425,13.85603016,12.98247316,12.6541225,13.96513323
77,6,8,20,1,1,2,2,2,36.11405251,37.7266606,36.92238605,35.9119674,35.91139734,32.44189674,31.41119484,29.54495114,30.7902952,26.19593931,32.64729937
78,6,7,20,2,1,2,2,1,27.45683765,27.87572173,27.24692153,26.8270893,25.77425193,21.84715391,20.1339409,20.88456909,20.45560924,21.740371,21.09874831
79,6,5,20,3,1,2,1,1,28.92052044,28.92052044,26.8270893,20.3486193,18.08863155,17.22409394,15.27186873,15.38037786,12.98191313,13.74684542,14.29219488
80,6,6,20,4,1,2,1,2,28.503086,28.503086,26.61670597,18.84362373,16.2491334,16.24922192,,,,,
81,6,11,21,1,2,1,2,1,30.58383472,30.79080355,29.33697246,28.92052044,28.29412489,27.03700542,26.61670597,25.35211104,27.45636358,26.19593931,24.29428513
82,6,9,21,2,2,1,1,1,31.20474122,31.41119484,29.54495114,26.8270893,20.45590909,19.70438737,16.03211942,15.70650949,13.85586597,12.87312877,13.3102698
83,6,10,21,3,2,1,1,2,29.96140316,30.79080355,28.71204712,24.29428513,17.98076178,17.22418504,,14.72769,13.41945454,12.54501538,13.63782401
84,6,12,21,4,2,1,2,2,29.33697246,29.33697246,28.71204712,27.45683765,27.24692153,25.14081385,21.31262254,19.81177597,,21.09864693,19.48941427
85,8,8,22,1,1,2,2,2,30.58383472,30.79080355,29.96090166,28.92052044,29.33697246,24.29428513,19.91926251,18.84352835,20.77737896,19.27424699,16.89946718
86,8,5,22,2,1,2,1,1,28.503086,28.503086,26.61670597,18.84362373,16.89937695,16.35746292,13.20100425,13.85594764,12.76370418,11.88761471,12.65443997
87,8,7,22,3,1,2,2,1,28.71204712,29.12899377,27.66627969,27.24692153,27.45683765,25.14081385,24.50602897,19.91887072,25.98418176,20.45551044,19.48941427
88,8,6,22,4,1,2,1,2,,31.61764846,29.12899377,24.50558918,17.22382067,17.97992652,14.83671227,14.50973228,13.96480314,14.18284081,14.83671227
89,8,2,23,1,1,1,1,2,27.03700542,27.66627969,25.77425193,17.87270554,15.05381991,15.59791441,12.21658514,13.20084459,11.12032945,11.23021343,12.3261662
90,8,1,23,2,1,1,1,1,29.3374671,29.96140316,29.33697246,21.09864693,18.52029797,17.7647421,10.57114896,12.82260156,8.479545638,20.56249867,19.38183063
91,8,3,23,3,1,1,2,1,31.20474122,31.82410208,30.79080355,30.58383472,30.58383472,27.8752408,27.24692153,24.92907001,26.40539507,25.14081385,18.52029797
92,8,4,23,4,1,1,2,2,,30.79080355,29.75342447,29.75292297,29.3374671,25.77425193,21.41961077,19.38183063,22.48712028,20.02625589,18.52029797
93,8,16,24,1,2,2,2,2,31.82410208,32.44189674,31.204226,29.96140316,29.12899377,25.56340824,26.82662209,21.63338191,28.08516378,27.45636358,26.19593931
94,8,13,24,2,2,2,1,1,31.41119484,31.41119484,28.71204712,24.92951665,20.24093428,22.16729473,16.57447862,17.11585466,15.59765313,14.72769,13.96513323
95,8,14,24,3,2,2,1,2,30.58383472,29.96140316,28.92052044,24.50602897,18.19668865,17.54853767,14.83671227,14.94548011,14.61866945,14.40113205,14.6190064
96,8,15,24,4,2,2,2,1,30.58383472,30.58383472,29.75342447,28.71204712,28.503086,25.14081385,25.56295473,21.09864693,26.19547895,25.56340824,19.48941427
97,8,11,25,1,2,1,2,1,30.79080355,27.24692153,26.19593931,26.8270893,23.97617331,22.70037339,21.95393681,21.84715391,24.50602897,23.44522504,21.419713
98,8,10,25,2,2,1,1,2,31.82410208,30.99777238,29.3374671,25.56340824,18.73584848,18.41224002,15.38055062,16.68245063,14.18317433,13.74692708,13.74692708
99,8,12,25,3,2,1,2,2,30.79080355,31.20474122,30.58332636,29.3374671,29.96140316,27.66627969,26.8270893,25.35211104,27.87334451,26.61623876,24.92951665
100,8,9,25,4,2,1,1,1,,31.61764846,29.96140316,25.56340824,18.4124282,17.87279834,16.35764082,16.68262853,15.5978276,14.83671227,15.48923251
101,4,8,26,1,1,2,2,2,31.20474122,30.79080355,29.96140316,29.54544578,27.66627969,26.19547895,25.35211104,20.56309922,27.03700542,25.98509562,17.54862962
102,4,7,26,2,1,2,2,1,28.71204712,28.92052044,28.503086,27.66627969,26.61670597,20.13364449,19.16656712,17.65668586,26.61623876,21.09743555,16.57447862
103,4,5,26,3,1,2,1,1,29.12899377,,25.98509562,19.38183063,16.24922192,15.81510458,12.65435978,13.09142,11.66884058,10.68125087,11.33994692
104,4,6,26,4,1,2,1,2,29.75342447,28.92052044,27.66627969,19.91926251,16.89946718,16.2491334,12.98247316,13.41945454,12.43559079,11.55910709,13.41945454
105,7,2,27,1,1,1,1,2,30.99777238,33.05810463,29.3374671,27.66627969,25.14081385,21.63338191,16.89946718,16.68280814,12.98223527,10.79083732,10.13177286
106,7,4,27,2,1,1,2,2,32.23596519,33.67270518,31.20474122,29.75242833,29.3374671,25.35211104,24.71777281,20.88456909,27.0365382,24.2929589,15.92369966
107,7,1,27,3,1,1,1,1,24.29428513,30.37635753,22.16739868,19.38183063,16.57447862,15.27178278,10.46156251,11.33971686,9.691739153,9.141108772,8.479612482
108,7,3,27,4,1,1,2,1,33.67270518,35.30343871,32.44189674,29.96140316,28.503086,25.77425193,24.71777281,,27.45683765,21.95393681,15.81510458
109,7,9,28,1,2,1,1,1,31.41119484,32.44189674,30.58383472,25.98509562,20.88456909,21.740371,16.35764082,17.33196886,14.40104867,12.98239431,11.99765772
110,7,11,28,2,2,1,2,1,31.61764846,32.23596519,31.20474122,29.75242833,29.3374671,28.08516378,25.98509562,25.98509562,27.24598025,26.40632264,18.30455843
111,7,10,28,3,2,1,1,2,28.29412489,28.71204712,27.45683765,24.08210149,19.38183063,18.19659499,15.48923251,15.81501691,14.18300843,12.98239431,12.3261662
112,7,12,28,4,2,1,2,2,30.58383472,31.204226,30.16888034,29.3374671,27.45683765,24.71777281,24.08210149,20.3486193,26.61670597,24.29428513,18.30455843
113,7,13,29,1,2,2,1,1,33.26297148,34.0813536,32.03003363,29.3374671,27.24692153,25.77425193,18.62788333,19.48873206,17.22354482,16.79104742,16.03220708
114,7,16,29,2,2,2,2,2,39.12838582,38.72891324,36.51879277,33.67270518,30.58383472,29.54544578,26.19593931,21.52536705,24.71777281,23.65642857,19.05898348
115,7,14,29,3,2,2,1,2,36.11462257,35.70931224,35.30343871,34.28567781,32.02951157,29.54495114,28.503086,28.08468285,30.79080355,29.54444964,26.19593931
116,7,15,29,4,2,2,2,1,34.89700197,34.69322725,33.46783833,30.99777238,28.503086,28.71204712,27.45683765,25.98418176,31.20474122,29.54544578,26.19593931
117,7,7,30,1,1,2,2,1,33.87702939,33.26297148,30.79080355,30.37635753,28.29364396,26.61670597,25.56340824,21.41940716,28.08516378,26.40632264,19.48941427
118,7,8,30,2,1,2,2,2,31.61764846,32.03003363,29.96140316,28.71155933,28.08516378,25.56340824,24.92951665,20.56309922,27.45683765,25.56340824,17.87279834
119,7,6,30,3,1,2,1,2,,,27.45683765,23.86991786,18.62807323,18.73584848,13.85603016,14.40113205,12.32608796,11.88807752,11.99765772
120,7,5,30,4,1,2,1,1,31.82410208,31.41119484,28.71204712,25.35211104,,18.73584848,14.6190064,14.72785933,13.3102698,12.21666338,11.55926038
121,6,4,31,1,1,1,2,2,29.3374671,29.96140316,29.3374671,28.71204712,26.40632264,23.65773423,23.01988453,17.98076178,24.92907001,24.92951665,17.22418504
122,6,2,31,2,1,1,1,2,29.96140316,29.96140316,27.66627969,24.92951665,19.27424699,17.98066897,14.18317433,14.2921115,14.50998499,14.83671227,15.05433304
123,6,3,31,3,1,1,2,1,28.29412489,28.92052044,28.71204712,27.87572173,25.77425193,20.77747948,19.48941427,18.73584848,25.98509562,25.14081385,18.52029797
124,6,1,31,4,1,1,1,1,27.87572173,28.71204712,24.50602897,19.38173354,16.1407145,16.2491334,13.3102698,14.6190064,12.98247316,12.21666338,13.85603016
125,4,1,32,1,1,1,1,1,29.3374671,26.19593931,26.19593931,20.56309922,17.54862962,17.33215019,13.31018899,13.20084459,11.88807752,11.23021343,11.33994692
126,4,4,32,2,1,1,2,2,29.12899377,29.3374671,28.29412489,27.24692153,21.526599,16.89946718,17.22409394,14.18300843,22.5939049,18.84352835,12.98247316
127,4,3,32,3,1,1,2,1,30.37635753,30.16888034,29.3374671,29.12899377,28.29412489,25.35211104,21.31272477,,25.56340824,21.20553293,15.27186873
128,4,2,32,4,1,1,1,2,27.87572173,28.08468285,25.56340824,18.30455843,14.83671227,14.83671227,11.44952688,11.66891711,10.57144367,10.57129662,10.68132482
129,1,17,33,1,1,1,1,1,32.03003363,31.82410208,29.3374671,25.77425193,19.70438737,18.9513036,16.03220708,15.70642268,13.85594764,13.41945454,13.96513323
131,1,17,33,3,1,1,1,1,33.46783833,38.32884318,31.20474122,26.61670597,19.27415076,17.76464929,12.76362532,13.41945454,10.79105808,10.79113203,12.3261662
134,4,17,34,2,1,1,1,1,28.92052044,28.71204712,26.8270893,20.45590909,17.44038947,16.1407145,13.31018899,13.3102698,12.54493519,11.66837777,11.66891711
136,4,17,34,4,1,1,1,1,29.12899377,29.3374671,27.45683765,21.20563516,18.4124282,17.87279834,14.83671227,14.83671227,14.18317433,13.52783144,14.29219488
137,6,17,35,1,1,1,1,1,28.71204712,28.71204712,27.24692153,21.20553293,18.7357531,18.19640681,14.6190064,14.9455652,12.65435978,11.88792362,11.66891711
139,6,17,35,3,1,1,1,1,30.37635753,29.96140316,27.66627969,25.35211104,20.56309922,19.70438737,15.27186873,14.9455652,12.43551255,11.33994692,11.01074643
142,8,17,36,2,1,1,1,1,30.99777238,29.96140316,27.45683765,23.86991786,14.83671227,15.05433304,11.9971124,12.76362532,11.33987015,10.35168136,10.90093923
144,8,17,36,4,1,1,1,1,29.96140316,28.92052044,26.19593931,19.70419233,16.2491334,15.70650949,13.20100425,13.41937373,13.09133772,11.77842079,12.54501538
