CO2	Heat	Water	Nutrient	plot	quad	year	species	relabund	flowerdate	funcgroup
1	2	1	1	3	4	2000	Geranium	0.16	98	2
1	2	1	1	3	4	2000	Vicia	0	98	2
2	1	2	2	4	1	2000	Avena	0	90	1
2	1	2	2	4	1	2000	Bromusd	0	79	1
2	1	2	2	4	1	2000	Bromush	0.340425532	79	1
2	1	2	2	4	1	2000	Lolium	0.638297872		1
2	1	2	2	4	1	2000	Vulpia	0.021276596		1
2	1	2	2	4	1	2000	Crepis	0		2
2	1	2	2	4	1	2000	Erodium	0		2
2	1	2	2	4	1	2000	Geranium	0		2
2	1	2	2	4	1	2000	Vicia	0	90	2
2	1	1	2	4	2	2000	Avena	0.022727273		1
2	1	1	2	4	2	2000	Bromusd	0.045454545	79	1
2	1	1	2	4	2	2000	Bromush	0.477272727	74	1
2	1	1	2	4	2	2000	Lolium	0.363636364		1
2	1	1	2	4	2	2000	Vulpia	0		1
2	1	1	2	4	2	2000	Crepis	0		2
2	1	1	2	4	2	2000	Erodium	0		2
2	1	1	2	4	2	2000	Geranium	0.068181818	90	2
2	1	1	2	4	2	2000	Vicia	0.022727273	82	2
2	1	1	1	4	3	2000	Avena	0.306122449	79	1
2	1	1	1	4	3	2000	Bromusd	0.020408163	74	1
2	1	1	1	4	3	2000	Bromush	0.387755102	74	1
2	1	1	1	4	3	2000	Lolium	0.183673469		1
2	1	1	1	4	3	2000	Vulpia	0.081632653		1
2	1	1	1	4	3	2000	Crepis	0		2
2	1	1	1	4	3	2000	Erodium	0		2
2	1	1	1	4	3	2000	Geranium	0.020408163	90	2
2	1	1	1	4	3	2000	Vicia	0	93	2
2	1	2	1	4	4	2000	Avena	0.12244898	87	1
2	1	2	1	4	4	2000	Bromusd	0.06122449	69	1
2	1	2	1	4	4	2000	Bromush	0.408163265	74	1
2	1	2	1	4	4	2000	Lolium	0.244897959		1
2	1	2	1	4	4	2000	Vulpia	0.142857143		1
2	1	2	1	4	4	2000	Crepis	0		2
2	1	2	1	4	4	2000	Erodium	0		2
2	1	2	1	4	4	2000	Geranium	0.020408163	87	2
2	1	2	1	4	4	2000	Vicia	0	98	2
1	1	1	2	5	1	2000	Avena	0.081081081	93	1
1	1	1	2	5	1	2000	Bromusd	0.135135135	74	1
1	1	1	2	5	1	2000	Bromush	0.27027027	74	1
1	1	1	2	5	1	2000	Lolium	0.378378378		1
1	1	1	2	5	1	2000	Vulpia	0		1
1	1	1	2	5	1	2000	Crepis	0		2
1	1	1	2	5	1	2000	Erodium	0		2
1	1	1	2	5	1	2000	Geranium	0.108108108		2
1	1	1	2	5	1	2000	Vicia	0.027027027		2
1	1	2	1	5	2	2000	Avena	0.15625	93	1
1	1	2	1	5	2	2000	Bromusd	0	74	1
1	1	2	1	5	2	2000	Bromush	0.28125	69	1
1	1	2	1	5	2	2000	Lolium	0.4375		1
1	1	2	1	5	2	2000	Vulpia	0		1
1	1	2	1	5	2	2000	Crepis	0		2
1	1	2	1	5	2	2000	Erodium	0		2
1	1	2	1	5	2	2000	Geranium	0.125	98	2
1	1	2	1	5	2	2000	Vicia	0		2
1	1	1	1	5	3	2000	Avena	0.222222222	87	1
1	1	1	1	5	3	2000	Bromusd	0.022222222	90	1
1	1	1	1	5	3	2000	Bromush	0.355555556	74	1
1	1	1	1	5	3	2000	Lolium	0.244444444		1
1	1	1	1	5	3	2000	Vulpia	0.044444444		1
1	1	1	1	5	3	2000	Crepis	0		2
1	1	1	1	5	3	2000	Erodium	0		2
1	1	1	1	5	3	2000	Geranium	0.111111111		2
1	1	1	1	5	3	2000	Vicia	0		2
1	1	2	2	5	4	2000	Avena	0.4	87	1
1	1	2	2	5	4	2000	Bromusd	0.075	74	1
1	1	2	2	5	4	2000	Bromush	0.325	74	1
1	1	2	2	5	4	2000	Lolium	0.175		1
1	1	2	2	5	4	2000	Vulpia	0		1
1	1	2	2	5	4	2000	Crepis	0		2
1	1	2	2	5	4	2000	Erodium	0		2
1	1	2	2	5	4	2000	Geranium	0.025		2
1	1	2	2	5	4	2000	Vicia	0		2
1	2	2	2	6	1	2000	Avena	0.021276596	87	1
1	2	2	2	6	1	2000	Bromusd	0	74	1
1	2	2	2	6	1	2000	Bromush	0.489361702	66	1
1	2	2	2	6	1	2000	Lolium	0.021276596		1
1	2	2	2	6	1	2000	Vulpia	0.021276596		1
1	2	2	2	6	1	2000	Crepis	0		2
1	2	2	2	6	1	2000	Erodium	0		2
1	2	2	2	6	1	2000	Geranium	0.446808511	87	2
1	2	2	2	6	1	2000	Vicia	0		2
1	2	1	1	6	2	2000	Avena	0.14	79	1
1	2	1	1	6	2	2000	Bromusd	0.06	69	1
1	2	1	1	6	2	2000	Bromush	0.4	66	1
1	2	1	1	6	2	2000	Lolium	0		1
1	2	1	1	6	2	2000	Vulpia	0.04		1
1	2	1	1	6	2	2000	Crepis	0		2
1	2	1	1	6	2	2000	Erodium	0.1		2
1	2	1	1	6	2	2000	Geranium	0.26		2
1	2	1	1	6	2	2000	Vicia	0		2
1	2	2	1	6	3	2000	Avena	0.314285714	82	1
1	2	2	1	6	3	2000	Bromusd	0	74	1
1	2	2	1	6	3	2000	Bromush	0.285714286	66	1
1	2	2	1	6	3	2000	Lolium	0.028571429		1
1	2	2	1	6	3	2000	Vulpia	0.085714286		1
1	2	2	1	6	3	2000	Crepis	0		2
1	2	2	1	6	3	2000	Erodium	0.142857143		2
1	2	2	1	6	3	2000	Geranium	0.142857143	93	2
1	2	2	1	6	3	2000	Vicia	0		2
1	2	1	2	6	4	2000	Avena	0.12244898	87	1
1	2	1	2	6	4	2000	Bromusd	0	74	1
1	2	1	2	6	4	2000	Bromush	0.530612245	66	1
1	2	1	2	6	4	2000	Lolium	0		1
1	2	1	2	6	4	2000	Vulpia	0.081632653		1
1	2	1	2	6	4	2000	Crepis	0		2
1	2	1	2	6	4	2000	Erodium	0.081632653		2
1	2	1	2	6	4	2000	Geranium	0.183673469	93	2
1	2	1	2	6	4	2000	Vicia	0		2
2	1	2	2	7	1	2000	Avena	0	98	1
2	1	2	2	7	1	2000	Bromusd	0		1
2	1	2	2	7	1	2000	Bromush	0.444444444	87	1
2	1	2	2	7	1	2000	Lolium	0.333333333		1
2	1	2	2	7	1	2000	Vulpia	0.074074074		1
2	1	2	2	7	1	2000	Crepis	0		2
2	1	2	2	7	1	2000	Erodium	0		2
2	1	2	2	7	1	2000	Geranium	0.148148148	87	2
2	1	2	2	7	1	2000	Vicia	0	98	2
2	1	1	2	7	2	2000	Avena	0.045454545		1
2	1	1	2	7	2	2000	Bromusd	0.022727273		1
2	1	1	2	7	2	2000	Bromush	0.477272727	74	1
2	1	1	2	7	2	2000	Lolium	0.409090909		1
2	1	1	2	7	2	2000	Vulpia	0.022727273		1
2	1	1	2	7	2	2000	Crepis	0		2
2	1	1	2	7	2	2000	Erodium	0.022727273		2
2	1	1	2	7	2	2000	Geranium	0	93	2
2	1	1	2	7	2	2000	Vicia	0		2
2	1	2	1	7	3	2000	Avena	0.044444444	93	1
2	1	2	1	7	3	2000	Bromusd	0		1
2	1	2	1	7	3	2000	Bromush	0.622222222	69	1
2	1	2	1	7	3	2000	Lolium	0.177777778		1
2	1	2	1	7	3	2000	Vulpia	0		1
2	1	2	1	7	3	2000	Crepis	0		2
2	1	2	1	7	3	2000	Erodium	0.111111111		2
2	1	2	1	7	3	2000	Geranium	0.044444444	82	2
2	1	2	1	7	3	2000	Vicia	0		2
2	1	1	1	7	4	2000	Avena	0.020833333	90	1
2	1	1	1	7	4	2000	Bromusd	0	79	1
2	1	1	1	7	4	2000	Bromush	0.583333333	74	1
2	1	1	1	7	4	2000	Lolium	0.354166667		1
2	1	1	1	7	4	2000	Vulpia	0		1
2	1	1	1	7	4	2000	Crepis	0		2
2	1	1	1	7	4	2000	Erodium	0.020833333		2
2	1	1	1	7	4	2000	Geranium	0.020833333	90	2
2	1	1	1	7	4	2000	Vicia	0		2
1	1	2	1	8	1	2000	Avena	0	93	1
1	1	2	1	8	1	2000	Bromusd	0.020408163	76	1
1	1	2	1	8	1	2000	Bromush	0.224489796	66	1
1	1	2	1	8	1	2000	Lolium	0.632653061		1
1	1	2	1	8	1	2000	Vulpia	0		1
1	1	2	1	8	1	2000	Crepis	0		2
1	1	2	1	8	1	2000	Erodium	0		2
1	1	2	1	8	1	2000	Geranium	0.12244898	90	2
1	1	2	1	8	1	2000	Vicia	0	98	2
1	1	1	1	8	2	2000	Avena	0.195121951	87	1
1	1	1	1	8	2	2000	Bromusd	0.024390244	76	1
1	1	1	1	8	2	2000	Bromush	0.243902439	66	1
1	1	1	1	8	2	2000	Lolium	0.414634146		1
1	1	1	1	8	2	2000	Vulpia	0		1
1	1	1	1	8	2	2000	Crepis	0		2
1	1	1	1	8	2	2000	Erodium	0		2
1	1	1	1	8	2	2000	Geranium	0.097560976	90	2
1	1	1	1	8	2	2000	Vicia	0.024390244	90	2
1	1	2	2	8	3	2000	Avena	0.177777778	90	1
1	1	2	2	8	3	2000	Bromusd	0.044444444	76	1
1	1	2	2	8	3	2000	Bromush	0.111111111	69	1
1	1	2	2	8	3	2000	Lolium	0.6		1
1	1	2	2	8	3	2000	Vulpia	0		1
1	1	2	2	8	3	2000	Crepis	0.022222222		2
1	1	2	2	8	3	2000	Erodium	0		2
1	1	2	2	8	3	2000	Geranium	0.022222222	93	2
1	1	2	2	8	3	2000	Vicia	0.022222222	87	2
1	1	1	2	8	4	2000	Avena	0.14	87	1
1	1	1	2	8	4	2000	Bromusd	0.04	76	1
1	1	1	2	8	4	2000	Bromush	0.34	76	1
1	1	1	2	8	4	2000	Lolium	0.34		1
1	1	1	2	8	4	2000	Vulpia	0		1
1	1	1	2	8	4	2000	Crepis	0		2
1	1	1	2	8	4	2000	Erodium	0		2
1	1	1	2	8	4	2000	Geranium	0.12	87	2
1	1	1	2	8	4	2000	Vicia	0.02	98	2
1	2	2	2	9	1	2000	Avena	0.25	79	1
1	2	2	2	9	1	2000	Bromusd	0.25	82	1
1	2	2	2	9	1	2000	Bromush	0.21875	76	1
1	2	2	2	9	1	2000	Lolium	0.09375		1
1	2	2	2	9	1	2000	Vulpia	0		1
1	2	2	2	9	1	2000	Crepis	0.03125		2
1	2	2	2	9	1	2000	Erodium	0		2
1	2	2	2	9	1	2000	Geranium	0.15625	87	2
1	2	2	2	9	1	2000	Vicia	0	98	2
1	2	1	1	9	2	2000	Avena	0.487179487	82	1
1	2	1	1	9	2	2000	Bromusd	0.179487179	76	1
1	2	1	1	9	2	2000	Bromush	0.025641026	66	1
1	2	1	1	9	2	2000	Lolium	0		1
1	2	1	1	9	2	2000	Vulpia	0		1
1	2	1	1	9	2	2000	Crepis	0.128205128		2
1	2	1	1	9	2	2000	Erodium	0		2
1	2	1	1	9	2	2000	Geranium	0.128205128	82	2
1	2	1	1	9	2	2000	Vicia	0.051282051	93	2
1	2	1	2	9	3	2000	Avena	0.357142857	82	1
1	2	1	2	9	3	2000	Bromusd	0.071428571	76	1
1	2	1	2	9	3	2000	Bromush	0.071428571	76	1
1	2	1	2	9	3	2000	Lolium	0.30952381		1
1	2	1	2	9	3	2000	Vulpia	0		1
1	2	1	2	9	3	2000	Crepis	0.119047619		2
1	2	1	2	9	3	2000	Erodium	0		2
1	2	1	2	9	3	2000	Geranium	0.047619048	90	2
1	2	1	2	9	3	2000	Vicia	0.023809524	90	2
1	2	2	1	9	4	2000	Avena	0.096774194	82	1
1	2	2	1	9	4	2000	Bromusd	0.064516129	76	1
1	2	2	1	9	4	2000	Bromush	0.35483871	76	1
1	2	2	1	9	4	2000	Lolium	0.387096774		1
1	2	2	1	9	4	2000	Vulpia	0		1
1	2	2	1	9	4	2000	Crepis	0		2
1	2	2	1	9	4	2000	Erodium	0		2
1	2	2	1	9	4	2000	Geranium	0.096774194	90	2
1	2	2	1	9	4	2000	Vicia	0	93	2
2	1	1	2	10	1	2000	Avena	0.355555556	76	1
2	1	1	2	10	1	2000	Bromusd	0		1
2	1	1	2	10	1	2000	Bromush	0.444444444	66	1
2	1	1	2	10	1	2000	Lolium	0		1
2	1	1	2	10	1	2000	Vulpia	0		1
2	1	1	2	10	1	2000	Crepis	0		2
2	1	1	2	10	1	2000	Erodium	0		2
2	1	1	2	10	1	2000	Geranium	0.2	79	2
2	1	1	2	10	1	2000	Vicia	0	87	2
2	1	2	2	10	2	2000	Avena	0.288888889	82	1
2	1	2	2	10	2	2000	Bromusd	0.044444444		1
2	1	2	2	10	2	2000	Bromush	0.466666667	66	1
2	1	2	2	10	2	2000	Lolium	0.022222222		1
2	1	2	2	10	2	2000	Vulpia	0		1
2	1	2	2	10	2	2000	Crepis	0		2
2	1	2	2	10	2	2000	Erodium	0		2
2	1	2	2	10	2	2000	Geranium	0.177777778	82	2
2	1	2	2	10	2	2000	Vicia	0	93	2
2	1	2	1	10	3	2000	Avena	0.145833333	79	1
2	1	2	1	10	3	2000	Bromusd	0.020833333	76	1
2	1	2	1	10	3	2000	Bromush	0.645833333	59	1
2	1	2	1	10	3	2000	Lolium	0		1
2	1	2	1	10	3	2000	Vulpia	0		1
2	1	2	1	10	3	2000	Crepis	0		2
2	1	2	1	10	3	2000	Erodium	0.083333333		2
2	1	2	1	10	3	2000	Geranium	0.083333333	87	2
2	1	2	1	10	3	2000	Vicia	0.020833333	87	2
2	1	1	1	10	4	2000	Avena	0.5625	76	1
2	1	1	1	10	4	2000	Bromusd	0.041666667	79	1
2	1	1	1	10	4	2000	Bromush	0.291666667	66	1
2	1	1	1	10	4	2000	Lolium	0		1
2	1	1	1	10	4	2000	Vulpia	0		1
2	1	1	1	10	4	2000	Crepis	0		2
2	1	1	1	10	4	2000	Erodium	0		2
2	1	1	1	10	4	2000	Geranium	0.083333333	87	2
2	1	1	1	10	4	2000	Vicia	0.020833333	79	2
2	2	2	1	11	1	2000	Avena	0.12	82	1
2	2	2	1	11	1	2000	Bromusd	0.38	76	1
2	2	2	1	11	1	2000	Bromush	0.34	66	1
2	2	2	1	11	1	2000	Lolium	0		1
2	2	2	1	11	1	2000	Vulpia	0.06		1
2	2	2	1	11	1	2000	Crepis	0.06		2
2	2	2	1	11	1	2000	Erodium	0		2
2	2	2	1	11	1	2000	Geranium	0.04	90	2
2	2	2	1	11	1	2000	Vicia	0	98	2
2	2	1	1	11	2	2000	Avena	0.285714286	87	1
2	2	1	1	11	2	2000	Bromusd	0.142857143	82	1
2	2	1	1	11	2	2000	Bromush	0.523809524	69	1
2	2	1	1	11	2	2000	Lolium	0		1
2	2	1	1	11	2	2000	Vulpia	0		1
2	2	1	1	11	2	2000	Crepis	0.047619048		2
2	2	1	1	11	2	2000	Erodium	0		2
2	2	1	1	11	2	2000	Geranium	0	90	2
2	2	1	1	11	2	2000	Vicia	0		2
2	2	1	2	11	3	2000	Avena	0.785714286	79	1
2	2	1	2	11	3	2000	Bromusd	0	76	1
2	2	1	2	11	3	2000	Bromush	0.119047619	79	1
2	2	1	2	11	3	2000	Lolium	0		1
2	2	1	2	11	3	2000	Vulpia	0		1
2	2	1	2	11	3	2000	Crepis	0.047619048		2
2	2	1	2	11	3	2000	Erodium	0		2
2	2	1	2	11	3	2000	Geranium	0.047619048	82	2
2	2	1	2	11	3	2000	Vicia	0		2
2	2	2	2	11	4	2000	Avena	0.279069767	79	1
2	2	2	2	11	4	2000	Bromusd	0.023255814	69	1
2	2	2	2	11	4	2000	Bromush	0.511627907	69	1
2	2	2	2	11	4	2000	Lolium	0.023255814		1
2	2	2	2	11	4	2000	Vulpia	0		1
2	2	2	2	11	4	2000	Crepis	0		2
2	2	2	2	11	4	2000	Erodium	0		2
2	2	2	2	11	4	2000	Geranium	0.162790698	87	2
2	2	2	2	11	4	2000	Vicia	0		2
2	2	1	2	12	1	2000	Avena	0.333333333	76	1
2	2	1	2	12	1	2000	Bromusd	0.060606061		1
2	2	1	2	12	1	2000	Bromush	0.090909091	79	1
2	2	1	2	12	1	2000	Lolium	0		1
2	2	1	2	12	1	2000	Vulpia	0.090909091		1
2	2	1	2	12	1	2000	Crepis	0.212121212		2
2	2	1	2	12	1	2000	Erodium	0		2
2	2	1	2	12	1	2000	Geranium	0.212121212	76	2
2	2	1	2	12	1	2000	Vicia	0	93	2
2	2	2	2	12	2	2000	Avena	0.522727273	85	1
2	2	2	2	12	2	2000	Bromusd	0.022727273	82	1
2	2	2	2	12	2	2000	Bromush	0.022727273	90	1
2	2	2	2	12	2	2000	Lolium	0		1
2	2	2	2	12	2	2000	Vulpia	0.045454545		1
2	2	2	2	12	2	2000	Crepis	0.181818182		2
2	2	2	2	12	2	2000	Erodium	0		2
2	2	2	2	12	2	2000	Geranium	0.204545455	76	2
2	2	2	2	12	2	2000	Vicia	0	93	2
2	2	1	1	12	3	2000	Avena	0.388888889	79	1
2	2	1	1	12	3	2000	Bromusd	0	76	1
2	2	1	1	12	3	2000	Bromush	0.111111111	69	1
2	2	1	1	12	3	2000	Lolium	0		1
2	2	1	1	12	3	2000	Vulpia	0		1
2	2	1	1	12	3	2000	Crepis	0.222222222		2
2	2	1	1	12	3	2000	Erodium	0		2
2	2	1	1	12	3	2000	Geranium	0.277777778	79	2
2	2	1	1	12	3	2000	Vicia	0		2
2	2	2	1	12	4	2000	Avena	0.243902439	82	1
2	2	2	1	12	4	2000	Bromusd	0.146341463	79	1
2	2	2	1	12	4	2000	Bromush	0.097560976	79	1
2	2	2	1	12	4	2000	Lolium	0		1
2	2	2	1	12	4	2000	Vulpia	0.146341463		1
2	2	2	1	12	4	2000	Crepis	0.317073171		2
2	2	2	1	12	4	2000	Erodium	0		2
2	2	2	1	12	4	2000	Geranium	0.048780488	90	2
2	2	2	1	12	4	2000	Vicia	0		2
2	1	1	2	13	1	2000	Avena	0.027777778		1
2	1	1	2	13	1	2000	Bromusd	0		1
2	1	1	2	13	1	2000	Bromush	0.333333333	79	1
2	1	1	2	13	1	2000	Lolium	0.444444444		1
2	1	1	2	13	1	2000	Vulpia	0.055555556		1
2	1	1	2	13	1	2000	Crepis	0.055555556		2
2	1	1	2	13	1	2000	Erodium	0.055555556		2
2	1	1	2	13	1	2000	Geranium	0.027777778	93	2
2	1	1	2	13	1	2000	Vicia	0		2
2	1	1	1	13	2	2000	Avena	0.068181818	93	1
2	1	1	1	13	2	2000	Bromusd	0		1
2	1	1	1	13	2	2000	Bromush	0.318181818	66	1
2	1	1	1	13	2	2000	Lolium	0.5		1
2	1	1	1	13	2	2000	Vulpia	0		1
2	1	1	1	13	2	2000	Crepis	0		2
2	1	1	1	13	2	2000	Erodium	0		2
2	1	1	1	13	2	2000	Geranium	0.113636364		2
2	1	1	1	13	2	2000	Vicia	0		2
2	1	2	2	13	3	2000	Avena	0.11627907	87	1
2	1	2	2	13	3	2000	Bromusd	0		1
2	1	2	2	13	3	2000	Bromush	0.418604651	76	1
2	1	2	2	13	3	2000	Lolium	0.395348837		1
2	1	2	2	13	3	2000	Vulpia	0		1
2	1	2	2	13	3	2000	Crepis	0		2
2	1	2	2	13	3	2000	Erodium	0		2
2	1	2	2	13	3	2000	Geranium	0.069767442	93	2
2	1	2	2	13	3	2000	Vicia	0		2
2	1	2	1	13	4	2000	Avena	0.034482759	87	1
2	1	2	1	13	4	2000	Bromusd	0		1
2	1	2	1	13	4	2000	Bromush	0.275862069	79	1
2	1	2	1	13	4	2000	Lolium	0.344827586		1
2	1	2	1	13	4	2000	Vulpia	0		1
2	1	2	1	13	4	2000	Crepis	0.206896552		2
2	1	2	1	13	4	2000	Erodium	0		2
2	1	2	1	13	4	2000	Geranium	0.137931034		2
2	1	2	1	13	4	2000	Vicia	0		2
2	2	1	1	14	1	2000	Avena	0		1
2	2	1	1	14	1	2000	Bromusd	0.054054054	76	1
2	2	1	1	14	1	2000	Bromush	0.162162162	76	1
2	2	1	1	14	1	2000	Lolium	0.72972973		1
2	2	1	1	14	1	2000	Vulpia	0		1
2	2	1	1	14	1	2000	Crepis	0		2
2	2	1	1	14	1	2000	Erodium	0		2
2	2	1	1	14	1	2000	Geranium	0.054054054	93	2
2	2	1	1	14	1	2000	Vicia	0		2
2	2	1	2	14	2	2000	Avena	0		1
2	2	1	2	14	2	2000	Bromusd	0		1
2	2	1	2	14	2	2000	Bromush	0.375	83	1
2	2	1	2	14	2	2000	Lolium	0.3		1
2	2	1	2	14	2	2000	Vulpia	0.1		1
2	2	1	2	14	2	2000	Crepis	0		2
2	2	1	2	14	2	2000	Erodium	0.175		2
2	2	1	2	14	2	2000	Geranium	0.05		2
2	2	1	2	14	2	2000	Vicia	0		2
2	2	2	1	14	3	2000	Avena	0	87	1
2	2	2	1	14	3	2000	Bromusd	0	93	1
2	2	2	1	14	3	2000	Bromush	0.170731707	79	1
2	2	2	1	14	3	2000	Lolium	0.512195122		1
2	2	2	1	14	3	2000	Vulpia	0.219512195		1
2	2	2	1	14	3	2000	Crepis	0		2
2	2	2	1	14	3	2000	Erodium	0.097560976		2
2	2	2	1	14	3	2000	Geranium	0	93	2
2	2	2	1	14	3	2000	Vicia	0		2
2	2	2	2	14	4	2000	Avena	0.047619048		1
2	2	2	2	14	4	2000	Bromusd	0	76	1
2	2	2	2	14	4	2000	Bromush	0.142857143	76	1
2	2	2	2	14	4	2000	Lolium	0.738095238		1
2	2	2	2	14	4	2000	Vulpia	0.023809524		1
2	2	2	2	14	4	2000	Crepis	0		2
2	2	2	2	14	4	2000	Erodium	0.023809524		2
2	2	2	2	14	4	2000	Geranium	0.023809524	93	2
2	2	2	2	14	4	2000	Vicia	0		2
2	2	1	1	15	1	2000	Avena	0.38	94	1
2	2	1	1	15	1	2000	Bromusd	0	83	1
2	2	1	1	15	1	2000	Bromush	0.38	59	1
2	2	1	1	15	1	2000	Lolium	0.1		1
2	2	1	1	15	1	2000	Vulpia	0		1
2	2	1	1	15	1	2000	Crepis	0		2
2	2	1	1	15	1	2000	Erodium	0		2
2	2	1	1	15	1	2000	Geranium	0.14	87	2
2	2	1	1	15	1	2000	Vicia	0	90	2
2	2	2	1	15	2	2000	Avena	0.38	85	1
2	2	2	1	15	2	2000	Bromusd	0.02	85	1
2	2	2	1	15	2	2000	Bromush	0.5	59	1
2	2	2	1	15	2	2000	Lolium	0		1
