plot,date,day of year,year,decimal year,day,VWC,comments,
7,3/30/11,90,2011,2011.243836,1186,0.27,,
8,3/30/11,90,2011,2011.243836,1186,0.218,,
9,3/30/11,90,2011,2011.243836,1186,0.228,,
10,3/30/11,90,2011,2011.243836,1186,0.263,,
11,3/30/11,90,2011,2011.243836,1186,0.19,,
12,3/30/11,90,2011,2011.243836,1186,0.252,,
13,3/30/11,90,2011,2011.243836,1186,0.198,,
14,3/30/11,90,2011,2011.243836,1186,0.216,,
15,3/30/11,90,2011,2011.243836,1186,0.229,,
16,3/30/11,90,2011,2011.243836,1186,0.192,,
17,3/30/11,90,2011,2011.243836,1186,.,,
18,3/30/11,90,2011,2011.243836,1186,0.221,,
19,3/30/11,90,2011,2011.243836,1186,0.231,,
20,3/30/11,90,2011,2011.243836,1186,0.247,,
21,3/30/11,90,2011,2011.243836,1186,0.265,,
22,3/30/11,90,2011,2011.243836,1186,0.216,,
23,3/30/11,90,2011,2011.243836,1186,0.226,,
24,3/30/11,90,2011,2011.243836,1186,0.219,,
25,3/30/11,90,2011,2011.243836,1186,0.212,,
26,3/30/11,90,2011,2011.243836,1186,0.214,,
27,3/30/11,90,2011,2011.243836,1186,0.197,,
28,3/30/11,90,2011,2011.243836,1186,0.171,,
29,3/30/11,90,2011,2011.243836,1186,0.183,,
30,3/30/11,90,2011,2011.243836,1186,0.215,,
31,3/30/11,90,2011,2011.243836,1186,0.216,,
32,3/30/11,90,2011,2011.243836,1186,.,,
33,3/30/11,90,2011,2011.243836,1186,0.198,,
34,3/30/11,90,2011,2011.243836,1186,0.22,,
35,3/30/11,90,2011,2011.243836,1186,0.215,,
36,3/30/11,90,2011,2011.243836,1186,0.204,,
1,4/7/11,97,2011,2011.263014,1193,0.198,,
2,4/7/11,97,2011,2011.263014,1193,0.202,,
3,4/7/11,97,2011,2011.263014,1193,0.29,,
4,4/7/11,97,2011,2011.263014,1193,0.264,,
5,4/7/11,97,2011,2011.263014,1193,0.274,,
6,4/7/11,97,2011,2011.263014,1193,0.261,,
7,4/7/11,97,2011,2011.263014,1193,0.3,,
8,4/7/11,97,2011,2011.263014,1193,0.242,,
9,4/7/11,97,2011,2011.263014,1193,0.219,,
10,4/7/11,97,2011,2011.263014,1193,0.281,,
11,4/7/11,97,2011,2011.263014,1193,0.24,,
12,4/7/11,97,2011,2011.263014,1193,0.25,,
13,4/7/11,97,2011,2011.263014,1193,0.244,,
14,4/7/11,97,2011,2011.263014,1193,0.228,,
15,4/7/11,97,2011,2011.263014,1193,0.27,,
16,4/7/11,97,2011,2011.263014,1193,0.218,,
17,4/7/11,97,2011,2011.263014,1193,0.217,,
18,4/7/11,97,2011,2011.263014,1193,0.254,,
19,4/7/11,97,2011,2011.263014,1193,0.255,,
20,4/7/11,97,2011,2011.263014,1193,0.25,,
21,4/7/11,97,2011,2011.263014,1193,0.279,,
22,4/7/11,97,2011,2011.263014,1193,0.229,,
23,4/7/11,97,2011,2011.263014,1193,0.238,,
24,4/7/11,97,2011,2011.263014,1193,0.255,,
25,4/7/11,97,2011,2011.263014,1193,0.25,,
26,4/7/11,97,2011,2011.263014,1193,0.225,,
27,4/7/11,97,2011,2011.263014,1193,0.21,,
28,4/7/11,97,2011,2011.263014,1193,0.181,,
29,4/7/11,97,2011,2011.263014,1193,0.19,,
30,4/7/11,97,2011,2011.263014,1193,0.242,,
31,4/7/11,97,2011,2011.263014,1193,0.236,,
32,4/7/11,97,2011,2011.263014,1193,0.212,,
33,4/7/11,97,2011,2011.263014,1193,0.215,,
34,4/7/11,97,2011,2011.263014,1193,0.233,,
35,4/7/11,97,2011,2011.263014,1193,0.224,,
36,4/7/11,97,2011,2011.263014,1193,0.213,,
1,4/15/11,105,2011,2011.284932,1201,0.202,,
2,4/15/11,105,2011,2011.284932,1201,0.215,,
3,4/15/11,105,2011,2011.284932,1201,0.287,,
4,4/15/11,105,2011,2011.284932,1201,0.277,,
5,4/15/11,105,2011,2011.284932,1201,0.28,,
6,4/15/11,105,2011,2011.284932,1201,0.268,,
7,4/15/11,105,2011,2011.284932,1201,0.306,,
8,4/15/11,105,2011,2011.284932,1201,0.243,,
9,4/15/11,105,2011,2011.284932,1201,0.247,,
10,4/15/11,105,2011,2011.284932,1201,0.285,,
11,4/15/11,105,2011,2011.284932,1201,0.239,,
12,4/15/11,105,2011,2011.284932,1201,0.27,,
13,4/15/11,105,2011,2011.284932,1201,0.259,,
14,4/15/11,105,2011,2011.284932,1201,0.235,,
15,4/15/11,105,2011,2011.284932,1201,0.272,,
16,4/15/11,105,2011,2011.284932,1201,0.233,,
17,4/15/11,105,2011,2011.284932,1201,0.19,,
18,4/15/11,105,2011,2011.284932,1201,0.259,,
19,4/15/11,105,2011,2011.284932,1201,0.259,,
20,4/15/11,105,2011,2011.284932,1201,0.255,,
21,4/15/11,105,2011,2011.284932,1201,0.288,,
22,4/15/11,105,2011,2011.284932,1201,0.239,,
23,4/15/11,105,2011,2011.284932,1201,0.243,,
24,4/15/11,105,2011,2011.284932,1201,0.24,,
25,4/15/11,105,2011,2011.284932,1201,0.255,,
26,4/15/11,105,2011,2011.284932,1201,0.231,,
27,4/15/11,105,2011,2011.284932,1201,0.216,,
28,4/15/11,105,2011,2011.284932,1201,0.222,,
29,4/15/11,105,2011,2011.284932,1201,0.208,,
30,4/15/11,105,2011,2011.284932,1201,0.25,,
31,4/15/11,105,2011,2011.284932,1201,0.253,,
32,4/15/11,105,2011,2011.284932,1201,0.225,,
33,4/15/11,105,2011,2011.284932,1201,0.221,,
34,4/15/11,105,2011,2011.284932,1201,0.254,,
35,4/15/11,105,2011,2011.284932,1201,0.238,,
36,4/15/11,105,2011,2011.284932,1201,0.212,,
1,4/18/11,108,2011,2011.293151,1204,0.215,,
2,4/18/11,108,2011,2011.293151,1204,0.227,,
3,4/18/11,108,2011,2011.293151,1204,0.292,,
4,4/18/11,108,2011,2011.293151,1204,0.267,,
5,4/18/11,108,2011,2011.293151,1204,0.286,,
6,4/18/11,108,2011,2011.293151,1204,0.279,,
7,4/18/11,108,2011,2011.293151,1204,0.313,,
8,4/18/11,108,2011,2011.293151,1204,0.25,,
9,4/18/11,108,2011,2011.293151,1204,0.243,,
10,4/18/11,108,2011,2011.293151,1204,0.293,,
11,4/18/11,108,2011,2011.293151,1204,0.244,,
12,4/18/11,108,2011,2011.293151,1204,0.286,,
13,4/18/11,108,2011,2011.293151,1204,0.263,,
14,4/18/11,108,2011,2011.293151,1204,0.279,,
15,4/18/11,108,2011,2011.293151,1204,0.281,,
16,4/18/11,108,2011,2011.293151,1204,0.23,,
17,4/18/11,108,2011,2011.293151,1204,0.223,,
18,4/18/11,108,2011,2011.293151,1204,0.27,,
19,4/18/11,108,2011,2011.293151,1204,0.27,,
20,4/18/11,108,2011,2011.293151,1204,0.26,,
21,4/18/11,108,2011,2011.293151,1204,0.298,,
22,4/18/11,108,2011,2011.293151,1204,0.242,,
23,4/18/11,108,2011,2011.293151,1204,0.241,,
24,4/18/11,108,2011,2011.293151,1204,0.246,,
25,4/18/11,108,2011,2011.293151,1204,0.26,,
26,4/18/11,108,2011,2011.293151,1204,0.238,,
27,4/18/11,108,2011,2011.293151,1204,0.214,,
28,4/18/11,108,2011,2011.293151,1204,0.228,,
29,4/18/11,108,2011,2011.293151,1204,0.218,,
30,4/18/11,108,2011,2011.293151,1204,0.253,,
31,4/18/11,108,2011,2011.293151,1204,0.252,,
32,4/18/11,108,2011,2011.293151,1204,0.235,,
33,4/18/11,108,2011,2011.293151,1204,0.237,,
34,4/18/11,108,2011,2011.293151,1204,0.264,,
35,4/18/11,108,2011,2011.293151,1204,0.255,,
36,4/18/11,108,2011,2011.293151,1204,0.239,,
1,4/26/11,116,2011,2011.315068,1212,0.192,,
2,4/26/11,116,2011,2011.315068,1212,0.214,,
3,4/26/11,116,2011,2011.315068,1212,0.275,,
4,4/26/11,116,2011,2011.315068,1212,0.252,,
5,4/26/11,116,2011,2011.315068,1212,0.266,,
6,4/26/11,116,2011,2011.315068,1212,0.266,,
7,4/26/11,116,2011,2011.315068,1212,0.29,,
8,4/26/11,116,2011,2011.315068,1212,0.241,,
9,4/26/11,116,2011,2011.315068,1212,0.2,,
10,4/26/11,116,2011,2011.315068,1212,0.272,,
11,4/26/11,116,2011,2011.315068,1212,0.242,,
12,4/26/11,116,2011,2011.315068,1212,0.273,,
13,4/26/11,116,2011,2011.315068,1212,0.254,,
14,4/26/11,116,2011,2011.315068,1212,0.135,,
15,4/26/11,116,2011,2011.315068,1212,0.264,,
16,4/26/11,116,2011,2011.315068,1212,0.231,,
17,4/26/11,116,2011,2011.315068,1212,.,,
18,4/26/11,116,2011,2011.315068,1212,0.262,,
19,4/26/11,116,2011,2011.315068,1212,0.252,,
20,4/26/11,116,2011,2011.315068,1212,0.252,,
21,4/26/11,116,2011,2011.315068,1212,0.266,,
22,4/26/11,116,2011,2011.315068,1212,0.223,,
23,4/26/11,116,2011,2011.315068,1212,0.235,,
24,4/26/11,116,2011,2011.315068,1212,0.243,,
25,4/26/11,116,2011,2011.315068,1212,0.259,,
26,4/26/11,116,2011,2011.315068,1212,0.235,,
27,4/26/11,116,2011,2011.315068,1212,0.208,,
28,4/26/11,116,2011,2011.315068,1212,0.209,,
29,4/26/11,116,2011,2011.315068,1212,0.203,,
30,4/26/11,116,2011,2011.315068,1212,0.246,,
31,4/26/11,116,2011,2011.315068,1212,0.222,,
32,4/26/11,116,2011,2011.315068,1212,0.231,,
33,4/26/11,116,2011,2011.315068,1212,0.228,,
34,4/26/11,116,2011,2011.315068,1212,0.258,,
35,4/26/11,116,2011,2011.315068,1212,0.237,,
36,4/26/11,116,2011,2011.315068,1212,0.204,,
1,5/9/11,129,2011,2011.350685,1225,0.169,,
2,5/9/11,129,2011,2011.350685,1225,0.194,,
3,5/9/11,129,2011,2011.350685,1225,0.227,,
4,5/9/11,129,2011,2011.350685,1225,0.192,,
5,5/9/11,129,2011,2011.350685,1225,0.208,,
6,5/9/11,129,2011,2011.350685,1225,0.227,,
7,5/9/11,129,2011,2011.350685,1225,0.257,,
8,5/9/11,129,2011,2011.350685,1225,0.224,,
9,5/9/11,129,2011,2011.350685,1225,.,,
10,5/9/11,129,2011,2011.350685,1225,0.25,,
11,5/9/11,129,2011,2011.350685,1225,0.23,,
12,5/9/11,129,2011,2011.350685,1225,0.256,,
13,5/9/11,129,2011,2011.350685,1225,0.192,,
14,5/9/11,129,2011,2011.350685,1225,0.19,,
15,5/9/11,129,2011,2011.350685,1225,0.21,,
16,5/9/11,129,2011,2011.350685,1225,0.2,,
17,5/9/11,129,2011,2011.350685,1225,0.199,,
18,5/9/11,129,2011,2011.350685,1225,0.225,,
19,5/9/11,129,2011,2011.350685,1225,0.227,,
20,5/9/11,129,2011,2011.350685,1225,0.231,,
21,5/9/11,129,2011,2011.350685,1225,0.213,,
22,5/9/11,129,2011,2011.350685,1225,0.186,,
23,5/9/11,129,2011,2011.350685,1225,0.218,,
24,5/9/11,129,2011,2011.350685,1225,0.215,,
25,5/9/11,129,2011,2011.350685,1225,0.223,,
26,5/9/11,129,2011,2011.350685,1225,0.209,,
27,5/9/11,129,2011,2011.350685,1225,0.172,,
28,5/9/11,129,2011,2011.350685,1225,0.159,,
29,5/9/11,129,2011,2011.350685,1225,0.175,,
30,5/9/11,129,2011,2011.350685,1225,0.09,,
31,5/9/11,129,2011,2011.350685,1225,0.231,,
32,5/9/11,129,2011,2011.350685,1225,.,,
33,5/9/11,129,2011,2011.350685,1225,0.194,,
34,5/9/11,129,2011,2011.350685,1225,0.205,,
35,5/9/11,129,2011,2011.350685,1225,0.19,,
36,5/9/11,129,2011,2011.350685,1225,0.098,,
1,5/10/11,130,2011,2011.353425,1226,.,,
2,5/10/11,130,2011,2011.353425,1226,.,,
3,5/10/11,130,2011,2011.353425,1226,.,,
4,5/10/11,130,2011,2011.353425,1226,.,,
5,5/10/11,130,2011,2011.353425,1226,.,,
6,5/10/11,130,2011,2011.353425,1226,.,,
7,5/10/11,130,2011,2011.353425,1226,.,,
8,5/10/11,130,2011,2011.353425,1226,.,,
9,5/10/11,130,2011,2011.353425,1226,0.209,,
10,5/10/11,130,2011,2011.353425,1226,.,,
11,5/10/11,130,2011,2011.353425,1226,.,,
12,5/10/11,130,2011,2011.353425,1226,.,,
13,5/10/11,130,2011,2011.353425,1226,.,,
14,5/10/11,130,2011,2011.353425,1226,.,,
15,5/10/11,130,2011,2011.353425,1226,.,,
16,5/10/11,130,2011,2011.353425,1226,.,,
17,5/10/11,130,2011,2011.353425,1226,.,,
18,5/10/11,130,2011,2011.353425,1226,.,,
19,5/10/11,130,2011,2011.353425,1226,.,,
20,5/10/11,130,2011,2011.353425,1226,.,,
21,5/10/11,130,2011,2011.353425,1226,.,,
22,5/10/11,130,2011,2011.353425,1226,.,,
23,5/10/11,130,2011,2011.353425,1226,.,,
24,5/10/11,130,2011,2011.353425,1226,.,,
25,5/10/11,130,2011,2011.353425,1226,.,,
26,5/10/11,130,2011,2011.353425,1226,.,,
27,5/10/11,130,2011,2011.353425,1226,.,,
28,5/10/11,130,2011,2011.353425,1226,.,,
29,5/10/11,130,2011,2011.353425,1226,.,,
30,5/10/11,130,2011,2011.353425,1226,.,,
31,5/10/11,130,2011,2011.353425,1226,.,,
32,5/10/11,130,2011,2011.353425,1226,0.201,,
33,5/10/11,130,2011,2011.353425,1226,.,,
34,5/10/11,130,2011,2011.353425,1226,.,,
35,5/10/11,130,2011,2011.353425,1226,.,,
36,5/10/11,130,2011,2011.353425,1226,.,,
1,5/12/11,132,2011,2011.358904,1228,0.157,,
2,5/12/11,132,2011,2011.358904,1228,0.173,,
3,5/12/11,132,2011,2011.358904,1228,0.222,,
4,5/12/11,132,2011,2011.358904,1228,0.186,,
5,5/12/11,132,2011,2011.358904,1228,0.138,,
6,5/12/11,132,2011,2011.358904,1228,0.213,,
7,5/12/11,132,2011,2011.358904,1228,0.247,,
8,5/12/11,132,2011,2011.358904,1228,.,,
9,5/12/11,132,2011,2011.358904,1228,0.212,,
10,5/12/11,132,2011,2011.358904,1228,0.243,,
11,5/12/11,132,2011,2011.358904,1228,0.21,,
12,5/12/11,132,2011,2011.358904,1228,0.257,,
13,5/12/11,132,2011,2011.358904,1228,0.163,,
14,5/12/11,132,2011,2011.358904,1228,0.211,,
15,5/12/11,132,2011,2011.358904,1228,0.186,,
16,5/12/11,132,2011,2011.358904,1228,0.178,,
17,5/12/11,132,2011,2011.358904,1228,0.2,,
18,5/12/11,132,2011,2011.358904,1228,0.217,,
19,5/12/11,132,2011,2011.358904,1228,0.224,,
20,5/12/11,132,2011,2011.358904,1228,0.221,,
21,5/12/11,132,2011,2011.358904,1228,0.185,,
22,5/12/11,132,2011,2011.358904,1228,0.177,,
23,5/12/11,132,2011,2011.358904,1228,0.211,,
24,5/12/11,132,2011,2011.358904,1228,0.204,,
25,5/12/11,132,2011,2011.358904,1228,0.206,,
26,5/12/11,132,2011,2011.358904,1228,0.205,,
27,5/12/11,132,2011,2011.358904,1228,0.147,,
28,5/12/11,132,2011,2011.358904,1228,0.127,,
29,5/12/11,132,2011,2011.358904,1228,0.155,,
30,5/12/11,132,2011,2011.358904,1228,0.182,,
31,5/12/11,132,2011,2011.358904,1228,0.228,,
32,5/12/11,132,2011,2011.358904,1228,0.2,,
33,5/12/11,132,2011,2011.358904,1228,0.181,,
34,5/12/11,132,2011,2011.358904,1228,0.19,,
35,5/12/11,132,2011,2011.358904,1228,0.177,,
36,5/12/11,132,2011,2011.358904,1228,0.08,,
1,5/20/11,140,2011,2011.380822,1236,0.199,,
2,5/20/11,140,2011,2011.380822,1236,0.224,,
3,5/20/11,140,2011,2011.380822,1236,0.27,,
4,5/20/11,140,2011,2011.380822,1236,0.214,,
5,5/20/11,140,2011,2011.380822,1236,0.25,,
6,5/20/11,140,2011,2011.380822,1236,0.291,,
7,5/20/11,140,2011,2011.380822,1236,0.328,,
8,5/20/11,140,2011,2011.380822,1236,0.264,,
9,5/20/11,140,2011,2011.380822,1236,0.283,,
10,5/20/11,140,2011,2011.380822,1236,0.302,,
11,5/20/11,140,2011,2011.380822,1236,0.265,,
12,5/20/11,140,2011,2011.380822,1236,0.253,,
13,5/20/11,140,2011,2011.380822,1236,0.255,,
14,5/20/11,140,2011,2011.380822,1236,0.298,,
15,5/20/11,140,2011,2011.380822,1236,0.286,,
16,5/20/11,140,2011,2011.380822,1236,0.236,,
17,5/20/11,140,2011,2011.380822,1236,0.255,,
18,5/20/11,140,2011,2011.380822,1236,0.289,,
19,5/20/11,140,2011,2011.380822,1236,.,,
20,5/20/11,140,2011,2011.380822,1236,0.285,,
21,5/20/11,140,2011,2011.380822,1236,0.23,,
22,5/20/11,140,2011,2011.380822,1236,0.206,,
23,5/20/11,140,2011,2011.380822,1236,0.236,,
24,5/20/11,140,2011,2011.380822,1236,0.254,,
25,5/20/11,140,2011,2011.380822,1236,0.276,,
26,5/20/11,140,2011,2011.380822,1236,0.252,,
27,5/20/11,140,2011,2011.380822,1236,0.218,,
28,5/20/11,140,2011,2011.380822,1236,0.185,,
29,5/20/11,140,2011,2011.380822,1236,0.219,,
30,5/20/11,140,2011,2011.380822,1236,0.243,,
31,5/20/11,140,2011,2011.380822,1236,0.275,,
32,5/20/11,140,2011,2011.380822,1236,0.266,,
33,5/20/11,140,2011,2011.380822,1236,0.339,,
34,5/20/11,140,2011,2011.380822,1236,0.246,,
35,5/20/11,140,2011,2011.380822,1236,0.219,,
36,5/20/11,140,2011,2011.380822,1236,0.102,,
1,5/24/11,144,2011,2011.391781,1240,0.176,,
2,5/24/11,144,2011,2011.391781,1240,0.193,,
3,5/24/11,144,2011,2011.391781,1240,0.238,,
4,5/24/11,144,2011,2011.391781,1240,0.181,,
5,5/24/11,144,2011,2011.391781,1240,0.214,,
6,5/24/11,144,2011,2011.391781,1240,0.265,,
7,5/24/11,144,2011,2011.391781,1240,0.289,,
8,5/24/11,144,2011,2011.391781,1240,0.212,,
9,5/24/11,144,2011,2011.391781,1240,0.258,,
10,5/24/11,144,2011,2011.391781,1240,0.276,,
11,5/24/11,144,2011,2011.391781,1240,0.251,,
12,5/24/11,144,2011,2011.391781,1240,0.28,,
13,5/24/11,144,2011,2011.391781,1240,0.232,,
14,5/24/11,144,2011,2011.391781,1240,0.237,,
15,5/24/11,144,2011,2011.391781,1240,0.262,,
16,5/24/11,144,2011,2011.391781,1240,0.216,,
17,5/24/11,144,2011,2011.391781,1240,0.234,,
18,5/24/11,144,2011,2011.391781,1240,0.261,,
19,5/24/11,144,2011,2011.391781,1240,.,,
20,5/24/11,144,2011,2011.391781,1240,0.261,,
21,5/24/11,144,2011,2011.391781,1240,0.183,,
22,5/24/11,144,2011,2011.391781,1240,0.178,,
23,5/24/11,144,2011,2011.391781,1240,0.221,,
24,5/24/11,144,2011,2011.391781,1240,0.235,,
25,5/24/11,144,2011,2011.391781,1240,0.243,,
26,5/24/11,144,2011,2011.391781,1240,0.234,,
27,5/24/11,144,2011,2011.391781,1240,0.141,,
28,5/24/11,144,2011,2011.391781,1240,0.166,,
29,5/24/11,144,2011,2011.391781,1240,0.178,,
30,5/24/11,144,2011,2011.391781,1240,0.229,,
31,5/24/11,144,2011,2011.391781,1240,0.25,,
32,5/24/11,144,2011,2011.391781,1240,0.241,,
33,5/24/11,144,2011,2011.391781,1240,0.209,,
34,5/24/11,144,2011,2011.391781,1240,0.207,,
35,5/24/11,144,2011,2011.391781,1240,0.184,,
36,5/24/11,144,2011,2011.391781,1240,0.077,,
1,5/31/11,151,2011,2011.410959,1247,0.116,,
2,5/31/11,151,2011,2011.410959,1247,0.147,,
3,5/31/11,151,2011,2011.410959,1247,0.165,,
4,5/31/11,151,2011,2011.410959,1247,0.11,,
5,5/31/11,151,2011,2011.410959,1247,0.108,,
6,5/31/11,151,2011,2011.410959,1247,0.164,,
7,5/31/11,151,2011,2011.410959,1247,0.216,,
8,5/31/11,151,2011,2011.410959,1247,0.172,,
