BACE Fall 2012 tree phenology,,,,,,,,,,
Plot,loc,Tr_id,species,1st fall sign,>50% colored,"all 
colored",">50%  
fallen","all 
fallen",dead?,comments
4,8,9031,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
4,5,9628,A. rubrum,268,268,282,311,314,,
4,6,9629,A. rubrum,268,268,275,318,331,,
4,7,9630,A. rubrum,268,278,300,304,304,,
4,8,9631,A. rubrum,268,278,292,318,331,,
4,5,9328,U. americana,268,289,324,314,331,,
4,6,9329,U. americana,268,285,304,297,311,,
4,7,9330,U. americana,268,278,300,297,304,,
4,8,9331,U. americana,268,275,304,297,304,,
5,1,9032,Q. rubra,268,289,318,331,331,,
5,2,9033,Q. rubra,268,278,318,331,331,,
5,3,9034,Q. rubra,268,292,331,334,348,,
5,4,9035,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
5,1,9332,U. americana,268,268,311,314,318,,
5,2,9333,U. americana,268,289,311,314,318,,
5,3,9334,U. americana,268,275,311,311,314,,
5,4,9335,U. americana,268,268,289,297,297,,
5,1,9632,A. rubrum,268,295,300,307,314,,
5,2,9633,A. rubrum,268,278,292,307,314,,
5,3,9634,A. rubrum,268,275,285,307,331,,
5,4,9635,A. rubrum,268,278,289,304,314,,
5,5,9036,Q. rubra,268,304,321,321,355,,
5,6,9037,Q. rubra,275,297,311,331,331,,
5,7,9038,Q. rubra,268,278,311,334,334,,
5,8,9039,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
5,5,9636,A. rubrum,268,275,300,314,318,,
5,6,9637,A. rubrum,268,278,307,307,331,,
5,7,9638,A. rubrum,268,278,289,318,331,,
5,8,9639,A. rubrum,268,278,289,318,331,,
5,5,9336,U. americana,268,307,318,318,321,,
5,6,9337,U. americana,268,304,314,311,321,,
5,7,9338,U. americana,268,297,318,311,321,,
5,8,9339,U. americana,268,304,318,314,321,,
8,1,9040,Q. rubra,268,289,304,311,314,,
8,2,9041,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
8,3,9042,Q. rubra,268,292,311,318,331,,
8,4,9043,Q. rubra,268,289,289,297,297,,
8,1,9340,U. americana,268,285,304,300,307,,
8,2,9341,U. americana,268,304,311,304,314,,
8,3,9342,U. americana,268,292,311,304,311,,
8,4,9343,U. americana,268,282,297,297,297,,
8,1,9640,A. rubrum,268,278,304,304,318,,
8,2,9641,A. rubrum,268,278,292,297,300,,
8,3,9642,A. rubrum,268,275,304,307,311,,
8,4,9643,A. rubrum,268,275,289,297,300,,
8,5,9044,Q. rubra,268,285,297,304,304,,
8,6,9045,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
8,7,9046,Q. rubra,268,275,282,289,289,,"drying 261. leaves 10% green, 90% dry"
8,8,9047,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
8,5,9644,A. rubrum,268,289,307,314,314,,
8,6,9645,A. rubrum,268,278,300,314,331,,
8,7,9646,A. rubrum,268,275,297,297,304,,
8,8,9647,A. rubrum,268,289,311,318,321,,
8,5,9344,U. americana,268,278,.,304,331,,
8,6,9345,U. americana,268,300,.,314,331,,
8,7,9346,U. americana,268,300,304,304,304,,
8,8,9347,U. americana,268,297,314,307,314,,
9,1,9048,Q. rubra,268,289,331,348,348,,
9,2,9049,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
9,3,9050,Q. rubra,268,278,297,300,300,,
9,4,9051,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
9,1,9348,U. americana,268,285,318,314,331,,
9,2,9349,U. americana,268,289,314,311,314,,
9,3,9350,U. americana,268,275,311,311,318,,
9,4,9351,U. americana,268,289,321,311,331,,
9,1,9648,A. rubrum,268,275,297,297,311,,
9,2,9649,A. rubrum,268,297,307,318,331,,
9,3,9650,A. rubrum,268,297,314,318,331,,
9,4,9651,A. rubrum,268,275,304,304,314,,
9,5,9052,Q. rubra,268,314,318,339,341,,
9,6,9053,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
9,7,9054,Q. rubra,268,318,334,339,345,,
9,8,9055,Q. rubra,268,289,318,331,331,,
9,5,9652,A. rubrum,268,297,331,321,331,,
9,6,9653,A. rubrum,268,275,324,321,331,,
9,7,9654,A. rubrum,268,307,318,331,331,,
9,8,9655,A. rubrum,268,297,321,331,331,,
9,5,9352,U. americana,268,307,318,321,331,,
9,6,9353,U. americana,268,318,318,321,331,,
9,7,9354,U. americana,268,275,297,300,304,,
9,8,9355,U. americana,268,268,314,321,331,,
12,1,9056,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
12,2,9057,Q. rubra,268,278,297,318,324,,
12,3,9058,Q. rubra,268,285,311,324,331,,
12,4,9059,Q. rubra,268,292,318,331,331,,
12,1,9356,U. americana,268,282,314,307,314,,
12,2,9357,U. americana,268,285,324,300,324,,
12,3,9358,U. americana,268,268,307,300,307,,
12,4,9359,U. americana,268,307,307,311,314,,
12,1,9656,A. rubrum,268,278,289,278,300,,
12,2,9657,A. rubrum,268,282,289,297,300,,
12,3,9658,A. rubrum,268,282,307,307,311,,
12,4,9659,A. rubrum,268,278,304,304,304,,
12,5,9060,Q. rubra,268,275,285,292,292,,"leaves 15% green, 85% dry day 261"
12,6,9061,Q. rubra,268,285,297,318,318,,
12,7,9062,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
12,8,9063,Q. rubra,268,278,278,282,282,,"leaves 5% green, 95% dry day 261"
12,5,9660,A. rubrum,268,289,292,297,300,,
12,6,9661,A. rubrum,268,278,311,297,318,,
12,7,9662,A. rubrum,268,278,292,297,300,,
12,8,9663,A. rubrum,268,289,314,300,324,,
12,5,9360,U. americana,268,289,304,300,307,,
12,6,9361,U. americana,268,275,297,285,297,,
12,7,9362,U. americana,268,278,297,292,300,,
12,8,9363,U. americana,268,292,311,300,311,,
13,1,9064,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,2,9065,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,3,9066,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,4,9067,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,1,9364,U. americana,268,285,318,304,318,,
13,2,9365,U. americana,268,268,314,300,318,,
13,3,9366,U. americana,268,268,289,311,314,,
13,4,9367,U. americana,268,268,282,292,297,,
13,1,9664,A. rubrum,268,268,285,311,314,,
13,2,9665,A. rubrum,268,278,282,318,331,,
13,3,9666,A. rubrum,268,275,289,314,331,,
13,4,9667,A. rubrum,268,314,321,321,331,,
13,5,9068,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,6,9069,Q. rubra,268,297,318,331,331,,
13,7,9070,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,8,9071,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,5,9668,A. rubrum,268,282,297,297,331,,
13,6,9669,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
13,7,9670,A. rubrum,268,278,289,311,314,,
13,8,9671,A. rubrum,268,278,311,.,331,,
13,5,9368,U. americana,268,311,318,318,331,,
13,6,9369,U. americana,268,268,314,311,314,,
13,7,9370,U. americana,268,278,318,318,331,,
13,8,9371,U. americana,xxx,xxx,xxx,xxx,xxx,y,dried <261
16,1,9072,Q. rubra,278,297,318,331,341,,
16,2,9073,Q. rubra,268,282,300,311,321,,
16,3,9074,Q. rubra,xxx,xxx,xxx,xxx,xxx,m,leaves gone but stem still green day 261
16,4,9075,Q. rubra,268,311,318,331,339,,
16,1,9372,U. americana,268,268,289,289,297,,
16,2,9373,U. americana,268,268,311,307,314,,
16,3,9374,U. americana,268,268,304,300,311,,
16,4,9375,U. americana,268,275,297,300,300,,
16,1,9672,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
16,2,9673,A. rubrum,268,278,289,300,300,,
16,3,9674,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
16,4,9675,A. rubrum,268,275,297,307,314,,
16,5,9076,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
16,6,9077,Q. rubra,268,282,304,321,331,,
16,7,9078,Q. rubra,268,278,304,318,318,,
16,8,9079,Q. rubra,268,282,292,300,304,,
16,5,9676,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
16,6,9677,A. rubrum,268,268,285,292,297,,
16,7,9678,A. rubrum,268,268,275,292,297,,
16,8,9679,A. rubrum,268,275,285,297,304,,
16,5,9376,U. americana,268,275,297,299,300,,
16,6,9377,U. americana,268,268,285,292,304,,
16,7,9378,U. americana,268,268,285,292,297,,
16,8,9379,U. americana,268,268,307,307,311,,
17,1,9080,Q. rubra,268,275,289,297,300,,
17,2,9081,Q. rubra,xxx,xxx,xxx,xxx,xxx,m,leaves dried but stem still green 261
17,3,9082,Q. rubra,268,278,292,304,311,,
17,4,9083,Q. rubra,268,278,289,304,304,,
17,1,9380,U. americana,268,278,307,292,307,,
17,2,9381,U. americana,268,275,292,297,300,,
17,3,9382,U. americana,268,278,304,297,304,,
17,4,9383,U. americana,268,275,304,297,304,,
17,1,9680,A. rubrum,268,268,268,300,311,,
17,2,9681,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,
17,3,9682,A. rubrum,268,268,275,292,297,,
17,4,9683,A. rubrum,268,268,275,297,304,,
17,5,9084,Q. rubra,268,278,300,314,314,,
17,6,9085,Q. rubra,268,289,297,307,311,,
17,7,9086,Q. rubra,268,285,307,308,331,,
17,8,9087,Q. rubra,268,300,311,308,321,,
17,5,9684,A. rubrum,268,275,278,311,311,,
17,6,9685,A. rubrum,268,278,285,311,311,,
17,7,9686,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
17,8,9687,A. rubrum,268,275,292,297,311,,
17,5,9384,U. americana,268,282,314,311,318,,
17,6,9385,U. americana,268,282,311,304,311,,
17,7,9386,U. americana,268,278,318,311,321,,
17,8,9387,U. americana,268,289,314,311,318,,
20,1,9088,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
20,2,9089,Q. rubra,268,314,321,331,4-Mar-13,,
20,3,9090,Q. rubra,268,311,321,339,341,,
20,4,9091,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
20,1,9388,U. americana,268,285,318,311,324,,
20,2,9389,U. americana,268,268,304,304,307,,
20,3,9390,U. americana,268,268,278,289,307,,
20,4,9391,U. americana,268,275,318,321,331,,
20,1,9688,A. rubrum,268,282,318,331,331,,
20,2,9689,A. rubrum,268,275,289,300,304,,
20,3,9690,A. rubrum,268,275,307,307,314,,
20,4,9691,A. rubrum,268,282,307,314,331,,
20,5,9092,Q. rubra,268,307,321,331,331,,
20,6,9093,Q. rubra,268,311,331,331,341,,
20,7,9094,Q. rubra,xxx,xxx,xxx,xxx,xxx,m,leaves all dry but part of the stem is green.  Day 261
20,8,9095,Q. rubra,268,278,297,304,304,,
20,5,9692,A. rubrum,268,278,304,311,311,,
20,6,9693,A. rubrum,268,275,285,318,339,,
20,7,9694,A. rubrum,268,278,324,331,334,,
20,8,9695,A. rubrum,268,275,311,331,331,,
20,5,9392,U. americana,268,275,314,318,321,,
20,6,9393,U. americana,268,275,318,318,321,,
20,7,9394,U. americana,268,275,318,314,331,,
20,8,9395,U. americana,268,275,318,314,321,,
21,1,9096,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,2,9097,Q. rubra,268,289,307,314,314,,"90% of leaf area is dry, 10% is green day 261"
21,3,9098,Q. rubra,307,331,339,348,348,,short resprout
21,4,9099,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,1,9396,U. americana,268,268,307,321,331,,
21,2,9397,U. americana,268,311,345,331,345,,
21,3,9398,U. americana,285,318,331,331,339,,resprout
21,4,9399,U. americana,268,311,318,321,321,,
21,1,9696,A. rubrum,268,268,297,311,314,,
21,2,9697,A. rubrum,268,289,318,314,324,,
21,3,9698,A. rubrum,268,268,307,314,314,,
21,4,9699,A. rubrum,268,282,297,324,331,,
21,5,9100,Q. rubra,268,307,318,334,348,,
21,6,9101,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,7,9102,Q. rubra,268,297,318,339,339,,
21,8,9103,Q. rubra,268,307,318,331,345,,
21,5,9700,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,6,9701,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,7,9702,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,8,9703,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
21,5,9400,U. americana,268,300,307,304,331,,
21,6,9401,U. americana,268,297,318,304,324,,
21,7,9402,U. americana,268,297,318,304,321,,
21,8,9403,U. americana,275,307,.,314,331,,
22,1,9104,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,2,9105,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,3,9106,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,4,9107,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,1,9404,U. americana,275,318,339,331,339,,
22,2,9405,U. americana,268,339,345,341,348,,
22,3,9406,U. americana,268,289,321,307,321,,
22,4,9407,U. americana,268,314,318,318,321,,
22,1,9704,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,2,9705,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,3,9706,A. rubrum,268,268,297,304,307,,
22,4,9707,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,5,9108,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,6,9109,Q. rubra,<<321,<321,321,331,348,n,resprout at base. Saw it day 321
22,7,9110,Q. rubra,275,304,318,341,344,,
22,8,9111,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,"dried <261, resprout. 50% colored day 10 2013. 50% fallen day 28 2013, all fallen 4 March 2013 (day 63)"
22,5,9708,A. rubrum,268,285,311,321,331,,
22,6,9709,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
22,7,9710,A. rubrum,275,314,324,331,339,,
22,8,9711,A. rubrum,268,278,300,311,314,,
22,5,9408,U. americana,268,275,304,297,307,,
22,6,9409,U. americana,268,282,311,297,314,,
22,7,9410,U. americana,268,275,297,297,300,,
22,8,9411,U. americana,268,282,307,297,307,,
23,1,9112,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
23,2,9113,Q. rubra,297,307,318,348,355,,"dried <261, resprout day 297"
23,3,9114,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
23,4,9115,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
23,1,9412,U. americana,268,275,318,314,318,,
23,2,9413,U. americana,268,278,304,300,307,,
23,3,9414,U. americana,268,282,304,297,307,,
23,4,9415,U. americana,268,268,314,307,318,,
23,1,9712,A. rubrum,268,275,289,300,307,,
23,2,9713,A. rubrum,268,278,292,297,297,,
23,3,9714,A. rubrum,268,275,304,307,311,,
23,4,9715,A. rubrum,268,282,289,300,331,,
23,5,9116,Q. rubra,268,278,285,331,331,,
23,6,9117,Q. rubra,268,282,307,318,331,,
23,7,9118,Q. rubra,268,278,278,285,285,,"90% leaf area dry, 10% green day 261.  All dry day 278"
23,8,9119,Q. rubra,268,278,285,307,307,,"90% leaf area dry, 10% green day 261"
23,5,9716,A. rubrum,268,268,297,311,311,,
23,6,9717,A. rubrum,268,275,289,297,300,,
23,7,9718,A. rubrum,268,268,275,285,300,,
23,8,9719,A. rubrum,268,268,289,297,300,,
23,5,9416,U. americana,268,275,289,292,297,,
23,6,9417,U. americana,268,268,292,297,300,,
23,7,9418,U. americana,268,275,314,311,318,,
23,8,9419,U. americana,268,285,307,300,307,,
24,1,9120,Q. rubra,314,318,321,331,355,,small lower leaves
24,2,9121,Q. rubra,268,275,314,321,321,,
24,3,9122,Q. rubra,268,282,289,318,331,,
24,4,9123,Q. rubra,268,275,282,289,297,,
24,1,9420,U. americana,268,268,289,292,297,,
24,2,9421,U. americana,268,289,304,297,304,,
24,3,9422,U. americana,268,278,300,297,300,,
24,4,9423,U. americana,268,278,300,292,300,,
24,1,9720,A. rubrum,268,282,297,311,311,,
24,2,9721,A. rubrum,268,268,292,311,324,,
24,3,9722,A. rubrum,268,278,297,297,321,,
24,4,9723,A. rubrum,268,278,304,300,331,,
24,5,9124,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,probably dried <261. noticed on day 278
24,6,9125,Q. rubra,268,275,292,304,314,,
24,7,9126,Q. rubra,268,297,318,334,348,,
24,8,9127,Q. rubra,268,275,292,297,300,,
24,5,9724,A. rubrum,268,275,292,297,307,,
24,6,9725,A. rubrum,xxx,xxx,xxx,xxx,xxx,y,dried <261
24,7,9726,A. rubrum,268,268,297,311,311,,
24,8,9727,A. rubrum,268,275,292,297,311,,
24,5,9424,U. americana,275,282,297,297,300,,
24,6,9425,U. americana,268,268,307,297,307,,
24,7,9426,U. americana,268,275,292,300,300,,
24,8,9427,U. americana,268,278,304,300,307,,
25,1,9128,Q. rubra,268,282,297,300,300,,"leaves 70% dry, 30% green on day 261"
25,2,9129,Q. rubra,268,278,292,304,304,,
25,3,9130,Q. rubra,268,278,297,311,314,,
25,4,9131,Q. rubra,268,278,297,304,314,,
25,1,9428,U. americana,268,268,289,297,300,,
25,2,9429,U. americana,268,275,297,297,300,,
25,3,9430,U. americana,268,282,292,292,297,,
25,4,9431,U. americana,268,289,304,297,304,,
25,1,9728,A. rubrum,268,289,297,300,300,,
25,2,9729,A. rubrum,268,289,292,297,300,,
25,3,9730,A. rubrum,268,282,297,300,304,,
25,4,9731,A. rubrum,268,289,297,297,311,,
25,5,9132,Q. rubra,268,268,282,285,285,,"80% leaves dry, 20% green day 261"
25,6,9133,Q. rubra,268,289,297,304,304,,
25,7,9134,Q. rubra,xxx,xxx,xxx,xxx,xxx,m,leaves gone but stem still green
25,8,9135,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
25,5,9732,A. rubrum,268,275,289,297,297,,
25,6,9733,A. rubrum,268,268,285,297,297,,
25,7,9734,A. rubrum,268,268,289,297,300,,
25,8,9735,A. rubrum,268,282,292,297,297,,
25,5,9432,U. americana,268,268,292,289,297,,
25,6,9433,U. americana,268,268,297,289,289,,
25,7,9434,U. americana,268,268,282,278,300,,
25,8,9435,U. americana,268,275,304,289,304,,
28,1,9136,Q. rubra,268,300,318,339,339,,
28,2,9137,Q. rubra,268,292,321,331,339,,
28,3,9138,Q. rubra,268,292,318,321,331,,
28,4,9139,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
28,1,9436,U. americana,268,275,318,297,321,,
28,2,9437,U. americana,268,275,314,300,324,,
28,3,9438,U. americana,268,282,307,300,311,,
28,4,9439,U. americana,268,268,300,297,307,,
28,1,9736,A. rubrum,268,285,314,318,331,,
28,2,9737,A. rubrum,268,285,297,311,331,,
28,3,9738,A. rubrum,268,275,297,304,314,,
28,4,9739,A. rubrum,268,268,297,304,314,,
28,5,9140,Q. rubra,268,282,297,304,314,,
28,6,9141,Q. rubra,268,304,318,331,339,,
28,7,9142,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
28,8,9143,Q. rubra,268,275,297,304,304,,
28,5,9740,A. rubrum,268,268,304,304,311,,
28,6,9741,A. rubrum,268,268,268,300,300,,
28,7,9742,A. rubrum,268,268,297,307,318,,
28,8,9743,A. rubrum,268,268,292,321,331,,
28,5,9440,U. americana,268,268,.,307,331,,
28,6,9441,U. americana,268,275,297,297,297,,
28,7,9442,U. americana,268,282,318,307,331,,
28,8,9443,U. americana,268,268,285,297,307,,
29,1,9144,Q. rubra,275,307,324,324,331,,
29,2,9145,Q. rubra,268,289,307,318,324,,
29,3,9146,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
29,4,9147,Q. rubra,268,307,321,331,339,,
29,1,9444,U. americana,268,278,318,311,321,,
29,2,9445,U. americana,268,282,318,314,331,,
29,3,9446,U. americana,268,268,304,304,307,,
29,4,9447,U. americana,268,282,318,311,318,,
29,1,9744,A. rubrum,268,268,289,311,318,,
29,2,9745,A. rubrum,268,275,311,311,314,,
29,3,9746,A. rubrum,268,278,321,324,334,,
29,4,9747,A. rubrum,268,282,300,307,321,,
29,5,9148,Q. rubra,275,282,282,282,282,,"leaves 95% dry, 5% green day 261"
29,6,9149,Q. rubra,275,307,314,331,331,,
29,7,9150,Q. rubra,268,268,318,324,341,,
29,8,9151,Q. rubra,268,300,307,318,318,,
29,5,9748,A. rubrum,268,275,300,318,324,,
29,6,9749,A. rubrum,268,278,300,321,331,,
29,7,9750,A. rubrum,268,275,297,318,331,,
29,8,9751,A. rubrum,268,282,314,331,334,,
29,5,9448,U. americana,268,289,331,321,339,,
29,6,9449,U. americana,268,275,321,331,331,,
29,7,9450,U. americana,268,278,318,314,331,,
29,8,9451,U. americana,268,278,318,318,331,,
32,1,9152,Q. rubra,<261,231,275,300,300,,
32,2,9153,Q. rubra,268,278,285,300,300,,
32,3,9154,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
32,4,9155,Q. rubra,268,278,282,282,282,,"leaf area 70% dried, 30% green day 261"
32,1,9452,U. americana,268,282,297,278,297,,
32,2,9453,U. americana,268,282,297,297,297,,
32,3,9454,U. americana,268,275,297,297,300,,
32,4,9455,U. americana,268,275,304,300,304,,
32,1,9752,A. rubrum,268,278,292,300,300,,
32,2,9753,A. rubrum,268,275,292,297,297,,
32,3,9754,A. rubrum,268,268,289,297,297,,
32,4,9755,A. rubrum,268,278,300,311,324,,
32,5,9156,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
32,6,9157,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
32,7,9158,Q. rubra,268,278,292,292,292,,"leaf area 60% dried, 40% green day 261"
32,8,9159,Q. rubra,268,278,292,297,297,,"leaf area 80% dried, 20% green day 261"
32,5,9756,A. rubrum,268,278,289,292,297,,
32,6,9757,A. rubrum,268,275,304,307,311,,
32,7,9758,A. rubrum,268,278,292,297,300,,
32,8,9759,A. rubrum,268,278,311,304,318,,
32,5,9456,U. americana,268,285,304,297,304,,
32,6,9457,U. americana,268,275,304,300,304,,
32,7,9458,U. americana,268,285,292,297,300,,
32,8,9459,U. americana,268,278,307,300,311,,
33,1,9160,Q. rubra,xxx,xxx,xxx,xxx,xxx,y,dried <261
33,2,9161,Q. rubra,307,318,331,355,355,n,"was dried <261, resprout"
