plot,date,day of year,year,decimal year,day,VWC
22,3/26/13,85,2013,,1911,0.214
23,3/26/13,85,2013,,1911,0.21
24,3/26/13,85,2013,,1911,0.243
25,3/26/13,85,2013,,1911,0.266
26,3/26/13,85,2013,,1911,0.247
27,3/26/13,85,2013,,1911,0.185
28,3/26/13,85,2013,,1911,0.228
29,3/26/13,85,2013,,1911,0.185
30,3/26/13,85,2013,,1911,0.216
31,3/26/13,85,2013,,1911,0.219
32,3/26/13,85,2013,,1911,0.252
33,3/26/13,85,2013,,1911,0.219
34,3/26/13,85,2013,,1911,0.247
35,3/26/13,85,2013,,1911,0.214
36,3/26/13,85,2013,,1911,0.205
1,4/8/13,98,2013,,1924,0.259
2,4/8/13,98,2013,,1924,0.15
3,4/8/13,98,2013,,1924,0.217
4,4/8/13,98,2013,,1924,0.236
5,4/8/13,98,2013,,1924,0.202
6,4/8/13,98,2013,,1924,0.206
7,4/8/13,98,2013,,1924,0.259
8,4/8/13,98,2013,,1924,0.243
9,4/8/13,98,2013,,1924,0.237
10,4/8/13,98,2013,,1924,0.26
11,4/8/13,98,2013,,1924,0.24
12,4/8/13,98,2013,,1924,0.255
13,4/8/13,98,2013,,1924,0.16
14,4/8/13,98,2013,,1924,0.225
15,4/8/13,98,2013,,1924,0.253
16,4/8/13,98,2013,,1924,0.242
17,4/8/13,98,2013,,1924,0.191
18,4/8/13,98,2013,,1924,0.228
19,4/8/13,98,2013,,1924,0.205
20,4/8/13,98,2013,,1924,0.223
21,4/8/13,98,2013,,1924,0.194
22,4/8/13,98,2013,,1924,0.203
23,4/8/13,98,2013,,1924,0.196
24,4/8/13,98,2013,,1924,0.209
25,4/8/13,98,2013,,1924,0.223
26,4/8/13,98,2013,,1924,0.218
27,4/8/13,98,2013,,1924,0.18
28,4/8/13,98,2013,,1924,0.204
29,4/8/13,98,2013,,1924,0.185
30,4/8/13,98,2013,,1924,0.176
31,4/8/13,98,2013,,1924,0.202
32,4/8/13,98,2013,,1924,0.217
33,4/8/13,98,2013,,1924,0.196
34,4/8/13,98,2013,,1924,0.218
35,4/8/13,98,2013,,1924,0.182
36,4/8/13,98,2013,,1924,0.154
1,4/25/13,115,2013,,1941,0.245
2,4/25/13,115,2013,,1941,0.212
3,4/25/13,115,2013,,1941,0.199
4,4/25/13,115,2013,,1941,0.233
5,4/25/13,115,2013,,1941,0.208
6,4/25/13,115,2013,,1941,0.22
7,4/25/13,115,2013,,1941,0.243
8,4/25/13,115,2013,,1941,0.221
9,4/25/13,115,2013,,1941,0.237
10,4/25/13,115,2013,,1941,0.264
11,4/25/13,115,2013,,1941,0.255
12,4/25/13,115,2013,,1941,0.277
13,4/25/13,115,2013,,1941,0.158
14,4/25/13,115,2013,,1941,0.217
15,4/25/13,115,2013,,1941,0.261
16,4/25/13,115,2013,,1941,0.197
17,4/25/13,115,2013,,1941,0.253
18,4/25/13,115,2013,,1941,0.221
19,4/25/13,115,2013,,1941,0.238
20,4/25/13,115,2013,,1941,0.231
21,4/25/13,115,2013,,1941,0.189
22,4/25/13,115,2013,,1941,0.191
23,4/25/13,115,2013,,1941,0.16
24,4/25/13,115,2013,,1941,0.206
25,4/25/13,115,2013,,1941,0.257
26,4/25/13,115,2013,,1941,0.246
27,4/25/13,115,2013,,1941,0.207
28,4/25/13,115,2013,,1941,0.213
29,4/25/13,115,2013,,1941,0.143
30,4/25/13,115,2013,,1941,0.217
31,4/25/13,115,2013,,1941,0.211
32,4/25/13,115,2013,,1941,0.237
33,4/25/13,115,2013,,1941,0.191
34,4/25/13,115,2013,,1941,0.198
35,4/25/13,115,2013,,1941,0.142
36,4/25/13,115,2013,,1941,0.116
1,5/3/13,123,2013,,1949,0.214
2,5/3/13,123,2013,,1949,0.185
3,5/3/13,123,2013,,1949,0.158
4,5/3/13,123,2013,,1949,0.131
5,5/3/13,123,2013,,1949,0.155
6,5/3/13,123,2013,,1949,0.176
7,5/3/13,123,2013,,1949,0.231
8,5/3/13,123,2013,,1949,0.177
9,5/3/13,123,2013,,1949,0.199
10,5/3/13,123,2013,,1949,0.213
11,5/3/13,123,2013,,1949,0.228
12,5/3/13,123,2013,,1949,0.235
13,5/3/13,123,2013,,1949,0.123
14,5/3/13,123,2013,,1949,0.143
15,5/3/13,123,2013,,1949,0.186
16,5/3/13,123,2013,,1949,0.158
17,5/3/13,123,2013,,1949,0.171
18,5/3/13,123,2013,,1949,0.178
19,5/3/13,123,2013,,1949,0.2
20,5/3/13,123,2013,,1949,0.186
21,5/3/13,123,2013,,1949,0.158
22,5/3/13,123,2013,,1949,0.164
23,5/3/13,123,2013,,1949,0.125
24,5/3/13,123,2013,,1949,0.164
25,5/3/13,123,2013,,1949,0.213
26,5/3/13,123,2013,,1949,0.196
27,5/3/13,123,2013,,1949,0.163
28,5/3/13,123,2013,,1949,0.142
29,5/3/13,123,2013,,1949,0.095
30,5/3/13,123,2013,,1949,0.171
31,5/3/13,123,2013,,1949,0.15
32,5/3/13,123,2013,,1949,0.191
33,5/3/13,123,2013,,1949,0.152
34,5/3/13,123,2013,,1949,0.155
35,5/3/13,123,2013,,1949,0.111
36,5/3/13,123,2013,,1949,0.067
1,5/6/13,126,2013,,1952,0.199
2,5/6/13,126,2013,,1952,0.174
3,5/6/13,126,2013,,1952,0.146
4,5/6/13,126,2013,,1952,0.164
5,5/6/13,126,2013,,1952,0.152
6,5/6/13,126,2013,,1952,0.135
7,5/6/13,126,2013,,1952,0.185
8,5/6/13,126,2013,,1952,0.172
9,5/6/13,126,2013,,1952,0.183
10,5/6/13,126,2013,,1952,0.197
11,5/6/13,126,2013,,1952,0.219
12,5/6/13,126,2013,,1952,0.238
13,5/6/13,126,2013,,1952,0.116
14,5/6/13,126,2013,,1952,0.121
15,5/6/13,126,2013,,1952,0.161
16,5/6/13,126,2013,,1952,0.147
17,5/6/13,126,2013,,1952,0.153
18,5/6/13,126,2013,,1952,0.168
19,5/6/13,126,2013,,1952,0.164
20,5/6/13,126,2013,,1952,0.186
21,5/6/13,126,2013,,1952,0.138
22,5/6/13,126,2013,,1952,0.127
23,5/6/13,126,2013,,1952,0.153
24,5/6/13,126,2013,,1952,0.145
25,5/6/13,126,2013,,1952,0.189
26,5/6/13,126,2013,,1952,0.177
27,5/6/13,126,2013,,1952,0.099
28,5/6/13,126,2013,,1952,0.121
29,5/6/13,126,2013,,1952,0.123
30,5/6/13,126,2013,,1952,0.162
31,5/6/13,126,2013,,1952,0.163
32,5/6/13,126,2013,,1952,0.175
33,5/6/13,126,2013,,1952,0.133
34,5/6/13,126,2013,,1952,0.137
35,5/6/13,126,2013,,1952,0.103
36,5/6/13,126,2013,,1952,0.061
1,5/9/13,129,2013,,1955,0.196
2,5/9/13,129,2013,,1955,.
3,5/9/13,129,2013,,1955,.
4,5/9/13,129,2013,,1955,0.108
5,5/9/13,129,2013,,1955,.
6,5/9/13,129,2013,,1955,0.201
7,5/9/13,129,2013,,1955,0.107
8,5/9/13,129,2013,,1955,.
9,5/9/13,129,2013,,1955,.
10,5/9/13,129,2013,,1955,0.202
11,5/9/13,129,2013,,1955,.
12,5/9/13,129,2013,,1955,0.237
13,5/9/13,129,2013,,1955,0.094
14,5/9/13,129,2013,,1955,.
15,5/9/13,129,2013,,1955,0.109
16,5/9/13,129,2013,,1955,0.112
17,5/9/13,129,2013,,1955,.
18,5/9/13,129,2013,,1955,0.182
19,5/9/13,129,2013,,1955,0.181
20,5/9/13,129,2013,,1955,0.139
21,5/9/13,129,2013,,1955,.
22,5/9/13,129,2013,,1955,.
23,5/9/13,129,2013,,1955,0.023
24,5/9/13,129,2013,,1955,.
25,5/9/13,129,2013,,1955,.
26,5/9/13,129,2013,,1955,0.035
27,5/9/13,129,2013,,1955,0.202
28,5/9/13,129,2013,,1955,0.116
29,5/9/13,129,2013,,1955,.
30,5/9/13,129,2013,,1955,0.115
31,5/9/13,129,2013,,1955,.
32,5/9/13,129,2013,,1955,0.177
33,5/9/13,129,2013,,1955,0.136
34,5/9/13,129,2013,,1955,0.137
35,5/9/13,129,2013,,1955,.
36,5/9/13,129,2013,,1955,0.059
1,5/22/13,142,2013,,1968,0.175
2,5/22/13,142,2013,,1968,0.13
3,5/22/13,142,2013,,1968,0.109
4,5/22/13,142,2013,,1968,0.082
5,5/22/13,142,2013,,1968,0.165
6,5/22/13,142,2013,,1968,0.337
7,5/22/13,142,2013,,1968,0.147
8,5/22/13,142,2013,,1968,0.183
9,5/22/13,142,2013,,1968,0.183
10,5/22/13,142,2013,,1968,0.18
11,5/22/13,142,2013,,1968,0.223
12,5/22/13,142,2013,,1968,0.238
13,5/22/13,142,2013,,1968,0.096
14,5/22/13,142,2013,,1968,0.097
15,5/22/13,142,2013,,1968,0.135
16,5/22/13,142,2013,,1968,0.139
17,5/22/13,142,2013,,1968,0.125
18,5/22/13,142,2013,,1968,0.198
19,5/22/13,142,2013,,1968,0.204
20,5/22/13,142,2013,,1968,0.147
21,5/22/13,142,2013,,1968,0.09
22,5/22/13,142,2013,,1968,0.112
23,5/22/13,142,2013,,1968,0.133
24,5/22/13,142,2013,,1968,0.127
25,5/22/13,142,2013,,1968,0.241
26,5/22/13,142,2013,,1968,0.209
27,5/22/13,142,2013,,1968,0.155
28,5/22/13,142,2013,,1968,0.127
29,5/22/13,142,2013,,1968,0.091
30,5/22/13,142,2013,,1968,0.138
31,5/22/13,142,2013,,1968,0.084
32,5/22/13,142,2013,,1968,0.167
33,5/22/13,142,2013,,1968,0.121
34,5/22/13,142,2013,,1968,0.105
35,5/22/13,142,2013,,1968,0.087
36,5/22/13,142,2013,,1968,0.058
1,5/31/13,151,2013,,1977,0.21233
2,5/31/13,151,2013,,1977,0.16881
3,5/31/13,151,2013,,1977,0.12649
4,5/31/13,151,2013,,1977,0.08299
5,5/31/13,151,2013,,1977,0.22543
6,5/31/13,151,2013,,1977,0.20403
7,5/31/13,151,2013,,1977,0.19482
8,5/31/13,151,2013,,1977,0.1981
9,5/31/13,151,2013,,1977,0.23118
10,5/31/13,151,2013,,1977,0.23295
11,5/31/13,151,2013,,1977,0.2586
12,5/31/13,151,2013,,1977,0.28789
13,5/31/13,151,2013,,1977,0.1445
14,5/31/13,151,2013,,1977,0.16095
15,5/31/13,151,2013,,1977,0.2363
16,5/31/13,151,2013,,1977,0.24614
17,5/31/13,151,2013,,1977,0.20391
18,5/31/13,151,2013,,1977,0.22977
19,5/31/13,151,2013,,1977,0.23745
20,5/31/13,151,2013,,1977,0.21245
21,5/31/13,151,2013,,1977,0.09394
22,5/31/13,151,2013,,1977,0.08683
23,5/31/13,151,2013,,1977,0.16172
24,5/31/13,151,2013,,1977,0.16158
25,5/31/13,151,2013,,1977,0.27327
26,5/31/13,151,2013,,1977,0.24005
27,5/31/13,151,2013,,1977,.
28,5/31/13,151,2013,,1977,0.21813
29,5/31/13,151,2013,,1977,0.15092
30,5/31/13,151,2013,,1977,0.19906
31,5/31/13,151,2013,,1977,0.08451
32,5/31/13,151,2013,,1977,0.15352
33,5/31/13,151,2013,,1977,.
34,5/31/13,151,2013,,1977,0.09223
35,5/31/13,151,2013,,1977,0.08777
36,5/31/13,151,2013,,1977,0.08486
1,6/17/13,168,2013,,1994,0.23181
2,6/17/13,168,2013,,1994,.
3,6/17/13,168,2013,,1994,0.16779
4,6/17/13,168,2013,,1994,.
5,6/17/13,168,2013,,1994,0.25234
6,6/17/13,168,2013,,1994,0.24056
7,6/17/13,168,2013,,1994,0.23665
8,6/17/13,168,2013,,1994,0.21529
9,6/17/13,168,2013,,1994,0.25693
10,6/17/13,168,2013,,1994,0.26522
11,6/17/13,168,2013,,1994,0.25412
12,6/17/13,168,2013,,1994,0.27836
13,6/17/13,168,2013,,1994,0.21927
14,6/17/13,168,2013,,1994,0.24305
15,6/17/13,168,2013,,1994,0.26711
16,6/17/13,168,2013,,1994,0.25137
17,6/17/13,168,2013,,1994,0.18116
18,6/17/13,168,2013,,1994,.
19,6/17/13,168,2013,,1994,.
20,6/17/13,168,2013,,1994,.
21,6/17/13,168,2013,,1994,.
22,6/17/13,168,2013,,1994,.
23,6/17/13,168,2013,,1994,.
24,6/17/13,168,2013,,1994,.
25,6/17/13,168,2013,,1994,.
26,6/17/13,168,2013,,1994,.
27,6/17/13,168,2013,,1994,.
28,6/17/13,168,2013,,1994,.
29,6/17/13,168,2013,,1994,.
30,6/17/13,168,2013,,1994,.
31,6/17/13,168,2013,,1994,.
32,6/17/13,168,2013,,1994,.
33,6/17/13,168,2013,,1994,.
34,6/17/13,168,2013,,1994,.
35,6/17/13,168,2013,,1994,.
36,6/17/13,168,2013,,1994,.
1,6/22/13,173,2013,,1999,0.21844
2,6/22/13,173,2013,,1999,0.17645
3,6/22/13,173,2013,,1999,0.14487
4,6/22/13,173,2013,,1999,0.12243
5,6/22/13,173,2013,,1999,0.24104
6,6/22/13,173,2013,,1999,0.22061
7,6/22/13,173,2013,,1999,0.20979
8,6/22/13,173,2013,,1999,0.19105
9,6/22/13,173,2013,,1999,0.23745
10,6/22/13,173,2013,,1999,0.23375
11,6/22/13,173,2013,,1999,0.2394
12,6/22/13,173,2013,,1999,0.26767
13,6/22/13,173,2013,,1999,0.20261
14,6/22/13,173,2013,,1999,0.21282
15,6/22/13,173,2013,,1999,0.24986
16,6/22/13,173,2013,,1999,0.23268
17,6/22/13,173,2013,,1999,0.16799
18,6/22/13,173,2013,,1999,0.21207
19,6/22/13,173,2013,,1999,0.22273
20,6/22/13,173,2013,,1999,0.24554
21,6/22/13,173,2013,,1999,0.13499
22,6/22/13,173,2013,,1999,0.11862
23,6/22/13,173,2013,,1999,0.17118
24,6/22/13,173,2013,,1999,0.18878
25,6/22/13,173,2013,,1999,.
26,6/22/13,173,2013,,1999,.
27,6/22/13,173,2013,,1999,.
28,6/22/13,173,2013,,1999,.
29,6/22/13,173,2013,,1999,.
30,6/22/13,173,2013,,1999,.
31,6/22/13,173,2013,,1999,.
32,6/22/13,173,2013,,1999,.
33,6/22/13,173,2013,,1999,.
34,6/22/13,173,2013,,1999,.
35,6/22/13,173,2013,,1999,.
36,6/22/13,173,2013,,1999,.
1,8/14/13,226,2013,,2052,0.09992
2,8/14/13,226,2013,,2052,0.06253
3,8/14/13,226,2013,,2052,.
4,8/14/13,226,2013,,2052,.
5,8/14/13,226,2013,,2052,0.13855
6,8/14/13,226,2013,,2052,0.08868
7,8/14/13,226,2013,,2052,0.09604
8,8/14/13,226,2013,,2052,0.0789
9,8/14/13,226,2013,,2052,0.12358
10,8/14/13,226,2013,,2052,0.11963
11,8/14/13,226,2013,,2052,0.12643
12,8/14/13,226,2013,,2052,0.17827
13,8/14/13,226,2013,,2052,0.11567
14,8/14/13,226,2013,,2052,0.10717
15,8/14/13,226,2013,,2052,0.14008
16,8/14/13,226,2013,,2052,0.12469
17,8/14/13,226,2013,,2052,0.14025
18,8/14/13,226,2013,,2052,0.15037
19,8/14/13,226,2013,,2052,0.14787
20,8/14/13,226,2013,,2052,0.14073
21,8/14/13,226,2013,,2052,0.07313
22,8/14/13,226,2013,,2052,0.0614
23,8/14/13,226,2013,,2052,0.11149
24,8/14/13,226,2013,,2052,0.08645
25,8/14/13,226,2013,,2052,0.20391
26,8/14/13,226,2013,,2052,0.16137
27,8/14/13,226,2013,,2052,.
28,8/14/13,226,2013,,2052,0.15552
29,8/14/13,226,2013,,2052,0.11805
30,8/14/13,226,2013,,2052,0.12769
31,8/14/13,226,2013,,2052,0.08542
32,8/14/13,226,2013,,2052,0.11001
33,8/14/13,226,2013,,2052,0.06994
34,8/14/13,226,2013,,2052,0.07864
35,8/14/13,226,2013,,2052,0.11172
36,8/14/13,226,2013,,2052,0.05814
1,9/13/13,256,2013,,2082,0.08552
2,9/13/13,256,2013,,2082,0.04711
3,9/13/13,256,2013,,2082,0.08255
4,9/13/13,256,2013,,2082,0.06012
5,9/13/13,256,2013,,2082,0.11948
6,9/13/13,256,2013,,2082,0.08579
7,9/13/13,256,2013,,2082,0.0936
8,9/13/13,256,2013,,2082,0.08351
9,9/13/13,256,2013,,2082,0.08131
10,9/13/13,256,2013,,2082,0.10168
11,9/13/13,256,2013,,2082,0.15671
12,9/13/13,256,2013,,2082,0.17414
13,9/13/13,256,2013,,2082,0.0961
14,9/13/13,256,2013,,2082,0.10075
15,9/13/13,256,2013,,2082,0.1227
16,9/13/13,256,2013,,2082,0.12952
17,9/13/13,256,2013,,2082,0.15054
18,9/13/13,256,2013,,2082,0.13393
19,9/13/13,256,2013,,2082,0.11464
20,9/13/13,256,2013,,2082,0.10258
21,9/13/13,256,2013,,2082,0.06641
22,9/13/13,256,2013,,2082,.
23,9/13/13,256,2013,,2082,0.09927
24,9/13/13,256,2013,,2082,0.07152
25,9/13/13,256,2013,,2082,0.17285
26,9/13/13,256,2013,,2082,.
27,9/13/13,256,2013,,2082,.
28,9/13/13,256,2013,,2082,0.13874
29,9/13/13,256,2013,,2082,.
30,9/13/13,256,2013,,2082,.
31,9/13/13,256,2013,,2082,.
32,9/13/13,256,2013,,2082,.
33,9/13/13,256,2013,,2082,.
34,9/13/13,256,2013,,2082,.
35,9/13/13,256,2013,,2082,.
36,9/13/13,256,2013,,2082,.
1,10/11/13,284,2013,,2110,.
2,10/11/13,284,2013,,2110,0.044
3,10/11/13,284,2013,,2110,0.04951
4,10/11/13,284,2013,,2110,0.05056
5,10/11/13,284,2013,,2110,0.09341
6,10/11/13,284,2013,,2110,0.04959
7,10/11/13,284,2013,,2110,0.07551
8,10/11/13,284,2013,,2110,0.08059
9,10/11/13,284,2013,,2110,.
10,10/11/13,284,2013,,2110,0.10483
11,10/11/13,284,2013,,2110,0.10413
12,10/11/13,284,2013,,2110,0.0986
13,10/11/13,284,2013,,2110,0.07821
14,10/11/13,284,2013,,2110,0.10214
15,10/11/13,284,2013,,2110,0.09591
16,10/11/13,284,2013,,2110,0.1151
17,10/11/13,284,2013,,2110,0.08754
18,10/11/13,284,2013,,2110,0.11658
19,10/11/13,284,2013,,2110,0.09496
20,10/11/13,284,2013,,2110,0.10418
21,10/11/13,284,2013,,2110,0.07478
22,10/11/13,284,2013,,2110,0.07747
23,10/11/13,284,2013,,2110,0.088248
24,10/11/13,284,2013,,2110,0.07496
25,10/11/13,284,2013,,2110,0.15735
26,10/11/13,284,2013,,2110,0.1007
27,10/11/13,284,2013,,2110,.
28,10/11/13,284,2013,,2110,0.10474
29,10/11/13,284,2013,,2110,0.07827
30,10/11/13,284,2013,,2110,0.10118
31,10/11/13,284,2013,,2110,0.08215
32,10/11/13,284,2013,,2110,0.09042
33,10/11/13,284,2013,,2110,0.06566
34,10/11/13,284,2013,,2110,0.0655
35,10/11/13,284,2013,,2110,0.07248
36,10/11/13,284,2013,,2110,0.06898
