year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
7,1,3,204,5,6,,,,6,6
7,1,5,133,1,0,,,,0,0
7,1,5,143,1,1,,,,1,1
7,1,5,148,1,1,,,,1,1
7,1,5,156,1,1,2,,,1.5,1.25
7,1,5,162,1,1,2,,,1.5,1.5
7,1,5,169,1,2,3,4,,3,2.75
7,1,5,176,1,3,4,,,3.5,3.75
7,1,5,184,1,4,5,,,4.5,4.5
7,1,5,190,1,3,4,5,,4,4.5
7,1,5,197,1,3,4,5,,4,4
7,1,5,204,1,5,,,,5,5
7,1,5,133,2,0,,,,0,0
7,1,5,143,2,1,,,,1,1
7,1,5,148,2,1,,,,1,1
7,1,5,156,2,1,,,,1,1
7,1,5,162,2,1,2,,,1.5,1.75
7,1,5,169,2,2,3,,,2.5,2.75
7,1,5,176,2,3,4,,,3.5,3.5
7,1,5,184,2,5,,,,5,5
7,1,5,190,2,5,,,,5,5
7,1,5,133,3,0,,,,0,0
7,1,5,143,3,1,,,,1,1
7,1,5,148,3,1,,,,1,1
7,1,5,156,3,1,,,,1,1
7,1,5,162,3,1,2,,,1.5,1.25
7,1,5,169,3,2,3,4,,3,3.25
7,1,5,176,3,3,4,5,,4,3.75
7,1,5,184,3,3,4,5,6,4.5,3.75
7,1,5,143,4,0,,,,0,0
7,1,5,148,4,1,,,,1,1
7,1,5,156,4,1,,,,1,1
7,1,5,162,4,1,,,,1,1
7,1,5,169,4,2,3,,,2.5,2.5
7,1,5,176,4,4,5,,,4.5,4.5
7,1,5,184,4,5,,,,5,5
7,1,5,190,4,5,,,,5,5
7,1,5,133,5,0,,,,0,0
7,1,5,143,5,1,,,,1,1
7,1,5,148,5,1,,,,1,1
7,1,5,156,5,1,2,,,1.5,1.25
7,1,5,162,5,1,2,3,,2,1.5
7,1,5,169,5,1,2,,,1.5,1.5
7,1,5,176,5,2,3,5,,3.333333333,3
7,1,5,184,5,4,5,,,4.5,4.5
7,1,5,190,5,4,5,,,4.5,4.5
7,1,5,197,5,3,5,,,4,4
7,1,5,204,5,5,,,,5,5
7,1,6,148,4,0,,,,0,0
7,1,6,156,4,1,,,,1,1
7,1,6,162,4,1,,,,1,1
7,1,6,169,4,1,,,,1,1
7,1,6,176,4,2,,,,2,2
7,1,6,184,4,4,,,,4,4
7,1,6,190,4,4,,,,4,4
7,1,9,133,1,0,,,,0,0
7,1,9,143,1,1,,,,1,1
7,1,9,148,1,1,,,,1,1
7,1,9,156,1,1,,,,1,1
7,1,9,162,1,1,,,,1,1
7,1,9,169,1,1,2,3,,2,2
7,1,9,176,1,2,3,,,2.5,2.75
7,1,9,184,1,4,,,,4,4
7,1,9,190,1,4,,,,4,4
7,1,9,133,3,0,,,,0,0
7,1,9,143,3,1,,,,1,1
7,1,9,148,3,1,,,,1,1
7,1,9,156,3,1,,,,1,1
7,1,9,162,3,1,,,,1,1
7,1,9,169,3,1,2,3,,2,2
7,1,9,176,3,3,4,,,3.5,3.25
7,1,9,184,3,3,4,,,3.5,3.25
7,1,9,190,3,4,,,,4,4
7,1,9,197,3,3,4,5,,4,4
7,1,10,133,1,0,,,,0,0
7,1,10,143,1,1,,,,1,1
7,1,10,148,1,1,,,,1,1
7,1,10,156,1,1,,,,1,1
7,1,10,162,1,1,,,,1,1
7,1,10,169,1,2,,,,2,2
7,1,10,176,1,3,4,5,,4,4
7,1,10,184,1,5,,,,5,5
7,1,10,133,2,0,,,,0,0
7,1,10,143,2,1,,,,1,1
7,1,10,148,2,1,,,,1,1
7,1,10,156,2,2,,,,2,2
7,1,10,162,2,3,,,,3,3
7,1,10,169,2,4,5,,,4.5,4.5
7,1,10,176,2,5,,,,5,5
7,1,10,184,2,5,,,,5,5
7,1,10,190,2,5,,,,5,5
7,1,10,197,2,5,,,,5,5
7,1,10,204,2,6,,,,6,6
7,1,10,133,4,0,,,,0,0
7,1,10,143,4,1,,,,1,1
7,1,10,148,4,1,,,,1,1
7,1,10,156,4,1,2,,,1.5,1.75
7,1,10,162,4,2,3,,,2.5,2.75
7,1,10,169,4,3,4,,,3.5,3.25
7,1,10,176,4,4,5,,,4.5,4.5
7,1,10,184,4,5,,,,5,5
7,1,10,190,4,5,,,,5,5
7,1,10,197,4,5,,,,5,5
7,1,10,204,4,6,,,,6,6
7,1,10,156,5,0,,,,0,0
7,1,10,162,5,1,,,,1,1
7,1,10,169,5,2,,,,2,2
7,1,10,176,5,3,4,,,3.5,3.5
7,1,10,184,5,4,5,,,4.5,4.75
7,1,10,190,5,5,,,,5,5
7,1,10,197,5,5,,,,5,5
7,1,10,204,5,6,,,,6,6
7,3,4,162,1,0,,,,0,0
7,3,4,170,1,1,,,,1,1
7,3,4,177,1,2,,,,2,2
7,3,4,183,1,2,4,,,3,3.25
7,3,4,191,1,3,4,5,,4,3.75
7,3,4,198,1,5,,,,5,5
7,3,4,205,1,5,,,,5,5
7,3,10,162,1,0,,,,0,0
7,3,10,170,1,1,,,,1,1
7,3,10,177,1,1,,,,1,1
7,3,10,183,1,1,2,,,1.5,1.25
7,3,10,191,1,3,,,,3,3
7,3,10,198,1,4,5,,,4.5,4.5
7,3,10,205,1,5,,,,5,5
7,4,4,150,1,0,,,,0,0
7,4,4,155,1,1,,,,1,1
7,4,4,163,1,1,,,,1,1
7,4,4,170,1,1,2,,,1.5,1.75
7,4,4,177,1,3,4,,,3.5,3.25
7,4,4,183,1,3,4,5,,4,3.75
7,4,6,140,2,0,,,,0,0
7,4,6,150,2,1,,,,1,1
7,4,6,155,2,1,,,,1,1
7,4,6,163,2,1,2,,,1.5,1.5
7,4,6,170,2,1,2,,,1.5,1.5
7,4,6,177,2,2,3,4,,3,2.75
7,4,6,183,2,3,5,,,4,3.25
7,4,10,140,1,0,,,,0,0
7,4,10,150,1,1,,,,1,1
7,4,10,155,1,1,,,,1,1
7,4,10,163,1,1,,,,1,0
7,4,10,170,1,1,2,,,1.5,1.75
7,4,10,177,1,1,3,4,5,3.25,3.75
7,4,10,183,1,3,4,5,,4,4
7,4,10,191,1,3,4,5,,4,4
7,4,10,140,3,0,,,,0,0
7,4,10,150,3,1,,,,1,1
7,4,10,155,3,1,,,,1,1
7,4,10,163,3,1, ,,,1,1
7,4,10,170,3,1,2,,,1.5,1.5
7,4,10,177,3,2,3,,,2.5,2.25
7,4,10,183,3,4,,,,4,4
7,4,10,140,4,0,,,,0,0
7,4,10,150,4,1,,,,1,1
7,4,10,155,4,1,,,,1,1
7,4,10,163,4,1,2,,,1.5,1.5
7,4,10,170,4,1,2,3,,2,2
7,4,10,177,4,2,3,4,,3,3
7,4,10,183,4,3,4,5,,4,4
7,4,10,191,4,5,,,,5,5
