"site","plot","species","event","temptype","tbase","gdd.est","gdd.est.se","modaic","X","temptreat","preciptreat"
"bace","13","Acer.rubrum","lod","soilgdd","0","1054.663","87.911","1147.862",5,"3","0"
"bace","13","Acer.rubrum","lod","soilgdd","8","275.054","49.362","1047.44",5,"3","0"
"bace","13","Quercus.rubra","lod","soilgdd","2","710.35","134.838","1255.16",5,"3","0"
"bace","13","Quercus.rubra","lod","soilgdd","10","30414.82","9548.753","2039.017",5,"3","0"
"bace","13","Quercus.rubra","lod","soilgdd","4","519.023","119.957","1233.643",5,"3","0"
"bace","13","Quercus.rubra","lod","soilgdd","8","197.993","83.352","1166.656",5,"3","0"
"bace","14","Acer.rubrum","lod","soilgdd","10","59368.578","5294.604","1860.935",6,"2","0"
"bace","14","Quercus.rubra","lod","soilgdd","6","595.156","74.115","1208.814",6,"2","0"
"bace","14","Quercus.rubra","lod","soilgdd","10","50375.369","6751.988","2039.017",6,"2","0"
"bace","14","Acer.rubrum","lod","soilgdd","6","707.738","61.734","1086.355",6,"2","0"
"bace","14","Betula.lenta","lod","soilgdd","10","51373.422","11813.917","1402.815",6,"2","0"
"bace","14","Betula.lenta","lod","soilgdd","2","1026.706","163.975","855.317",6,"2","0"
"bace","14","Acer.rubrum","lod","soilgdd","4","916.166","70.643","1109.811",6,"2","0"
"bace","14","Acer.rubrum","lod","soilgdd","2","1132.612","79.264","1129.846",6,"2","0"
"bace","14","Quercus.rubra","lod","soilgdd","0","1270.723","105.885","1274.453",6,"2","0"
"bace","14","Betula.lenta","lod","soilgdd","4","821.593","146.462","840.86",6,"2","0"
"bace","14","Betula.lenta","lod","soilgdd","0","1306.065","181.497","868.313",6,"2","0"
"bace","14","Quercus.rubra","lod","soilgdd","8","388.98","58.939","1166.656",6,"2","0"
"bace","14","Quercus.rubra","lod","soilgdd","4","790.25","84.822","1233.643",6,"2","0"
"bace","14","Betula.lenta","lod","soilgdd","6","624.499","128.866","824.477",6,"2","0"
"bace","14","Acer.rubrum","lod","soilgdd","8","488.229","49.362","1047.44",6,"2","0"
"bace","14","Acer.rubrum","lod","soilgdd","0","1423.305","87.911","1147.862",6,"2","0"
"bace","14","Betula.lenta","lod","soilgdd","8","416.322","106.001","799.475",6,"2","0"
"bace","14","Quercus.rubra","lod","soilgdd","2","993.363","95.345","1255.16",6,"2","0"
"bace","15","Acer.rubrum","lod","soilgdd","10","34509.316","5294.604","1860.935",7,"1","0"
"bace","15","Quercus.rubra","lod","soilgdd","10","24963.498","7796.524","2039.017",7,"1","0"
"bace","15","Quercus.rubra","lod","soilgdd","6","326.517","85.581","1208.814",7,"1","0"
"bace","15","Quercus.rubra","lod","soilgdd","0","822.777","122.265","1274.453",7,"1","0"
"bace","15","Acer.rubrum","lod","soilgdd","6","454.6","61.734","1086.355",7,"1","0"
"bace","15","Quercus.rubra","lod","soilgdd","2","650.794","110.095","1255.16",7,"1","0"
"bace","15","Acer.rubrum","lod","soilgdd","2","818.877","79.264","1129.846",7,"1","0"
"bace","15","Quercus.rubra","lod","soilgdd","8","147.294","68.057","1166.656",7,"1","0"
"bace","15","Betula.lenta","lod","soilgdd","10","25981.95","6820.768","1402.815",7,"1","0"
"bace","15","Quercus.rubra","lod","soilgdd","4","488.108","97.945","1233.643",7,"1","0"
"bace","15","Acer.rubrum","lod","soilgdd","4","636.191","70.643","1109.811",7,"1","0"
"bace","15","Betula.lenta","lod","soilgdd","0","855.067","104.788","868.313",7,"1","0"
"bace","15","Acer.rubrum","lod","soilgdd","8","232.72","49.362","1047.44",7,"1","0"
"bace","15","Acer.rubrum","lod","soilgdd","0","1010.86","87.911","1147.862",7,"1","0"
"bace","15","Betula.lenta","lod","soilgdd","2","680.418","94.671","855.317",7,"1","0"
"bace","15","Betula.lenta","lod","soilgdd","6","350.807","74.401","824.477",7,"1","0"
"bace","15","Betula.lenta","lod","soilgdd","8","172.913","61.2","799.475",7,"1","0"
"bace","15","Betula.lenta","lod","soilgdd","4","515.065","84.56","840.86",7,"1","0"
"bace","16","Acer.rubrum","lod","soilgdd","2","814.459","97.078","1129.846",8,"0","0"
"bace","16","Quercus.rubra","lod","soilgdd","2","659.378","134.838","1255.16",8,"0","0"
"bace","16","Acer.rubrum","lod","soilgdd","10","37076.301","6484.539","1860.935",8,"0","0"
"bace","16","Quercus.rubra","lod","soilgdd","0","846.327","149.744","1274.453",8,"0","0"
"bace","16","Quercus.rubra","lod","soilgdd","10","27694.756","9548.753","2039.017",8,"0","0"
"bace","16","Quercus.rubra","lod","soilgdd","6","311.052","104.814","1208.814",8,"0","0"
"bace","16","Quercus.rubra","lod","soilgdd","8","106.399","83.352","1166.656",8,"0","0"
"bace","16","Quercus.rubra","lod","soilgdd","4","497.601","119.957","1233.643",8,"0","0"
"bace","16","Acer.rubrum","lod","soilgdd","6","426.133","75.608","1086.355",8,"0","0"
"bace","16","Acer.rubrum","lod","soilgdd","0","1021.407","107.668","1147.862",8,"0","0"
"bace","16","Acer.rubrum","lod","soilgdd","8","181.731","60.456","1047.44",8,"0","0"
"bace","16","Acer.rubrum","lod","soilgdd","4","632.682","86.519","1109.811",8,"0","0"
"bace","17","Quercus.rubra","lod","soilgdd","2","929.471","110.095","1255.16",9,"0","1"
"bace","17","Acer.rubrum","lod","soilgdd","10","35991.656","4585.262","1860.935",9,"0","1"
"bace","17","Betula.lenta","lod","soilgdd","6","319.967","128.866","824.477",9,"0","1"
"bace","17","Quercus.rubra","lod","soilgdd","10","41831.428","7796.524","2039.017",9,"0","1"
"bace","17","Betula.lenta","lod","soilgdd","10","23972.355","11813.917","1402.815",9,"0","1"
"bace","17","Betula.lenta","lod","soilgdd","2","635.913","163.975","855.317",9,"0","1"
"bace","17","Quercus.rubra","lod","soilgdd","6","540.191","85.581","1208.814",9,"0","1"
"bace","17","Betula.lenta","lod","soilgdd","8","129.803","106.001","799.475",9,"0","1"
"bace","17","Acer.rubrum","lod","soilgdd","6","471.239","53.463","1086.355",9,"0","1"
"bace","17","Acer.rubrum","lod","soilgdd","2","837.185","68.644","1129.846",9,"0","1"
"bace","17","Betula.lenta","lod","soilgdd","4","476.915","146.462","840.86",9,"0","1"
"bace","17","Quercus.rubra","lod","soilgdd","0","1136.414","122.265","1274.453",9,"0","1"
"bace","17","Quercus.rubra","lod","soilgdd","8","267.769","68.057","1166.656",9,"0","1"
"bace","17","Acer.rubrum","lod","soilgdd","8","222.922","42.749","1047.44",9,"0","1"
"bace","17","Acer.rubrum","lod","soilgdd","4","653.188","61.178","1109.811",9,"0","1"
"bace","17","Quercus.rubra","lod","soilgdd","4","733.807","97.945","1233.643",9,"0","1"
"bace","17","Acer.rubrum","lod","soilgdd","0","1032.462","76.133","1147.862",9,"0","1"
"bace","17","Betula.lenta","lod","soilgdd","0","806.19","181.497","868.313",9,"0","1"
"bace","18","Betula.lenta","lod","soilgdd","10","39658.484","6820.768","1402.815",10,"1","1"
"bace","18","Quercus.rubra","lod","soilgdd","8","211.755","58.939","1166.656",10,"1","1"
"bace","18","Betula.lenta","lod","soilgdd","6","383.984","74.401","824.477",10,"1","1"
"bace","18","Quercus.rubra","lod","soilgdd","2","837.045","95.345","1255.16",10,"1","1"
"bace","18","Acer.rubrum","lod","soilgdd","8","366.703","60.456","1047.44",10,"1","1"
"bace","18","Betula.lenta","lod","soilgdd","2","792.311","94.671","855.317",10,"1","1"
"bace","18","Quercus.rubra","lod","soilgdd","10","42893.595","6751.988","2039.017",10,"1","1"
"bace","18","Betula.lenta","lod","soilgdd","8","186.166","61.2","799.475",10,"1","1"
"bace","18","Acer.rubrum","lod","soilgdd","0","1393.019","107.668","1147.862",10,"1","1"
"bace","18","Acer.rubrum","lod","soilgdd","4","882.534","86.519","1109.811",10,"1","1"
"bace","18","Betula.lenta","lod","soilgdd","4","598.899","84.56","840.86",10,"1","1"
"bace","18","Quercus.rubra","lod","soilgdd","4","638.3","84.822","1233.643",10,"1","1"
"bace","18","Acer.rubrum","lod","soilgdd","2","1112.28","97.078","1129.846",10,"1","1"
"bace","18","Acer.rubrum","lod","soilgdd","6","631.286","75.608","1086.355",10,"1","1"
"bace","18","Betula.lenta","lod","soilgdd","0","1036.716","104.788","868.313",10,"1","1"
"bace","18","Quercus.rubra","lod","soilgdd","0","1086.784","105.885","1274.453",10,"1","1"
"bace","18","Acer.rubrum","lod","soilgdd","10","61934.726","6484.539","1860.935",10,"1","1"
"bace","18","Quercus.rubra","lod","soilgdd","6","418.052","74.115","1208.814",10,"1","1"
"bace","19","Quercus.rubra","lod","soilgdd","8","159.544","68.057","1166.656",11,"2","1"
"bace","19","Betula.lenta","lod","soilgdd","0","898.352","128.338","868.313",11,"2","1"
"bace","19","Betula.lenta","lod","soilgdd","10","31077.314","8353.701","1402.815",11,"2","1"
"bace","19","Betula.lenta","lod","soilgdd","4","496.441","103.564","840.86",11,"2","1"
"bace","19","Betula.lenta","lod","soilgdd","6","317.181","91.122","824.477",11,"2","1"
"bace","19","Quercus.rubra","lod","soilgdd","10","36292.768","7796.524","2039.017",11,"2","1"
"bace","19","Betula.lenta","lod","soilgdd","2","703.589","115.948","855.317",11,"2","1"
"bace","19","Quercus.rubra","lod","soilgdd","2","779.17","110.095","1255.16",11,"2","1"
"bace","19","Betula.lenta","lod","soilgdd","8","126.43","74.954","799.475",11,"2","1"
"bace","19","Quercus.rubra","lod","soilgdd","4","561.688","97.945","1233.643",11,"2","1"
"bace","19","Quercus.rubra","lod","soilgdd","0","984.266","122.265","1274.453",11,"2","1"
"bace","19","Quercus.rubra","lod","soilgdd","6","372.095","85.581","1208.814",11,"2","1"
"bace","2","Betula.lenta","lod","soilgdd","10","36736.435","6820.768","1402.815",12,"1","-1"
"bace","2","Quercus.rubra","lod","soilgdd","8","163.169","68.057","1166.656",12,"1","-1"
"bace","2","Betula.lenta","lod","soilgdd","6","376.924","74.401","824.477",12,"1","-1"
"bace","2","Acer.rubrum","lod","soilgdd","8","228.333","42.749","1047.44",12,"1","-1"
"bace","2","Quercus.rubra","lod","soilgdd","2","737.062","110.095","1255.16",12,"1","-1"
"bace","2","Acer.rubrum","lod","soilgdd","2","881.102","68.644","1129.846",12,"1","-1"
"bace","2","Betula.lenta","lod","soilgdd","8","183.845","61.2","799.475",12,"1","-1"
"bace","2","Acer.rubrum","lod","soilgdd","4","664.53","61.178","1109.811",12,"1","-1"
"bace","2","Betula.lenta","lod","soilgdd","4","569.528","84.56","840.86",12,"1","-1"
"bace","2","Quercus.rubra","lod","soilgdd","4","538.657","97.945","1233.643",12,"1","-1"
"bace","2","Quercus.rubra","lod","soilgdd","10","34213.922","7796.524","2039.017",12,"1","-1"
"bace","2","Acer.rubrum","lod","soilgdd","0","1109.966","76.133","1147.862",12,"1","-1"
"bace","2","Quercus.rubra","lod","soilgdd","6","350.052","85.581","1208.814",12,"1","-1"
"bace","2","Acer.rubrum","lod","soilgdd","6","457.759","53.463","1086.355",12,"1","-1"
"bace","2","Acer.rubrum","lod","soilgdd","10","43465.962","4585.262","1860.935",12,"1","-1"
"bace","2","Betula.lenta","lod","soilgdd","2","771.933","94.671","855.317",12,"1","-1"
"bace","2","Betula.lenta","lod","soilgdd","0","986.631","104.788","868.313",12,"1","-1"
"bace","2","Quercus.rubra","lod","soilgdd","0","947.759","122.265","1274.453",12,"1","-1"
"bace","20","Betula.lenta","lod","soilgdd","4","607.572","73.231","840.86",13,"3","1"
"bace","20","Quercus.rubra","lod","soilgdd","6","394.751","74.115","1208.814",13,"3","1"
"bace","20","Quercus.rubra","lod","soilgdd","2","819.456","95.345","1255.16",13,"3","1"
"bace","20","Betula.lenta","lod","soilgdd","10","41586.692","5906.959","1402.815",13,"3","1"
"bace","20","Betula.lenta","lod","soilgdd","2","832.175","81.987","855.317",13,"3","1"
"bace","20","Acer.rubrum","lod","soilgdd","0","1113.543","152.266","1147.862",13,"3","1"
"bace","20","Betula.lenta","lod","soilgdd","6","398.289","64.433","824.477",13,"3","1"
"bace","20","Quercus.rubra","lod","soilgdd","8","178.377","58.939","1166.656",13,"3","1"
"bace","20","Quercus.rubra","lod","soilgdd","0","1036.321","105.885","1274.453",13,"3","1"
"bace","20","Quercus.rubra","lod","soilgdd","4","598.353","84.822","1233.643",13,"3","1"
"bace","20","Acer.rubrum","lod","soilgdd","8","206.13","85.498","1047.44",13,"3","1"
"bace","20","Acer.rubrum","lod","soilgdd","4","656.575","122.357","1109.811",13,"3","1"
"bace","20","Betula.lenta","lod","soilgdd","8","169.126","53","799.475",13,"3","1"
"bace","20","Acer.rubrum","lod","soilgdd","6","441.293","106.926","1086.355",13,"3","1"
"bace","20","Acer.rubrum","lod","soilgdd","2","887.178","137.288","1129.846",13,"3","1"
"bace","20","Betula.lenta","lod","soilgdd","0","1052.539","90.749","868.313",13,"3","1"
"bace","20","Acer.rubrum","lod","soilgdd","10","44862.96","9170.523","1860.935",13,"3","1"
"bace","20","Quercus.rubra","lod","soilgdd","10","39817.368","6751.988","2039.017",13,"3","1"
"bace","21","Betula.lenta","lod","soilgdd","0","1068.284","128.338","868.313",14,"3","-1"
"bace","21","Acer.rubrum","lod","soilgdd","0","978.741","107.668","1147.862",14,"3","-1"
"bace","21","Quercus.rubra","lod","soilgdd","2","741.701","110.095","1255.16",14,"3","-1"
"bace","21","Acer.rubrum","lod","soilgdd","8","181.08","60.456","1047.44",14,"3","-1"
"bace","21","Acer.rubrum","lod","soilgdd","6","333.083","75.608","1086.355",14,"3","-1"
"bace","21","Betula.lenta","lod","soilgdd","6","395.626","91.122","824.477",14,"3","-1"
"bace","21","Acer.rubrum","lod","soilgdd","2","741.701","97.078","1129.846",14,"3","-1"
"bace","21","Quercus.rubra","lod","soilgdd","8","181.08","68.057","1166.656",14,"3","-1"
"bace","21","Betula.lenta","lod","soilgdd","2","822.244","115.948","855.317",14,"3","-1"
"bace","21","Betula.lenta","lod","soilgdd","4","582.492","103.564","840.86",14,"3","-1"
"bace","21","Betula.lenta","lod","soilgdd","10","41588.017","8353.701","1402.815",14,"3","-1"
"bace","21","Acer.rubrum","lod","soilgdd","4","510.949","86.519","1109.811",14,"3","-1"
"bace","21","Quercus.rubra","lod","soilgdd","0","978.741","122.265","1274.453",14,"3","-1"
"bace","21","Quercus.rubra","lod","soilgdd","10","36781.076","7796.524","2039.017",14,"3","-1"
"bace","21","Quercus.rubra","lod","soilgdd","4","510.949","97.945","1233.643",14,"3","-1"
"bace","21","Quercus.rubra","lod","soilgdd","6","333.083","85.581","1208.814",14,"3","-1"
"bace","21","Betula.lenta","lod","soilgdd","8","228.527","74.954","799.475",14,"3","-1"
"bace","21","Acer.rubrum","lod","soilgdd","10","36781.076","6484.539","1860.935",14,"3","-1"
"bace","22","Betula.lenta","lod","soilgdd","0","1101.056","181.497","868.313",15,"2","-1"
"bace","22","Acer.rubrum","lod","soilgdd","0","1126.375","87.911","1147.862",15,"2","-1"
"bace","22","Acer.rubrum","lod","soilgdd","4","646.767","70.643","1109.811",15,"2","-1"
"bace","22","Quercus.rubra","lod","soilgdd","6","592.801","104.814","1208.814",15,"2","-1"
"bace","22","Acer.rubrum","lod","soilgdd","8","281.002","49.362","1047.44",15,"2","-1"
"bace","22","Quercus.rubra","lod","soilgdd","8","413.892","83.352","1166.656",15,"2","-1"
"bace","22","Acer.rubrum","lod","soilgdd","2","873.576","79.264","1129.846",15,"2","-1"
"bace","22","Betula.lenta","lod","soilgdd","10","42616.461","11813.917","1402.815",15,"2","-1"
"bace","22","Betula.lenta","lod","soilgdd","4","625.448","146.462","840.86",15,"2","-1"
"bace","22","Quercus.rubra","lod","soilgdd","4","817.113","119.957","1233.643",15,"2","-1"
"bace","22","Quercus.rubra","lod","soilgdd","0","1332.721","149.744","1274.453",15,"2","-1"
"bace","22","Quercus.rubra","lod","soilgdd","2","1061.922","134.838","1255.16",15,"2","-1"
"bace","22","Betula.lenta","lod","soilgdd","2","850.257","163.975","855.317",15,"2","-1"
"bace","22","Betula.lenta","lod","soilgdd","8","263.683","106.001","799.475",15,"2","-1"
"bace","22","Acer.rubrum","lod","soilgdd","6","440.454","61.734","1086.355",15,"2","-1"
"bace","22","Acer.rubrum","lod","soilgdd","10","43767.803","5294.604","1860.935",15,"2","-1"
"bace","22","Betula.lenta","lod","soilgdd","6","421.136","128.866","824.477",15,"2","-1"
"bace","22","Quercus.rubra","lod","soilgdd","10","57045.789","9548.753","2039.017",15,"2","-1"
"bace","23","Betula.lenta","lod","soilgdd","8","404.193","61.2","799.475",16,"1","-1"
"bace","23","Acer.rubrum","lod","soilgdd","4","949.01","86.519","1109.811",16,"1","-1"
"bace","23","Quercus.rubra","lod","soilgdd","2","1049.806","110.095","1255.16",16,"1","-1"
"bace","23","Betula.lenta","lod","soilgdd","0","1300.304","104.788","868.313",16,"1","-1"
"bace","23","Quercus.rubra","lod","soilgdd","0","1326.108","122.265","1274.453",16,"1","-1"
"bace","23","Acer.rubrum","lod","soilgdd","6","741.213","75.608","1086.355",16,"1","-1"
"bace","23","Acer.rubrum","lod","soilgdd","2","1185.952","97.078","1129.846",16,"1","-1"
"bace","23","Betula.lenta","lod","soilgdd","6","610.596","74.401","824.477",16,"1","-1"
"bace","23","Betula.lenta","lod","soilgdd","2","1026.002","94.671","855.317",16,"1","-1"
"bace","23","Quercus.rubra","lod","soilgdd","4","825.531","97.945","1233.643",16,"1","-1"
"bace","23","Quercus.rubra","lod","soilgdd","8","421.997","68.057","1166.656",16,"1","-1"
"bace","23","Quercus.rubra","lod","soilgdd","10","53587.821","7796.524","2039.017",16,"1","-1"
"bace","23","Acer.rubrum","lod","soilgdd","8","520.143","60.456","1047.44",16,"1","-1"
"bace","23","Acer.rubrum","lod","soilgdd","0","1474.921","107.668","1147.862",16,"1","-1"
"bace","23","Quercus.rubra","lod","soilgdd","6","630.4","85.581","1208.814",16,"1","-1"
"bace","23","Betula.lenta","lod","soilgdd","4","803.727","84.56","840.86",16,"1","-1"
"bace","23","Acer.rubrum","lod","soilgdd","10","62560.145","6484.539","1860.935",16,"1","-1"
"bace","23","Betula.lenta","lod","soilgdd","10","52306.221","6820.768","1402.815",16,"1","-1"
"bace","24","Acer.rubrum","lod","soilgdd","10","39915.401","4585.262","1860.935",17,"0","-1"
"bace","24","Acer.rubrum","lod","soilgdd","2","829.893","68.644","1129.846",17,"0","-1"
"bace","24","Quercus.rubra","lod","soilgdd","0","1179.044","122.265","1274.453",17,"0","-1"
"bace","24","Betula.lenta","lod","soilgdd","8","137.701","61.2","799.475",17,"0","-1"
"bace","24","Betula.lenta","lod","soilgdd","2","680.867","94.671","855.317",17,"0","-1"
"bace","24","Quercus.rubra","lod","soilgdd","4","732.112","97.945","1233.643",17,"0","-1"
"bace","24","Quercus.rubra","lod","soilgdd","10","49502.47","7796.524","2039.017",17,"0","-1"
"bace","24","Quercus.rubra","lod","soilgdd","2","944.92","110.095","1255.16",17,"0","-1"
"bace","24","Betula.lenta","lod","soilgdd","4","499.393","84.56","840.86",17,"0","-1"
"bace","24","Betula.lenta","lod","soilgdd","6","316.936","74.401","824.477",17,"0","-1"
"bace","24","Quercus.rubra","lod","soilgdd","6","518.321","85.581","1208.814",17,"0","-1"
"bace","24","Acer.rubrum","lod","soilgdd","0","1052.352","76.133","1147.862",17,"0","-1"
"bace","24","Betula.lenta","lod","soilgdd","10","30186.819","6820.768","1402.815",17,"0","-1"
"bace","24","Betula.lenta","lod","soilgdd","0","883.659","104.788","868.313",17,"0","-1"
"bace","24","Acer.rubrum","lod","soilgdd","8","201.899","42.749","1047.44",17,"0","-1"
"bace","24","Acer.rubrum","lod","soilgdd","6","426.628","53.463","1086.355",17,"0","-1"
"bace","24","Quercus.rubra","lod","soilgdd","8","286.213","68.057","1166.656",17,"0","-1"
"bace","24","Acer.rubrum","lod","soilgdd","4","628.753","61.178","1109.811",17,"0","-1"
"bace","25","Quercus.rubra","lod","soilgdd","2","853.537","110.095","1255.16",18,"0","1"
"bace","25","Acer.rubrum","lod","soilgdd","0","1249.509","87.911","1147.862",18,"0","1"
"bace","25","Quercus.rubra","lod","soilgdd","10","45243.148","7796.524","2039.017",18,"0","1"
"bace","25","Acer.rubrum","lod","soilgdd","6","565.647","61.734","1086.355",18,"0","1"
"bace","25","Quercus.rubra","lod","soilgdd","4","662.51","97.945","1233.643",18,"0","1"
"bace","25","Acer.rubrum","lod","soilgdd","2","969.033","79.264","1129.846",18,"0","1"
