ID Sheet,ID Sheet Code,Species CODE,Genus,Species,Common Name,Family,Life Form,Life Form 2,Mature Layer,Life History,Flower Season,Fruit Season,Shade Tolerance,Native/Exotic,Native Status,Wetland Status,Habitat Desc,Distribution,Notes
U21, =U66, =U66,, =U66, =U66,,unknown,unknown,,,,,,unknown,,,,,NOTED 6/16
U33, =U66, =U66,, =U66, =U66,,unknown,unknown,,,,,,unknown,,,,,"NOTED 6/16, A2"
U91, =U70, =U70,, =U70, =U70,,forb,unknown,,,,,,unknown,,,,,
U32, =U74, =U74,, =U74, =U74,,unknown,unknown,,,,,,unknown,,,,,"NOTED 7/21, A2"
U201, =U93, =U93,, =U93, =U93,,unknown,unknown,,,,,,unknown,,,,,
U24, =VICR, =VICR,, =VICR, =VICR,,forb,unknown,,,,,,unknown,,,,,
U69,0,0,,0,0,,forb,unknown,,,,,,unknown,,,,,
ACPE,ACPE,ACPE,Acer,Acer pensylvanicum,striped maple,Sapindaceae,woody,small tree,canopy,perennial,spring,,,native,native,FACU,"cool, moist, rocky woods",,
ACRU,ACRU,ACRU,Acer,Acer rubrum,red maple,Sapindaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACW,"wooded slopes, swamps, bogs, moist areas",,
ACSA,ACSA,ACSA,Acer,Acer saccharum,sugar maple,Sapindaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACU,"wmoist woods, wooded slopes, ravines, alluvial areas",,0
U64,ACRA,ACRA,Actea,Actea racemosa,black cohosh,Ranunculaceae,forb,tall forb,understory,perennial,summer,,,native,native,,"rich moist woods, wooded slopes, ravines, thickets",,syn: Cimicifuga racemosa
Actea,Actea,Actea,Actea,Actea spp,baneberry,Ranunculaceae,forb,tall forb,understory,perennial,,,,native,native,,,,
Garlic mustard,ALPE,ALPE,Alliaria,Alliaria petiolata,garlic-mustard,Brassicaceae,forb,tall forb,understory,annual,spring,,,non-native,non-native invasive,FACU-,"shady, moist areas, woods, floodplains, waste ground",,
Wild Garlic (Allium vineale),ALVI,ALVI,Allium,Allium vineale,wild garlic,Alliaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,FACU-,"disturbed ground, open woods",,
U82,AMAR,AMAR,Ambrosia,Ambrosia artemisiifolia,common ragweed,Asteraceae,forb,low forb,understory,annual,late summer,,,native,native,FACU,"fields, meadows, cultivated areas, roadsides, waste ground",,
U76,AMBR,AMBR,Amphicarpa,Amphicarpa bracteata,hog peanut,Fabaceae,forb,vine,understory,annual,summer,,,native,native ,FAC,"moist woods, floodplains",,
Liverleaf (Anemone americana),ANAM,ANAM,Anemone,Anemone americana,liverleaf,Ranunculaceae,forb,low forb,understory,perennial,spring,,,native,native,,"rich woods, upland slopes",,"syn: Hepatica nobilis, Hepatica americana"
ARNU,ARNU,ARNU,Aralia,Aralia nudicaulis,wald sarsparilla,Araliaceae,forb,low forb,understory,perennial,spring,,,native,native,FACU,dry to moist woos,,
U78,ASQU,ASQU,Asclepias,Asclepias quadrifolia,four-leaved milkweed,Apocynaceae,forb,low forb,understory,perennial,early summer,,,native,native,UPL,dry upland woods,,near A2
BETH,BETH,BETH,Berberis,Berberis thunbergii,Japanese barberry,Berberidaceae,woody,shrub,understory,perennial,,,,non-native,non-native invasive,,,,
BEAL,BEAL,BEAL,Betula,Betula allegheniensis,yellow birch,Betulaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
BELE,BELE,BELE,Betula,Betula lenta,black birch,Betulaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
false nettle,BOCY,BOCY,Boehmeria,Boehmeria cylindrica,false nettle,Urticaceae,forb,low forb,understory,perennial,,,,native,native,FACW+,"moist shady ground, wet woods, stream margins",,
U84,BOCY,BOCY,Boehmeria,Boehmeria cylindrica,false nettle,Urticaceae,forb,low forb,understory,perennial,,,,native,native,FACW+,"moist shady ground, wet woods, stream margins",,
Bindweed,Calystegia,Calystegia,Calystegia,Calystegia (spithamaea?),(low) bindweed,Convolvulaceae,forb,vine,understory,perennial,summer,,,native,native,,"fields, thickets, roadsides, wasteground",,
Rui's thistle,CAAC,CAAC,Carduus,Carduus acanthoides,spiny plumeless thistle,Asteraceae,forb,tall forb,understory,biennial,summer,,,non-native,non-native,,"roadsides, stream banks, urban waste ground",,
CANU,CANU,CANU,Carduus,Carduus nutans,"nodding thistle, musk thistle",Asteraceae,forb,tall forb,understory,biennial,summer,,,non-native,non-native invasive,,"pastures, roadsides, waste ground, ballast",,
Grass 3e,Grass 3e,Grass 3e,Carex,Carex ascondita,sedge,,grass,grass,understory,,,,,native,native,,,,
Grass 3d,Grass 3d,Grass 3d,Carex,Carex willenovii,sedge,,grass,grass,understory,,,,,native,native,,,,
CACA,CACA,CACA,Carpinus,Carpinus caroliniana,"musclewood, ironwood",Betulaceae,woody,small tree,sub-canopy,perennial,,,,native,native,,,,
CAGL,CAGL,CAGL,Carya,Carya glabra,pignut hickory,Juglandaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACU-,upland forests,,
CAOV,CAOV,CAOV,Carya,Carya ovata,shagbark hickory,Juglandaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACU,moist woods,,aka U1
Carya,Carya,Carya,Carya,Carya spp.,hickory,Juglandaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
CATO,CATO,CATO,Carya,Carya tomentosa,mockernut hickory,Juglandaceae,woody,large tree,canopy,perennial,spring,,,native,native,,moist open woods and slopes,,
CEAM,CEAM,CEAM,Ceoanothus,Ceanothus americana,New Jersey tea,Rhamnaceae,woody,shrub,understory,perennial,,,,native,native,,,,
CEOR,CEOR,CEOR,Celastrus,Celastrus orbiculatus,Oriental bittersweet,Celastraceae,woody,vine,understory,perennial,early summer,fall,,non-native,non-native invasive,UPL,"disturbed woods, fields, fencerows, edges",,
"Wintergreen, spotted",CHMA,CHMA,Chimaphila,Chimaphila maculata,spotted wintergreen,Ericaceae,forb,low forb,understory,perennial,early summer,,,native,native,UPL,wooded areas,,
Chickory,CIIN,CIIN,Cichorium,Cichorium intybus,blue chicory,Asteraceae,forb,low forb,understory,perennial,summer,,,non-native,non-native invasive,,"fields, roadsides, waste ground",,
U59,CICA,CICA,Circaea,Circaea canadensis ssp. canadensis,enchanter's-nightshade,Onagraceae,forb,low forb,understory,perennial,summer,,,native,native,FACU,"woods, floodplains",,"syn: Circaea  lutetiana, C. quadrisulcata (Rhoads & Block)"
"Thistle, Canada",CIAR,CIAR,Cirsium,Cirsium arvense,Canada thistle,Asteraceae,forb,tall forb,understory,perennial,summer,,,non-native,non-native invasive,FACU,"fields, pastures, roadsides, waste ground",,
"Thistle, bull",CIVU,CIVU,Cirsium,Cirsium vulgare,bull thistle,Asteraceae,forb,tall forb,understory,biennial,late summer,,,non-native,non-native invasive,FACU-,"pastures, meadows, roadsides",,"var. pulcherrima, FORCE"
U96,CLVI,CLVI,Clematis,Clematis virginiana,virgin's bower,Ranunculaceae,forb,vine,understory,perennial,summer,,,native,native,FAC,"low woods, stream banks, thickets, waste places",,
U05 (Clinopodium vulgare),CLVU,CLVU,Clinopodium,Clinopodium vulgare,wild basil,Lamiaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,,"open woods, fields, roadsides",,
U16,COCA,COCA,Conyza,Conyza canadensis,horseweed,Asteraceae,forb,tall forb,understory,annual,late summer,,,native,native,UPL,"fields, roadsides, railroad tracks, waste ground",,
COAL,COAL,COAL,Cornus,Cornus alternifolia,alternate-leaf dogwood,Cornaceae,woody,small tree,sub-canopy,perennial,early summer,late summer,,native,native,UPL,"low moist woods, shaded ravines",,
COAM,COAM,COAM,Cornus,Cornus amomum,silky dogwood,Cornaceae,woody,shrub,understory,perennial,early summer,fall,,native,native,FACW,"swamps, stream banks, moist woods, fields, thickets",,
COFL,COFL,COFL,Cornus,Cornus florida,flowering dogwood,Cornaceae,woody,small tree,sub-canopy,perennial,spring,late summer,,native,native,FACU-,"mesic woods, edges, old fields",,
CORA,CORA,CORA,Cornus,Cornus racemosa,gray dogwood,Cornaceae,woody,shrub,understory,perennial,early summer,late summer,,native,native,FAC-,"swampy meadows, moist old fields, thickets",,
COSE,COSE,COSE,Cornus,Cornus sericea,red-osier dogwood,Cornaceae,woody,shrub,understory,perennial,spring,late summer,,native,native,FACW+,"swamps, moist fields, thickets",,
Cornus spp,Cornus,Cornus,Cornus,Cornus spp,dogwood,Cornaceae,woody,small tree,sub-canopy,perennial,,,,native,native,,,,
Crataegus spp,Crataegus,Crataegus,Crataegus,Crataegus spp,hawthorn,Rosaceae,woody,small tree,sub-canopy,perennial,,,,native,native,,,,
hay-scented fern,DEPU,DEPU,Dennstaedtia,Dennstaedtia punctiloba,hay-scented fern,Polypodiaceae,fern,fern,understory,perennial,,,,native,native,UPL,mesic woods & borders,,
U98,DENU,DENU,Desmodium,Desmodium nudiflorum,naked-flowered tick-trefoil,Fabaceae,forb,low forb,understory,perennial,late summer,,,native,native,,"rich, deciduous woods and edges",,
U95,DEPA,DEPA,Desmodium,Desmodium paniculatum,tick-trefoil,Fabaceae,forb,low forb,understory,perennial,late summer,,,native,native,UPL,"clearings, edges of moist or dry woods",,
Wild Yam,Dioscorea,Dioscorea,Dioscorea,Dioscorea spp,wild yam,Dioscoreaceae,forb,vine,understory,perennial,late summer,,,native,native,FAC,,,
U83,EPCI,EPCI,Epilobium,Epilobium ciliatum,willow-herb,Onagraceae,forb,tall forb,understory,perennial,summer,,,native,native,FAC-,"moist springy soil, wet rocks",,
U93,ERHI,ERHI,Erechtites,Erechtites hieraciifolia,"fireweed, pilewort",Asteraceae,forb,tall forb,understory,annual,late summer,,,native,native,FACU,"fields, woods clearings, disturbed ground",,
U1,ERAN,ERAN,Erigeron,Erigeron anuus,Daisy fleabane,Asteraceae,forb,tall forb,understory,biennial,summer,,,native,native,FACU,"fields, roadsides, waste ground",,
U01,ERAN,ERAN,Erigeron,Erigeron anuus,Daisy fleabane,Asteraceae,forb,tall forb,understory,annual,summer,,,native,native,FACU,"fields, roadsides, waste ground",,
U29,ERPH,ERPH,Erigeron,Erigeron philadelphicus,Daisy fleabane,Asteraceae,forb,low forb,understory,perennial,summer,,,native,native,FACU,"woods edges, fields, roadsides, lawns",,
EUPE,EUPE,EUPE,Eupatorium,Eupatorium perfoliatum,boneset,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FACW+,"floodplains, swamps, bogs, stream banks, wet meadows",,
U63,EUGR,EUGR,Euthamia,Euthamia gramanifolia,"grass-leaved goldenrod, common flat-topped goldenrod",Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FAC,"moist fields, roadsides, ditches, shores",,FORCE
EUFI,EUFI,EUFI,Eutrochium,Eutrochium fistulosum,hollow joe-pye-weed,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FACW,"floodplains, meadows, moist thickets, roadsides",,"never found in plots, but a lot in area"
Wild strawberrry (F. vesca),FRVE,FRVE,Fragaria,Fragaria vesca,wild strawberry,Rosaceae,forb,low forb,understory,perennial,spring,early summer,,native,native,FACU,"old fields, meadows, dry, open ground",,
U06 (Fragaria virginiana),FRVI,FRVI,Fragaria,Fragaria virginiana,wild strawberry,Rosaceae,forb,low forb,understory,perennial,,,,native,native,,,,
FRAM,FRAM,FRAM,Fraxinus,Fraxinus americana,white ash,Oleaceae,woody,large tree,canopy,perennial,,,,native,native,FACU,"woods, fencerows, oldfields",,
FRPE,FRPE,FRPE,Fraxinus,Fraxinus pennsylvanica,red ash,Oleaceae,woody,large tree,canopy,perennial,,,,native,native,FACW,"alluvial woods, stream banks, moist fields",,
Fraxinus spp,Fraxinus,Fraxinus,Fraxinus,Fraxinus spp,ash,Oleaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
Galium,Galium,Galium,Galium,Galium  spp.,,Rubiaceae,forb,low forb,understory,,,,,native,native,,,,
Cleavers (Gallium spp.),GAAP,GAAP,Galium,Galium aparine,"bedstraw, cleavers",Rubiaceae,forb,tall forb,understory,annual,early summer,,,native,native,FACU,"woods, stream banks, roadsides",,
U65,GACI,GACI,Galium,Galium circaezans,wild-licorice,Rubiaceae,forb,low forb,understory,perennial,summer,,,native,native,UPL,"rich woods, calcareous slopes, bluffs",,
Cleavers 2 (Gallium spp.),GATR,GATR,Galium,Galium triflorum,sweet-scented bedstraw,Rubiaceae,forb,low forb,understory,perennial,summer,,,native,native,FACU,"rocky woods, shaded hillsides, roadside banks",,
Teaberry,GAPR,GAPR,Gaultheria,Gaultheria procumbens,teaberry,Ericaceae,forb,low forb,understory,perennial,early summer,fall,,native,native,FACU,dry to wet woods and barrens,,
Geranium maculatum,GEMA,GEMA,Geranium,Geranium maculatum,wild geranium,Geraniaceae,forb,low forb,understory,perennial,early summer,,,native,native,FACU,"woods, roadsides, fields",,
U12 (Geum spp.),GECA,GECA,Geum,Geum canadense,white avens,Rosaceae,forb,low forb,understory,perennial,summer,,,native,native,FACU+,"woods, roadsides",,
U102,HACVI,HACVI,Hackelia,Hackelia virginiana,"beggar's-lice, stickseed",Boraginaceae,forb,tall forb,understory,biennial,late summer,,,native,native,FACU,"dry to moist woods, wooded slopes, roadsides",,
HAVI,HAVI,HAVI,Hamamelis,Hamamelis virginiana,witchhazel,Hamamelidaceae,woody,small tree,sub-canopy,perennial,fall,,,native,native,,,,
U41,HICA,HICA,Hieracium,Hieracium caepitosum,king-devil,Asteraceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,,"woods, fields, roadsides",,
HIGR,HIGR,HIGR,Hieracium,Hieracium gronovii,hawkweed,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,UPL,"dry, open woods or thickets, sandy soil",,
U94,HULO,HULO,Houstonia,Houstonia longifolia,long-leaved bluets,Rubiaceae,forb,low forb,understory,perennial,summer,,,native,native,UPL,"dry, sandy fields, shale barrens, dry, thinkly wooded sloeps",,
U11,HYPU,HYPU,Hypericum,Hypericum punctatum,spotted St. John's-wort,Hypericaceae,forb,low forb,understory,perennial,summer,,,native,native,FAC-,"floodplains, roadsides, moist fields, thickets",,
ILVE,ILVE,ILVE,Ilex,Ilex verticillata,common winterberry,Aquifoliaceae,woody,shrub,understory,perennial,early summer,fall,,native,native,FACW+,"swamps, bogs, wet woods, moist shores",,
KALA,KALA,KALA,Kalmia,Kalmia latifolia,mountain laurel,Ericaceae,woody,shrub,understory,perennial,spring,,,native,native,FACU,"dry woods, rocky slopes",,
U92,LASE,LASE,Lactuca,Lactuca serriola,prickly lettuce,Asteraceae,forb,tall forb,understory,biennial,summer,,,non-native,non-native,FAC-,"fields, woods, strip mines, roadsides, waste ground",,
U23,LECA,LECA,Lepidium,Lepidium campestre,fieldcress,Brassicaceae,forb,low forb,understory,annual,summer,,,non-native,non-native,UPL,"fields, waste ground",,
U23,LECA,LECA,Lepidium,Lepidium campestre,fieldcress,Brassicaceae,forb,low forb,understory,biennial,summer,,,non-native,non-native,UPL,"fields, waste ground",,
Ox-eye daisy,LEVU,LEVU,Leucanthemum,Leucanthemum vulgare,ox-eye daisy,Asteraceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,,"fields, woods, meadows, roadsides",,
LIBE,LIBE,LIBE,Lindera,Lindera benzoin,spicebush,Lauraceae,woody,shrub,understory,perennial,spring,fall,,native,native,FACW-,moist woods,,
LITU,LITU,LITU,Liriodendron,Liriodendron tulipifera,"tulip-poplar, yelow poplar",Magnoliaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
U74,LOIN,LOIN,Lobelia,Lobelia inflata,indian tobacco,Campanulaceae,forb,low forb,understory,annual,late summer,,,native,native,FACU,"woods, old fields, meadows, roadsides",,
Lonicera spp,Lonicera,Lonicera,Lonicera,Lonicera spp.,honeysuckle,Caprifoliaceae,woody,shrub,sub-canopy,perennial,,,,non-native,non-native invasive,FACU,,,
bird's-foot trefoil,LOCO,LOCO,Lotus,Lotus corniculatus,bird's-foot trefoil,Fabaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,FACU-,"roadsides, open, disturbed areas, ",,frequently planted along roadsides or cultivated as forage crop
Lycopodium,Lycopodium,Lycopodium,Lycopodium,Lycopodium spp,"ground-pine, clubmoss",Lycopodiaceae,unknown,unknown,understory,,,,,native,native,,,,
U72,LYQU,LYQU,Lysimachia,Lysimachia quadrifolia,whorled loosestrife,Myrsinaceae,forb,low forb,understory,perennial,summer,,,native,native,FACU-,"dry, open woods",,
Canada mayflower,MACA,MACA,Maianthemum,Maianthemum canadense,Canada mayflower,Ruscaceae,forb,low forb,understory,perennial,spring,,,native,native,FAC-,dry to moist woods,,
False Solomon's seal (Maianthemum racemosum),MARA,MARA,Maianthemum,Maianthemum racemosum,false soloman's seal,Ruscaceae,forb,low forb,understory,perennial,spring,,,native,native,,dry to moist woods,,
U210,MELI,MELI,Melampyrum,Melampyrum lineare,cow-wheat,Orobanchaceae,forb,low forb,understory,annual,summer,,,native,native,FACU,"acidic woods, bog margins, barrens",,parasite
Japanese stiltgrass (Microstegium vimineum),MIVI,MIVI,Microstegium,Microstegium vimineum,Japanese stiltgrass,,grass,grass,understory,,,,,non-native,non-native invasive,,,,
Partridgeberry,MIRE,MIRE,Mitchella,Mitchella repens,partridgeberry,Rubiaceae,forb,low forb,understory,perennial,early summer,,,native,native,FACU,moist woods,,
U28,MIRE,MIRE,Mitchella,Mitchella repens,partridgeberry,Rubiaceae,forb,low forb,understory,perennial,early summer,,,native,native,FACU,moist woods,,
MOUN,MOUN,MOUN,Monotropa,Monotropa uniflora,Indian pipe,Ericaceae,forb,low forb,understory,perennial,summer,,,native,native,FAC-,dry to moist woods,,mycotrophic parasite
NYSY,NYSY,NYSY,Nyssa,Nyssa sylvatica,black gum,Cornaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
U89,OEPE,OEPE,Oenothera,Oenothera perennis,sundrops,Onagraceae,forb,low forb,understory,perennial,summer,,,native,native,FAC-,"shaly slopes, moist or dry fields, pastures, roadsides",,
OSVI,OSVI,OSVI,Ostrya,Ostrya virginiana,"iornwood, hornbeam",Betulaceae,woody,small tree,sub-canopy,perennial,,,,native,native,,,,
Oxalis (stricta?),OXST,OXST,Oxalis,Oxalis stricta,common yellow wood-sorrel,Oxalidaceae,forb,low forb,understory,perennial,summer,,,native,native ,UPL,"lanws, gardens, fields",,Syn: O. europaea
deer-tongue grass,PACL,PACL,Pannicum,Pannicum clandestinum,deer-tongue grass,,grass,grass,understory,,,,,unknown,,,,,
PAQU,PAQU,PAQU,Parthenocissus,Parthenocissus quiquefolia,"virginia-creeper, woodbine",Vitaceae,woody,vine,sub-canopy,perennial,early summer,fall,,native,native,FACU,"woods, fields, edges",,
lady's-thumb,PEMA,PEMA,Persicaria,Persicaria maculosa,"Lady's thumb, heart's-ease",Polygonaceae,forb,low forb,understory,annual,summer,,,non-native,non-native,FACW,open places,,"""ubiquitous weed"""
PEVI,PEVI,PEVI,Persicaria,Persicaria virginiana,jumpseed,Polygonaceae,forb,tall forb,understory,perennial,summer,,,native,native,FAC,"moist woodlands, floodplains, clearings",,
Pokeweed (Phytolacca americana),PHAM,PHAM,Phytolacca,Phytolacca americana,pokeweed,Phytolaccaceae,forb,tall forb,understory,perennial,summer,,,native,native,FACU+,"forest openings, roadsides, gardens, open ground",,
PISY,PISY,PISY,Pinus,Pinus strobus,white pine,Pinaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
PIVI,PIVI,PIVI,Pinus,Pinus virginiana,Virginia pine,Pinaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
U17,PLMA,PLMA,Plantago,Plantago major,common plantain,Plantaginaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,FACU,"lawns, gardens, waste ground",,
Mayapple (Podophyllum peltatum),POPE,POPE,Podophyllum,Podophyllum peltatum,mayapple,Berberidaceae,forb,low forb,understory,perennial,spring,,,native,native,,mesic woods,,
POGR,POGR,POGR,Populus,Populus grandidentata,bigtooth aspen,Salicaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACU-,early successional forests,,
Populus spp,Populus,Populus,Populus,Populus spp.,"Aspen, Poplar",Salicaceae,woody,large tree,canopy,perennial,spring,,,native,native,,,,
POTR,POTR,POTR,Populus,Populus tremuloides,quaking aspen,Salicaceae,woody,large tree,canopy,perennial,spring,,,native,native,,"dry to wet, open woods, common post-disturbance",,
Cinquefoil (Potentilla spp.),POCA,POCA,Potentilla,Potentilla canadensis,cinquefoil,Rosaceae,forb,low forb,understory,perennial,early summer,,,native,native,,"dry, open woods, fields",,
U67 (Fragraria?),PONO,PONO,Potentilla,Potentilla norvegica,strawberry weed,Rosaceae,forb,low forb,understory,perennial,summer,,,native,native,FACU,"roadsides, waste ground",,
U97,PRVU,PRVU,Prunella,Prunella vulgaris,"self-heal, heal-all",Lamiaceae,forb,low forb,understory,perennial,summer,,,native,native,FACU+,"fields, woods, floodplains, roadsides",,
PRAV,PRAV,PRAV,Prunus,Prunus avium,bird cherry,Rosaceae,woody,large tree,canopy,perennial,,,,non-native,non-native,,,,
PRPE,PRPE,PRPE,Prunus,Prunus pensylvanica,fire cherry,Rosaceae,woody,small tree,sub-canopy,perennial,,,,native,native,,,,
PRSE,PRSE,PRSE,Prunus,Prunus serotina,black cherry,Rosaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
U73, ,PSOB,Pseudognaphalium,Pseudognaphalium obtusifolium,fragrant cudweed,Asteraceae,forb,low forb,understory,annual,fall,,,native,native,,"dry pastures, old fields, shale barrens, roadsides",,
Mtn Mint,Pycnanthemum,Pycnanthemum,Pycnanthemum,Pycnanthemum (incanum?),mountain-mint,Lamiaceae,forb,low forb,understory,perennial,late summer,,,native,native,,"old fields, thickets, barrens",,
QUAL,QUAL,QUAL,Quercus,Quercus alba,white oak,Fagaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACU,dry to moist woods,,
QURU,QURU,QURU,Quercus,Quercus rubra,northern red oak,Fagaceae,woody,large tree,canopy,perennial,spring,,,native,native,FACU-,dry to moist woods,,
QUVE,QUVE,QUVE,Quercus,Quercus velutina,black oak,Fagaceae,woody,large tree,canopy,perennial,spring,,,native,native,,dry woods,,
U56 (Ranunculus abortivis),RAAB,RAAB,Ranunculus,Ranunculus abortivis,small-flowered crowfoot,Ranunculaceae,forb,low forb,understory,annual,spring,,,native,native,FACW-,"rich low woods, low fields, moiste waste places",,
RHMA,RHMA,RHMA,Rhododendron,Rhododendron maximum,rosebay,Ericaceae,woody,shrub,understory,perennial,summer,,,native,native,FAC,"stream banks, cool slopes, swamps",,
RHCO,RHCO,RHCO,Rhus,Rhus copallina,winged sumac,Anacardiaceae,woody,small tree,sub-canopy,perennial,late summer,fall,,native,native,UPL,"dry, open woods, thickets, old fields",,
RHGL,RHGL,RHGL,Rhus,Rhus glabra,smooth sumac,Anacardiaceae,woody,small tree,sub-canopy,perennial,early summer,fall,,native,native,UPL,"shale barrens, old fields, dry, open slopes",,
RHTY,RHTY,RHTY,Rhus,Rhus typhina,staghorn sumac,Anacardiaceae,woody,small tree,sub-canopy,perennial,early summer,late summer,,native,native,UPL,"dry, open soil, old fields, roadsides, woods edges",,
ROMU,ROMU,ROMU,Rosa,Rosa multiflora,multiflora rose,Rosaceae,woody,shrub,understory,perennial,,,,non-native,non-native invasive,,,,
RUOC,RUOC,RUOC,Rubus,Rubus occidentalis,black raspberry,Rosaceae,woody,shrub,understory,perennial,,,,native,native,,,,
Rubus spp,Rubus,Rubus,Rubus,Rubus spp,blackberry,Rosaceae,woody,shrub,understory,perennial,,,,native,native,,,,
black-eyed-Susan,RUHI,RUHI,Redbeckia,Rudbeckia hirta,black-eyed-Susan,Asteraceae,forb,low forb,understory,biennial,summer,,,native,native,FACU-,"disturbed habitats, (undisturbed habitats)",,
U209,RUAC,RUAC,Rumex,Rumex acetosella,sheep sorrel,Polygonaceae,forb,low forb,understory,perennial,summer,late summer,,non-native,non-native,UPL,"pastures, lawns, roadsides, barrens",,"""a ubiquitous weed"""
SAAN,SAAN,SAAN,Sabatia,Sabatia angularis,common marsh-pink,Gentianaceae,forb,tall forb,understory,biennial,summer,,,native,native,FAC+,"open woods, fields, marshes, moist meadows",,"found in FORCE site, but not in any plots"
SACA,SACA,SACA,Sambucus,Sambucus canadensis,elderberry,Adoxaceae,woody,small tree,sub-canopy,perennial,,,,native,native,,,,
SAAL,SAAL,SAAL,Sassafras,Sassafras albidum,sassafras,Lauraceae,woody,large tree,canopy,perennial,,,,native,native,,,,
Blue-eyed-grass (Sisyrnchium mucronatum),SIMU,SIMU,Sisynchium,Sisynchium mucronatum,blue-eyed-grass,Iridaceae,forb,low forb,understory,perennial,spring,,,native,native,FAC+,"dry fields, roadsides, open woods",,
Smilax spp,Smilax,Smilax,Smilax,Smilax spp,Greenbriar,Smilacaeae,woody,vine,understory,perennial,,,,native,native,,,,
U15,SOLCAE,SOLCAE,Solidago,Solidago caesia,bluestem goldenrod,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FACU,rich woods,,
U48,SOCA,SOCA,Solidago,Solidago canadensis,Canada goldenrod,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FACU,"fields, roadsides",,
SOJU,SOJU,SOJU,Solidago,Solidago juncea,Early goldenrod,Asteraceae,forb,tall forb,understory,perennial,summer,,,native,native,,"fields, meadows, rocky slopes, roadsides",,
