PDF	ZIP	Latin Name	Common Name	Reference	Original Map No(s).
Graphic(PDF)	Shapefiles	Aesculus octandra	yellow buckeye	Little (1971) 	103-E
Graphic(PDF)	Shapefiles	Aesculus parviflora	bottlebrush buckeye	Little (1977) 	5
Graphic(PDF)	Shapefiles	Aesculus pavia	red buckeye	Little (1977) 	6
Graphic(PDF)	Shapefiles	Aesculus sylvatica	painted buckeye	Little (1977) 	7
Graphic(PDF)	Shapefiles	Agave utahensis	Utah agave	Benson and Darrow (1981) 	3.16
Graphic(PDF)	Shapefiles	Alnus maritima	seaside alder	Little (1977) 	8
Graphic(PDF)	Shapefiles	Alnus oblongifolia	Arizona alder	Little (1976) 	12
Graphic(PDF)	Shapefiles	Alnus rhombifolia	white alder	Little (1976) 	13
Graphic(PDF)	Shapefiles	Alnus rubra	red alder	Little (1971) 	104-W, 104-N
Graphic(PDF)	Shapefiles	Alnus rugosa	speckled alder	Little (1977) 	9-N, 9-NE
Graphic(PDF)	Shapefiles	Alnus serrulata	hazel alder	Little (1977) 	10-NE, 10-SE, 10-N
Graphic(PDF)	Shapefiles	Alnus sinuata	Sitka alder	Little (1976) 	14-N, 14-W
Graphic(PDF)	Shapefiles	Alnus tenuifolia	thinleaf alder	Little (1976) 	15-N, 15-W
Graphic(PDF)	Shapefiles	Alvaradoa amorphoides	Mexican alvaradoa	Little (1978) 	162
Graphic(PDF)	Shapefiles	Amelanchier alnifolia	western serviceberry	Little (1976) 	16-N, 16-NW
Graphic(PDF)	Shapefiles	Amelanchier arborea	downy serviceberry	Little (1977) 	11-N, 11-NE, 11-SE
Graphic(PDF)	Shapefiles	Amelanchier interior	inland serviceberry	Little (1977) 	13
Graphic(PDF)	Shapefiles	Amelanchier sanguinea	roundleaf serviceberry	Little (1977) 	14
Graphic(PDF)	Shapefiles	Amelanchier utahensis	Utah serviceberry	Little (1976) 	17
Graphic(PDF)	Shapefiles	Amphitecna latifolia 	black calabash	Little (1978) 	163
Graphic(PDF)	Shapefiles	Amyris balsamifera	balsam torchwood	Little (1978) 	164
Graphic(PDF)	Shapefiles	Amyris elemifera	torchwood	Little (1978) 	165
Graphic(PDF)	Shapefiles	Annona glabra	pond apple	Little (1978) 	166
Graphic(PDF)	Shapefiles	Aralia spinosa	devils walkingstick	Little (1977) 	15
Graphic(PDF)	Shapefiles	Arbutus arizonica	Arizona madrone	Little (1976) 	18
Graphic(PDF)	Shapefiles	Arbutus menziesii	Pacific madrone	Little (1971) 	100-W
Graphic(PDF)	Shapefiles	Arbutus texana	Texas madrone	Little (1976) 	19
Graphic(PDF)	Shapefiles	Arctostaphylos pringlei	Pringle manzanita	Little (1976) 	20
Graphic(PDF)	Shapefiles	Ardisia escallonioides	marlberry	Little (1978) 	167
Graphic(PDF)	Shapefiles	Artemisia tridentata	big sagebrush	Little (1976) 	21-NW, 21-SW
Graphic(PDF)	Shapefiles	Asimina parviflora	smallflower pawpaw	Little (1978) 	158.5
Graphic(PDF)	Shapefiles	Asimina triloba	pawpaw	Little (1977) 	16
Graphic(PDF)	Shapefiles	Avicennia germinans	black mangrove	Little (1977, 1978) 	17-N,17-SE, 168
Graphic(PDF)	Shapefiles	Baccharis halimifolia	eastern baccharis	Little (1977) 	18-NE, 18-SE
Graphic(PDF)	Shapefiles	Betula alleghaniensis	yellow birch	Little (1971) 	105-N, 105-E
Graphic(PDF)	Shapefiles	Betula lenta	sweet birch	Little (1971) 	106-E
Graphic(PDF)	Shapefiles	Betula nana 	dwarf birch	Little (1975) 	34
Graphic(PDF)	Shapefiles	Betula nigra	river birch	Little (1971) 	110-E
Graphic(PDF)	Shapefiles	Betula occidentalis	water birch	Little (1976) 	22-N, 22-NW
Graphic(PDF)	Shapefiles	Betula papyrifera	paper birch	Little (1971) 	107-N, 107-W, 107-E
Graphic(PDF)	Shapefiles	Betula populifolia	gray birch	Little (1971) 	108-N, 108-E
Graphic(PDF)	Shapefiles	Betula uber	Ashe birch	Little (1977) 	19
Graphic(PDF)	Shapefiles	Bourreria ovata	Bahama strongbark	Little (1978) 	169
Graphic(PDF)	Shapefiles	Bourreria radula	rough strongbark	Little (1978) 	170
Graphic(PDF)	Shapefiles	Bumelia celastrina	saffron plum	Little (1976, 1978) 	23-N, 23-SW, 171
Graphic(PDF)	Shapefiles	Bumelia lanuginosa	gum bumelia	Little (1976, 1977) 	24, 20
Graphic(PDF)	Shapefiles	Bumelia lycioides	buckthorn bumelia	Little (1977) 	21
Graphic(PDF)	Shapefiles	Bumelia tenax	tough bumelia	Little (1977) 	22
Graphic(PDF)	Shapefiles	Bursera fagaroides	fragrant bursera	Little (1976) 	26-N, 26-SW
Graphic(PDF)	Shapefiles	Bursera microphylla	elephanttree	Little (1976) 	25
Graphic(PDF)	Shapefiles	Bursera simaruba	gumbo limbo	Little (1978) 	172
Graphic(PDF)	Shapefiles	Byrsonima lucida	key byrsonima	Little (1978) 	173
Graphic(PDF)	Shapefiles	Caesalpinia mexicana	Mexican poinciana	Little (1976) 	27-N, 27-SW
Graphic(PDF)	Shapefiles	Calyptranthes pallens	pale lidflower	Little (1978) 	174
Graphic(PDF)	Shapefiles	Calyptranthes zuzygium	myrtle of the river	Little (1978) 	175
Graphic(PDF)	Shapefiles	Canella winterana	canella	Little (1978) 	176
Graphic(PDF)	Shapefiles	Canotia holacantha	canotia	Little (1976) 	28
Graphic(PDF)	Shapefiles	Capparis cynophallophora	Jamaica caper	Little (1978) 	177
Graphic(PDF)	Shapefiles	Capparis flexuosa	limber caper	Little (1978) 	178
Graphic(PDF)	Shapefiles	Carpinus caroliniana	American hornbeam	Little (1971) 	109-N, 109-E
Graphic(PDF)	Shapefiles	Carya aquatica	water hickory	Little (1971) 	111-E
Graphic(PDF)	Shapefiles	Carya cordiformis	bitternut hickory	Little (1971) 	112-E
Graphic(PDF)	Shapefiles	Carya floridana	scrub hickory	Little (1977) 	23
Graphic(PDF)	Shapefiles	Carya glabra	pignut hickory	Little (1971) 	113-E
Graphic(PDF)	Shapefiles	Carya illinoensis	pecan	Little (1971) 	114-W, 114-E, 114-N
Graphic(PDF)	Shapefiles	Carya laciniosa	shellbark hickory	Little (1971) 	115-E
Graphic(PDF)	Shapefiles	Carya myristicaeformis	nutmeg hickory	Little (1971) 	116-E
Graphic(PDF)	Shapefiles	Carya ovata	shagbark hickory	Little (1971) 	118-N, 118-E
Graphic(PDF)	Shapefiles	Carya pallida	sand hickory	Little (1977) 	24
Graphic(PDF)	Shapefiles	Carya texana	black hickory	Little (1977) 	25
Graphic(PDF)	Shapefiles	Carya tomentosa	mockernut hickory	Little (1971) 	117-E
Graphic(PDF)	Shapefiles	Castanea alnifolia	Florida chinkapin	Little (1977) 	26
Graphic(PDF)	Shapefiles	Castanopsis chrysophylla	golden chinkapin	Little (1971) 	119-W
Graphic(PDF)	Shapefiles	Castanea dentata	American chestnut	Little (1977) 	27-NE, 27-SE
Graphic(PDF)	Shapefiles	Castanea ozarkensis	Ozark chinkapin	Little (1977) 	28
Graphic(PDF)	Shapefiles	Castanea pumila	Allegheny chinkapin	Little (1977) 	29
Graphic(PDF)	Shapefiles	Catalpa bignonioides	southern catalpa	Little (1977) 	30
Graphic(PDF)	Shapefiles	Catalpa speciosa	northern catalpa	Little (1971) 	120-E
Graphic(PDF)	Shapefiles	Ceanothus arboreus	feltleaf ceanothus	Little (1976) 	29
Graphic(PDF)	Shapefiles	Ceanothus spinosus	spiny ceanothus	Little (1976) 	30
Graphic(PDF)	Shapefiles	Ceanothus thyrsiflorus	blueblossom	Little (1976) 	31
Graphic(PDF)	Shapefiles	Celtis laevigata	sugarberry	Little (1971) 	122-W, 122-E, 122-N
Graphic(PDF)	Shapefiles	Celtis lindheimeri	Lindheimer hackberry	Little (1976) 	32
Graphic(PDF)	Shapefiles	Celtis occidentalis	hackberry	Little (1971) 	121-W, 121-E
Graphic(PDF)	Shapefiles	Celtis reticulata	netleaf hackberry	Little (1976) 	33-N, 33-NW, 33-SW
Graphic(PDF)	Shapefiles	Celtis tenuifolia	Georgia hackberry	Little (1977) 	31
Graphic(PDF)	Shapefiles	Cephalanthus occidentalis	common buttonbush	Little (1976, 1977) 	34-NW, 34-SW, 34-N, 32-NE, 32-SE,32-N
Graphic(PDF)	Shapefiles	Cercocarpus betuloides	birchleaf cercocarpus	Little (1976) 	40
Graphic(PDF)	Shapefiles	Cercocarpus breviflorus	hairy cercocarpus	Little (1976) 	41
Graphic(PDF)	Shapefiles	Cercis canadensis	eastern redbud	Little (1976, 1977) 	38-N, 38-SW, 33-N, 33-NE, 33-SE
Graphic(PDF)	Shapefiles	Cercidium floridum	blue paloverde	Little (1976) 	35
Graphic(PDF)	Shapefiles	Cercocarpus ledifolius	curlleaf cercocarpus	Little (1976) 	42
Graphic(PDF)	Shapefiles	Cercidium macrum	border paloverde	Little (1976) 	36
Graphic(PDF)	Shapefiles	Cercidium microphyllum	yellow paloverde	Little (1976) 	37
Graphic(PDF)	Shapefiles	Cercis occidentalis	California redbud	Little (1976) 	39
Graphic(PDF)	Shapefiles	Cercocarpus traskiae	Catalina cercocarpus	Little (1976) 	43
Graphic(PDF)	Shapefiles	Cereus giganteus	saguaro	Little (1976) 	44
Graphic(PDF)	Shapefiles	Cereus robinii	key tree cactus	Little (1978) 	179
Graphic(PDF)	Shapefiles	Chamaecyparis lawsoniana	Port Orford cedar	Little (1971) 	10-W
Graphic(PDF)	Shapefiles	Chamaecyparis nootkatensis	Alaska cedar	Little (1971) 	12-W, 12-N
Graphic(PDF)	Shapefiles	Chamaecyparis thyoides	Atlantic white cedar	Little (1971) 	11-E
Graphic(PDF)	Shapefiles	Chilopsis linearis	desert willow	Little (1976) 	49
Graphic(PDF)	Shapefiles	Chionanthus virginicus	fringetree	Little (1977) 	34
Graphic(PDF)	Shapefiles	Chrysobalanus icaco	cocoplum	Little (1978) 	180
Graphic(PDF)	Shapefiles	Chrysophyllum oliviforme 	satinleaf	Little (1978) 	181
Graphic(PDF)	Shapefiles	Citharexylum berlandieri	Berlandier fiddlewood	Little (1976) 	45-N, 45-SW
Graphic(PDF)	Shapefiles	Citharexylum fruticosum	Florida fiddlewood	Little (1978) 	182
Graphic(PDF)	Shapefiles	Cladrastis kentukea	yellowwood	Little (1977) 	35
Graphic(PDF)	Shapefiles	Clethra acuminata	cinnamon clethra	Little (1977) 	36
Graphic(PDF)	Shapefiles	Cliftonia monophylla	buckwheat tree	Little (1977) 	37
Graphic(PDF)	Shapefiles	Clusia rosea	Florida clusia	Little (1978) 	183
Graphic(PDF)	Shapefiles	Coccothrinax argentata	Florida silverpalm	Little (1978) 	186
Graphic(PDF)	Shapefiles	Coccoloba diversifolia	pigeon plum	Little (1978) 	184
Graphic(PDF)	Shapefiles	Coccoloba uvifera	seagrape	Little (1978) 	185
Graphic(PDF)	Shapefiles	Colubrina arborescens 	coffee colubrina 	Little (1978) 	187
Graphic(PDF)	Shapefiles	Colubrina cubensis	Cuba colubrina	Little (1978) 	188
Graphic(PDF)	Shapefiles	Colubrina elliptica	soldierwood	Little (1978) 	189
Graphic(PDF)	Shapefiles	Condalia globosa	bitter condalia	Little (1976) 	46
Graphic(PDF)	Shapefiles	Condalia hookeri	bluewood	Little (1976) 	47
Graphic(PDF)	Shapefiles	Conocarpus erectus	button mangrove	Little (1978) 	190
Graphic(PDF)	Shapefiles	Cordia boissieri	anacahuita	Little (1976) 	48-N, 48-SW
Graphic(PDF)	Shapefiles	Cordia sebestena	Geiger tree	Little (1978) 	191
Graphic(PDF)	Shapefiles	Cornus alternifolia	alternate leaf dogwood	Little (1977) 	38-NE,38-SE,38-N
Graphic(PDF)	Shapefiles	Cornus drummondii	roughleaf dogwood	Little (1977) 	39
Graphic(PDF)	Shapefiles	Cornus florida	flowering dogwood	Little (1971) 	124-N, 124-E
Graphic(PDF)	Shapefiles	Cornus glabrata	brown dogwood	Little (1976) 	50
Graphic(PDF)	Shapefiles	Cornus nuttallii	Pacific dogwood	Little (1976) 	51-NW, 51-SW
Graphic(PDF)	Shapefiles	Cornus occidentalis	western dogwood	Little (1976) 	52
Graphic(PDF)	Shapefiles	Cornus racemosa	gray dogwood	Little (1977) 	41
Graphic(PDF)	Shapefiles	Cornus rugosa	roundleaf dogwood	Little (1977) 	40-NE, 40-N
Graphic(PDF)	Shapefiles	Cornus sessilis	blackfruit dogwood	Little (1976) 	56
Graphic(PDF)	Shapefiles	Cornus stolonifera	red osier dogwood	Little (1977) 	43-N, 43-NE
Graphic(PDF)	Shapefiles	Cornus stricta	stiffcornel dogwood	Little (1977) 	42
Graphic(PDF)	Shapefiles	Corylus cornuta	beaked hazel	Little (1977) 	44-N, 44-NE
Graphic(PDF)	Shapefiles	Cotinus obovatus	American smoketree	Little (1977) 	46
Graphic(PDF)	Shapefiles	Cowania mexicana	cliffrose	Little (1976) 	55-N, 55-SW
Graphic(PDF)	Shapefiles	Crataegus chrysocarpa	fireberry hawthorn	Little (1976) 	57
Graphic(PDF)	Shapefiles	Crataegus columbiana	Columbia hawthorn	Little (1976) 	58-N, 58-NW
Graphic(PDF)	Shapefiles	Crataegus douglasii	black hawthorn	Little (1976) 	59-N, 59-NW
Graphic(PDF)	Shapefiles	Crataegus erythropoda	Cerro hawthorn	Little (1976) 	60
Graphic(PDF)	Shapefiles	Crataegus saligna	willow hawthorn	Little (1976) 	61
Graphic(PDF)	Shapefiles	Crataegus succulenta	fleshy hawthorn	Little (1976) 	62
Graphic(PDF)	Shapefiles	Crataegus tracyi	Tracy hawthorn	Little (1976) 	63
Graphic(PDF)	Shapefiles	Crossopetalum rhacoma	Florida crossopetalum	Little (1978) 	192
Graphic(PDF)	Shapefiles	Cupania glabra	Florida cupania	Little (1978) 	193
Graphic(PDF)	Shapefiles	Cupressus arizonica	Arizona cypress	Little (1971) 	13-W
Graphic(PDF)	Shapefiles	Cupressus bakeri	Modoc cypress	Little (1971) 	14-W
Graphic(PDF)	Shapefiles	Cupressus goveniana	Gowen cypress	Little (1971) 	15-W
Graphic(PDF)	Shapefiles	Cupressus guadalupensis	Tecate cypress	Little (1971) 	16-W
Graphic(PDF)	Shapefiles	Cupressus macnabiana	MacNab cypress	Little (1971) 	17-W
Graphic(PDF)	Shapefiles	Cupressus macrocarpa	Monterey cypress	Little (1971) 	18-W
Graphic(PDF)	Shapefiles	Cupressus sargentii	Sargent cypress	Little (1971) 	19-W
Graphic(PDF)	Shapefiles	Cyrilla racemiflora	swamp cyrilla	Little (1977) 	45-SE, 45-N
Graphic(PDF)	Shapefiles	Dalea spinosa	smokethorn	Little (1976) 	64
Graphic(PDF)	Shapefiles	Diospyros texana	Texas persimmon	Little (1976) 	65
Graphic(PDF)	Shapefiles	Diospyros virginiana	common persimmon	Little (1971) 	123-E
Graphic(PDF)	Shapefiles	Dipholis salicifolia	willow bustic	Little (1978) 	194
Graphic(PDF)	Shapefiles	Dodonaea viscosa	hopbush	Little (1976, 1978) 	66-N, 66-SW,195
Graphic(PDF)	Shapefiles	Drypetes diversifolia	milkbark	Little (1978) 	196
Graphic(PDF)	Shapefiles	Drypetes lateriflora	Guiana plum	Little (1978) 	197
Graphic(PDF)	Shapefiles	Ehretia anacua	anaqua	Little (1976) 	67-N, 67-SW
Graphic(PDF)	Shapefiles	Elliottia racemosa	elliottia	Little (1977) 	47
Graphic(PDF)	Shapefiles	Erythrina flabelliformis	southwestern coralbean	Little (1976) 	68-N, 68-SW
Graphic(PDF)	Shapefiles	Erythrina herbacea	eastern coralbean	Little (1977) 	48-SE, 48-N
Graphic(PDF)	Shapefiles	Esenbeckia berlandieri	Berlandier esenbeckia	Little (1976) 	69-N, 69-SW
Graphic(PDF)	Shapefiles	Eugenia axillaris	white stopper	Little (1978) 	198
Graphic(PDF)	Shapefiles	Eugenia confusa	redberry stopper 	Little (1978) 	199
Graphic(PDF)	Shapefiles	Eugenia foetida	boxleaf stopper	Little (1978) 	200
Graphic(PDF)	Shapefiles	Eugenia rhombea	red stopper	Little (1978) 	201
Graphic(PDF)	Shapefiles	Euonymus atropurpureus	eastern wahoo	Little (1977) 	49-NE, 49-SE
Graphic(PDF)	Shapefiles	Euonymus occidentalis	western wahoo	Little (1976) 	70
Graphic(PDF)	Shapefiles	Exostema caribaeum	princewood	Little (1978) 	202
Graphic(PDF)	Shapefiles	Exothea paniculata 	inkwood	Little (1978) 	203
Graphic(PDF)	Shapefiles	Eysenhardtia polystachya	kidneywood	Little (1976) 	72-N, 72-W
Graphic(PDF)	Shapefiles	Eysenhardtia texana	Texas kidneywood	Little (1976) 	71
Graphic(PDF)	Shapefiles	Fagus grandifolia	American beech	Little (1971) 	125-N, 125-E
Graphic(PDF)	Shapefiles	Ficus aurea	Florida strangler fig	Little (1978) 	204
Graphic(PDF)	Shapefiles	Ficus citrifolia	shortleaf fig	Little (1978) 	205
Graphic(PDF)	Shapefiles	Forestiera acuminata	swamp privet	Little (1977) 	50
Graphic(PDF)	Shapefiles	Forestiera angustifolia	Texas forestiera	Little (1976) 	73-N, 73-W
Graphic(PDF)	Shapefiles	Forestiera phillyreoides	desert olive forestiera	Little (1976) 	74
Graphic(PDF)	Shapefiles	Forestiera segregata	Florida privet	Little (1977) 	51
Graphic(PDF)	Shapefiles	Franklinia alatamaha	franklinia	Little (1977) 	52
Graphic(PDF)	Shapefiles	Fraxinus americana	white ash	Little (1971) 	126-N, 126-E
Graphic(PDF)	Shapefiles	Fraxinus anomala	singleleaf ash	Little (1976) 	75
Graphic(PDF)	Shapefiles	Fraxinus berlandieriana	Berlandier ash	Little (1976) 	76
Graphic(PDF)	Shapefiles	Fraxinus caroliniana	Carolina ash	Little (1977) 	53
Graphic(PDF)	Shapefiles	Fraxinus cuspidata	fragrant ash	Little (1976) 	77
Graphic(PDF)	Shapefiles	Fraxinus dipetala	two petal ash	Little (1976) 	78
Graphic(PDF)	Shapefiles	Fraxinus gooddingii	Goodding ash	Little (1976) 	79
Graphic(PDF)	Shapefiles	Fraxinus greggii	Gregg ash	Little (1976) 	80-N, 80-SW
Graphic(PDF)	Shapefiles	Fraxinus latifolia	Oregon ash	Little (1971) 	127-W
Graphic(PDF)	Shapefiles	Fraxinus nigra	black ash	Little (1971) 	129-N, 129-E
Graphic(PDF)	Shapefiles	Fraxinus papillosa	Chihuahua ash	Little (1976) 	81
Graphic(PDF)	Shapefiles	Fraxinus pennsylvanica	green ash	Little (1971) 	130-W, 130-E, 130-N
Graphic(PDF)	Shapefiles	Fraxinus profunda	pumpkin ash	Little (1977) 	54
Graphic(PDF)	Shapefiles	Fraxinus quadrangulata	blue ash	Little (1971) 	128-E
Graphic(PDF)	Shapefiles	Fraxinus texensis	Texas ash	Little (1976) 	82
Graphic(PDF)	Shapefiles	Fraxinus velutina	velvet ash	Little (1976) 	83
Graphic(PDF)	Shapefiles	Fremontodendron californicum	California fremontia	Little (1976) 	84
Graphic(PDF)	Shapefiles	Fremontodendron mexicanum	Mexican fremontia	Little (1976) 	85
Graphic(PDF)	Shapefiles	Garrya elliptica	wavyleaf silktassel	Little (1976) 	86
Graphic(PDF)	Shapefiles	Genipa clusiifolia	seven year apple	Little (1978) 	206
Graphic(PDF)	Shapefiles	Gleditsia aquatica	waterlocust	Little (1977) 	55
Graphic(PDF)	Shapefiles	Gleditsia triacanthos	honeylocust	Little (1971) 	132-W, 132-E
Graphic(PDF)	Shapefiles	Gordonia lasianthus	loblolly bay	Little (1977) 	56
Graphic(PDF)	Shapefiles	Guaiacum angustifolium	Texas lignumvitae	Little (1976) 	87
Graphic(PDF)	Shapefiles	Guaiacum sanctum	roughbark lignumvitae	Little (1978) 	207
Graphic(PDF)	Shapefiles	Guapira discolor	blolly	Little (1978) 	208
Graphic(PDF)	Shapefiles	Guettarda elliptica	elliptic leaf velvetseed	Little (1978) 	209
Graphic(PDF)	Shapefiles	Guettarda scabra	roughleaf velvetseed	Little (1978) 	210
Graphic(PDF)	Shapefiles	Gyminda latifolia	falsebox	Little (1978) 	211
Graphic(PDF)	Shapefiles	Gymnocladus dioicus	Kentucky coffeetree	Little (1977) 	57
Graphic(PDF)	Shapefiles	Gymnanthes lucida	oysterwood	Little (1978) 	212
Graphic(PDF)	Shapefiles	Halesia carolina	Carolina silverbell	Little (1977) 	58
Graphic(PDF)	Shapefiles	Halesia diptera	two wing silverbell	Little (1977) 	59
Graphic(PDF)	Shapefiles	Halesia parviflora	little silverbell	Little (1977) 	60
Graphic(PDF)	Shapefiles	Hamamelis virginiana	witch hazel	Little (1977) 	61-N, 61-NE, 61-SE
Graphic(PDF)	Shapefiles	Hamelia patens	scarletbush	Little (1978) 	213
Graphic(PDF)	Shapefiles	Helietta parvifolia	barreta	Little (1976) 	89-N, 89-SW
Graphic(PDF)	Shapefiles	Hippomane mancinella	manchineel	Little (1978) 	214
Graphic(PDF)	Shapefiles	Holacantha emoryi	holacantha	Little (1976) 	88
Graphic(PDF)	Shapefiles	Hypelate trifoliata	hypelate	Little (1978) 	215
Graphic(PDF)	Shapefiles	Ilex ambigua	Carolina holly	Little (1977) 	62
Graphic(PDF)	Shapefiles	Ilex amelanchier	sarvis holly	Little (1977) 	63
Graphic(PDF)	Shapefiles	Ilex cassine	dahoon	Little (1977) 	64-N, 64-SE
Graphic(PDF)	Shapefiles	Ilex coriacea	large gallberry	Little (1977) 	65
Graphic(PDF)	Shapefiles	Ilex decidua	possumhaw	Little (1977) 	66
Graphic(PDF)	Shapefiles	Ilex krugiana	tawnyberry holly	Little (1978) 	216
Graphic(PDF)	Shapefiles	Ilex laevigata	smooth winterberry	Little (1977) 	67
Graphic(PDF)	Shapefiles	Ilex longipes	Georgia holly	Little (1978) 	158.2
Graphic(PDF)	Shapefiles	Ilex montana	mountain winterberry	Little (1977) 	68
Graphic(PDF)	Shapefiles	Ilex myrtifolia	myrtle dahoon	Little (1977) 	69
Graphic(PDF)	Shapefiles	Ilex opaca	American holly	Little (1971) 	131-E
Graphic(PDF)	Shapefiles	Ilex verticillata	common winterberry	Little (1977) 	70-N, 70-NE, 70-SE
Graphic(PDF)	Shapefiles	Ilex vomitoria	yaupon	Little (1977) 	71-SE, 71-N
Graphic(PDF)	Shapefiles	Illicium floridanum	Florida anise tree	Little (1977) 	72-N, 72-NE
Graphic(PDF)	Shapefiles	Illicium parviflorum	yellow anise tree	Little (1977) 	73
Graphic(PDF)	Shapefiles	Jacquinia keyensis	joewood	Little (1978) 	217
Graphic(PDF)	Shapefiles	Juglans californica	California walnut	Little (1976) 	90
Graphic(PDF)	Shapefiles	Juglans cinerea	butternut	Little (1971) 	133-E
Graphic(PDF)	Shapefiles	Juglans hindsii	Hinds walnut	Little (1976) 	91
Graphic(PDF)	Shapefiles	Juglans major	Arizona walnut	Little (1976) 	92-N, 92-SW
Graphic(PDF)	Shapefiles	Juglans microcarpa	little walnut	Little (1976) 	93
Graphic(PDF)	Shapefiles	Juglans nigra	black walnut	Little (1971) 	134-E
Graphic(PDF)	Shapefiles	Juniperus ashei	Ashe juniper	Little (1971) 	21-W, 21-E
Graphic(PDF)	Shapefiles	Juniperus californica	California juniper	Little (1971) 	20-W
Graphic(PDF)	Shapefiles	Juniperus communis	common juniper	Little (1971) 	22-W, 22-E, 22-N
Graphic(PDF)	Shapefiles	Juniperus deppeana	alligator juniper	Little (1971) 	23-W, 23-N
Graphic(PDF)	Shapefiles	Juniperus erythrocarpa	redberry juniper	Little (1981) 	36
Graphic(PDF)	Shapefiles	Juniperus flaccida	drooping juniper	Little (1971) 	24-W, 24-N
Graphic(PDF)	Shapefiles	Juniperus horizontalis	creeping juniper	Little (1971) 	22.1-N, 22.1-W, 22.1-E
Graphic(PDF)	Shapefiles	Juniperus monosperma	one seed juniper	Little (1971) 	25-W, 25-N
Graphic(PDF)	Shapefiles	Juniperus occidentalis	western juniper	Little (1971) 	26-W
Graphic(PDF)	Shapefiles	Juniperus osteosperma	Utah juniper	Little (1971) 	27-W
Graphic(PDF)	Shapefiles	Juniperus pinchotii	Pinchot juniper	Little (1971) 	28-W
Graphic(PDF)	Shapefiles	Juniperus scopulorum	Rocky Mountain juniper	Little (1971) 	30-W, 30-N
Graphic(PDF)	Shapefiles	Juniperus silicicola	southern redcedar	Little (1971) 	29-E
Graphic(PDF)	Shapefiles	Juniperus virginiana	eastern redcedar	Little (1971) 	31-W, 31-E
Graphic(PDF)	Shapefiles	Kalmia latifolia	mountain laurel	Little (1977) 	75-NE, 75-SE
Graphic(PDF)	Shapefiles	Koeberlinia spinosa	allthorn	Little (1976) 	95-N, 95-SW
Graphic(PDF)	Shapefiles	Krugiodendron ferreum	leadwood	Little (1978) 	218
