year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
7,3,4,205,4,2,3,4,5,3.5,3.75
7,3,4,213,4,3,4,5,,4,4.25
7,3,4,220,4,5,6, ,,5.5,5.75
7,3,4,227,4,6,,,,6,6
7,3,4,170,5,0,,,,0,0
7,3,4,177,5,1,,,,1,1
7,3,4,183,5,1,,,,1,1
7,3,4,191,5,1,2,,,1.5,1.25
7,3,4,198,5,2,,,,2,2
7,3,4,205,5,3,4,,,3.5,3.5
7,3,4,213,5,3,4,5,,4,4
7,3,4,220,5,3,4,5,,4,4.25
7,3,4,227,5,3,4,5,,4,4.25
7,3,4,233,5,3,4,5,,4,4.5
7,3,4,240,5,5,6,,,5.5,5.25
7,3,4,247,5,5,,,,5,5
7,3,4,254,5,6,,,,6,6
7,3,5,183,1,0,,,,0,0
7,3,5,191,1,1,,,,1,1
7,3,5,198,1,2,,,,2,2
7,3,5,205,1,2,3,4,,3,3.25
7,3,5,213,1,3,4,5,,4,4.5
7,3,5,220,1,3,4,5,,4,4.75
7,3,5,227,1,3,4,5,,4,4.25
7,3,5,233,1,3,4,5,,4,4.5
7,3,5,240,1,5,6,,,5.5,5.25
7,3,5,247,1,5,6,,,5.5,5.25
7,3,5,254,1,5,6,,,5.5,5.5
7,3,5,183,2,0,,,,0,0
7,3,5,191,2,1,,,,1,1
7,3,5,198,2,2,,,,2,2
7,3,5,205,2,1,2,3,,2,1.75
7,3,5,213,2,2,3,4,5,3.5,3.5
7,3,5,220,2,3,4,5,,4,4.25
7,3,5,227,2,3,4,5,,4,4.5
7,3,5,233,2,3,4,5,,4,4.75
7,3,5,240,2,4,5,,,4.5,4.75
7,3,5,247,2,5,,,,5,5
7,3,5,254,2,5,6,,,5.5,5.75
7,3,6,170,1,0,,,,0,0
7,3,6,177,1,1,,,,1,1
7,3,6,183,1,1,,,,1,1
7,3,6,191,1,1,,,,1,1
7,3,6,198,1,2,,,,2,2
7,3,6,205,1,2,3,4,,3,3
7,3,6,213,1,3,4,5,,4,4.5
7,3,6,220,1,3,4,5,,4,4.25
7,3,6,227,1,3,4,5,,4,4.25
7,3,6,233,1,3,4,5,,4,4.75
7,3,6,170,2,0,,,,0,0
7,3,6,177,2,1,,,,1,1
7,3,6,183,2,1,,,,1,1
7,3,6,191,2,2,,,,2,2
7,3,6,198,2,2,3,,,2.5,2.25
7,3,6,205,2,3,4,5,,4,4
7,3,6,213,2,3,4,5,,4,4.5
7,3,6,220,2,3,4,5,,4,4.25
7,3,6,227,2,3,4,5,,4,4.5
7,3,6,233,2,3,4,5,,4,4.75
7,3,6,170,3,0,,,,0,0
7,3,6,177,3,1,,,,1,1
7,3,6,183,3,1,,,,1,1
7,3,6,191,3,1,,,,1,1
7,3,6,198,3,1,2,,,1.5,1.25
7,3,6,205,3,1,2,3,4,2.5,2.25
7,3,6,213,3,2,3,4,5,3.5,3.5
7,3,6,220,3,3,4,5,,4,4
7,3,6,227,3,3,4,5,,4,4.75
7,3,6,233,3,3,4,5,,4,4.5
7,3,6,240,3,4,5,,,4.5,4.5
7,3,6,247,3,5,6,,,5.5,5.5
7,3,6,254,3,5,6,,,5.5,5.5
7,3,6,170,4,0,,,,0,0
7,3,6,177,4,1,,,,1,1
7,3,6,183,4,1,,,,1,1
7,3,6,191,4,2,,,,2,2
7,3,6,198,4,1,2,3,,2,1.75
7,3,6,205,4,2,3,4,,3,2.75
7,3,6,213,4,3,4,5,,4,4
7,3,6,220,4,3,4,5,,4,4.25
7,3,6,227,4,3,4,5,,4,4.5
7,3,6,233,4,3,4,5,,4,4.25
7,3,6,240,4,4,5,,,4.5,4.25
7,3,6,170,5,0,,,,0,0
7,3,6,177,5,1,,,,1,1
7,3,6,183,5,1,,,,1,1
7,3,6,191,5,1,2,,,1.5,1.25
7,3,6,198,5,2,,,,2,2
7,3,6,205,5,2,3,,,2.5,2.5
7,3,6,213,5,3,4,5,,4,4.5
7,3,6,220,5,3,4,5,,4,4
7,3,6,227,5,3,4,5,,4,4
7,3,6,233,5,3,4,5,,4,4.75
7,3,6,240,5,5,6,,,5.5,5.25
7,3,7,170,1,0,,,,0,0
7,3,7,177,1,1,,,,1,1
7,3,7,183,1,1,,,,1,1
7,3,7,191,1,1,,,,1,1
7,3,7,198,1,2,,,,2,2
7,3,7,205,1,2,3,,,2.5,2.5
7,3,7,213,1,3,4,5,,4,3.75
7,3,7,220,1,3,4,5,,4,4.25
7,3,7,227,1,3,4,5,,4,4.5
7,3,7,233,1,3,4,5,,4,4.5
7,3,7,170,2,0,,,,0,0
7,3,7,177,2,1,,,,1,1
7,3,7,183,2,1,,,,1,1
7,3,7,191,2,1,,,,1,1
7,3,7,198,2,2,,,,2,2
7,3,7,205,2,2,3,,,2.5,2.5
7,3,7,213,2,3,4,5,,4,4.25
7,3,7,220,2,3,4,5,,4,4
7,3,7,227,2,4,5,,,4.5,4.5
7,3,7,170,3,0,,,,0,0
7,3,7,177,3,1,,,,1,1
7,3,7,183,3,1,,,,1,1
7,3,7,191,3,2,,,,2,2
7,3,7,198,3,1,2,,,1.5,1.5
7,3,7,205,3,1,2,3,4,2.5,2.75
7,3,7,213,3,2,3,4,5,3.5,3.75
7,3,7,220,3,3,4,5,,4,3.75
7,3,7,227,3,3,4,5,,4,4.25
7,3,7,233,3,3,4,,,3.5,3.75
7,3,7,240,3,3,4,,,3.5,3.75
7,3,7,247,3,4,,,,4,4
7,3,7,254,3,5,6,,,5.5,5.75
7,3,7,170,4,0,,,,0,0
7,3,7,177,4,1,,,,1,1
7,3,7,183,4,1,,,,1,1
7,3,7,191,4,1,,,,1,1
7,3,7,198,4,2,,,,2,2
7,3,7,205,4,3,4,,,3.5,3.5
7,3,7,213,4,3,4,5,,4,4.25
7,3,7,220,4,3,4,5,,4,4
7,3,7,227,4,3,4,5,,4,4
7,3,7,170,5,0,,,,0,0
7,3,7,177,5,1,,,,1,1
7,3,7,183,5,1,,,,1,1
7,3,7,191,5,1,,,,1,1
7,3,7,198,5,2,3,,,2.5,2.5
7,3,7,205,5,3,4, ,,3.5,3.5
7,3,7,213,5,3,4,5,,4,4.5
7,3,7,220,5,4,5, ,,4.5,4.25
7,3,7,227,5,4,5,5,,4.666666667,4.5
7,3,8,170,1,0,,,,0,0
7,3,8,177,1,1,,,,1,1
7,3,8,183,1,1,,,,1,1
7,3,8,191,1,1,,,,1,1
7,3,8,198,1,1,2,,,1.5,1.5
7,3,8,205,1,1,2,3,4,2.5,2.5
7,3,8,213,1,2,3,4,5,3.5,3
7,3,8,220,1,3,4,5,,4,4.25
7,3,8,227,1,3,4,5,,4,4.25
7,3,8,233,1,3,4,5,,4,4.75
7,3,8,240,1,5,6,,,5.5,5.25
7,3,8,247,1,5,6,,,5.5,5.75
7,3,8,254,1,6, ,,,6,6
7,3,8,170,2,0,,,,0,0
7,3,8,177,2,1,,,,1,1
7,3,8,183,2,1,,,,1,1
7,3,8,191,2,2,,,,2,2
7,3,8,198,2,2,3,,,2.5,2.25
7,3,8,205,2,3,4,,,3.5,3.5
7,3,8,213,2,3,4,5,,4,4.5
7,3,8,170,3,0,,,,0,0
7,3,8,177,3,1,,,,1,1
7,3,8,183,3,1,,,,1,1
7,3,8,191,3,2,,,,2,2
7,3,8,198,3,2,,,,2,2
7,3,8,205,3,3,4,,,3.5,3.5
7,3,8,213,3,3,4,5,,4,4.5
7,3,8,220,3,3,4,5,,4,3.75
7,3,8,227,3,3,4,5,,4,4.25
7,3,8,170,4,0,,,,0,0
7,3,8,177,4,1,,,,1,1
7,3,8,183,4,1,,,,1,1
7,3,8,191,4,2,,,,2,2
7,3,8,198,4,2,3,,,2.5,2.5
7,3,8,205,4,3,4,,,3.5,3.5
7,3,8,213,4,3,4,5,,4,4.5
7,3,8,220,4,4,5, ,,4.5,4.5
7,3,8,170,5,0,,,,0,0
7,3,8,177,5,1,,,,1,1
7,3,8,183,5,1,,,,1,1
7,3,8,191,5,1,,,,1,1
7,3,8,198,5,2,,,,2,2
7,3,8,205,5,3,4,,,3.5,3.5
7,3,8,213,5,3,4,5,,4,4.5
7,3,8,220,5,3,4,5,,4,4
7,3,8,227,5,3,4,5,,4,4
7,3,9,183,1,0,,,,0,0
7,3,9,191,1,1,,,,1,1
7,3,9,198,1,2,,,,2,2
7,3,9,205,1,3,4,,,3.5,3.5
7,3,9,213,1,3,4,5,,4,4.75
7,3,9,220,1,3,4,5,,4,4.75
7,3,9,183,3,0,,,,0,0
7,3,9,191,3,1,,,,1,1
7,3,9,198,3,2,,,,2,2
7,3,9,205,3,2,3,,,2.5,2.75
7,3,9,213,3,3,4,5,,4,4.5
7,3,9,220,3,3,4,5,,4,4.5
7,3,9,183,4,0,,,,0,0
7,3,9,191,4,1,,,,1,1
7,3,9,198,4,3, ,,,3,3
7,3,9,205,4,3,4,5,,4,4.25
7,3,9,213,4,3,4,5,,4,4.75
7,3,9,220,4,3,4,5,,4,4.5
7,3,9,183,5,0,,,,0,0
7,3,9,191,5,1,2,,,1.5,1.25
7,3,9,198,5,2, , ,,2,2
7,3,9,205,5,2,3,4,,3,2.5
7,3,9,213,5,2,3,4,5,3.5,3.75
7,3,9,220,5,3,4,5,,4,4.25
7,3,9,227,5,3,4,5,,4,4.5
7,3,9,233,5,3,4,5,,4,4.75
7,3,9,240,5,3,4,5,,4,4.75
7,3,9,247,5,5,6,,,5.5,5.25
7,3,9,254,5,5,6,,,5.5,5.5
7,3,10,170,1,0,,,,0,0
7,3,10,177,1,1,,,,1,1
7,3,10,183,1,1,,,,1,1
7,3,10,191,1,1,,,,1,1
7,3,10,198,1,1,2, ,,1.5,1.25
7,3,10,205,1,2,3,4,5,3.5,3.25
7,3,10,213,1,2,3,4,5,3.5,3.75
7,3,10,220,1,3,4,5,,4,4.5
7,3,10,170,2,0,,,,0,0
7,3,10,177,2,1,,,,1,1
7,3,10,183,2,1,,,,1,1
7,3,10,191,2,1,,,,1,1
7,3,10,198,2,1,2, ,,1.5,1.25
7,3,10,205,2,2,3,,,2.5,2.25
7,3,10,213,2,2,3,4,5,3.5,3.5
7,3,10,220,2,4,5, ,,4.5,4.75
7,3,10,170,3,0,,,,0,0
7,3,10,177,3,1,,,,1,1
7,3,10,183,3,1,,,,1,1
7,3,10,191,3,1,,,,1,1
7,3,10,198,3,1,2, ,,1.5,1.25
7,3,10,205,3,2,3,4,,3,2.5
7,3,10,213,3,3,4,5,,4,4
7,3,10,220,3,3,4,5,,4,4.25
7,3,10,170,4,0,,,,0,0
7,3,10,177,4,1,,,,1,1
7,3,10,183,4,1,,,,1,1
7,3,10,191,4,1,,,,1,1
7,3,10,198,4,1,2, ,,1.5,1.25
7,3,10,205,4,2,3,4,,3,2.5
7,3,10,213,4,3,4,5,,4,4
7,3,10,220,4,3,4,5,,4,4.25
7,3,10,170,5,0,,,,0,0
7,3,10,177,5,1,,,,1,1
7,3,10,183,5,1,,,,1,1
7,3,10,191,5,1,,,,1,1
7,3,10,198,5,2,,,,2,2
7,3,10,205,5,3,4,,,3.5,3.5
7,3,10,213,5,3,4,5,,4,4
7,3,10,220,5,3,4,5,,4,4.25
7,4,1,170,4,0,,,,0,0
7,4,1,183,4,1,,,,1,1
7,4,1,191,4,1,,,,1,1
7,4,1,198,4,1,,,,1,1
7,4,1,205,4,1,,,,1,1
7,4,1,213,4,1,,,,1,1
7,4,1,219,4,1,2,,,1.5,1.5
7,4,1,226,4,2,3,4,,3,2.75
7,4,1,233,4,5,6,,,5.5,5.5
7,4,1,240,4,6,,,,6,6
7,4,1,247,4,5,6,,,5.5,5.5
7,4,1,254,4,5,6,,,5.5,5.5
7,4,2,170,1,0,,,,0,0
7,4,2,183,1,1,,,,1,1
7,4,2,191,1,2,,,,2,2
7,4,2,198,1,1,2,3,,2,2
7,4,2,205,1,3,4,5,,4,4.5
7,4,2,213,1,3,4,5,,4,4.5
7,4,2,219,1,3,4,,,3.5,3.5
7,4,2,226,1,4,5,,,4.5,4.25
7,4,2,233,1,4,5,,,4.5,4.25
7,4,2,240,1,5,,,,5,5
7,4,2,247,1,5,6,,,5.5,5.25
7,4,2,254,1,6,,,,6,6
7,4,2,170,2,0,,,,0,0
7,4,2,183,2,1,,,,1,1
7,4,2,191,2,2,,,,2,2
7,4,2,198,2,2,3,,,2.5,2.75
7,4,2,205,2,3,,,,3,3
7,4,2,213,2,3,4,5,,4,4.5
7,4,2,219,2,3,4,5,,4,4.5
7,4,2,226,2,3,4,5,,4,4
7,4,2,233,2,5,6,,,5.5,5.25
7,4,2,240,2,5,6,,,5.5,5.75
7,4,2,247,2,5,6,,,5.5,5.25
7,4,2,254,2,5,6,,,5.5,5.75
7,4,2,170,3,0,,,,0,0
7,4,2,177,3,1,,,,1,1
7,4,2,177,3,1,,,,1,1
7,4,2,177,3,1,,,,1,1
7,4,2,183,3,1,,,,1,1
7,4,2,191,3,1,2,,,1.5,1.5
7,4,2,198,3,2,3,,,2.5,2.25
7,4,2,205,3,2,3,4,5,3.5,3.75
7,4,2,213,3,3,4,5,,4,4.5
7,4,2,219,3,3,4,,,3.5,3.5
7,4,2,226,3,4,5,,,4.5,4.25
7,4,2,233,3,5,6,,,5.5,5.25
7,4,2,240,3,5,6,,,5.5,5.5
7,4,2,247,3,5,6,,,5.5,5.5
7,4,2,254,3,6,,,,6,6
7,4,2,170,4,0,,,,0,0
7,4,2,177,4,1,,,,1,1
7,4,2,183,4,1,,,,1,1
7,4,2,191,4,1,2,,,1.5,1.25
7,4,2,198,4,2,3,,,2.5,2.25
7,4,2,205,4,3,4,,,3.5,3.75
7,4,2,213,4,3,4,5,,4,4.5
7,4,2,219,4,3,4,,,3.5,3.5
7,4,2,226,4,4,5,,,4.5,4.75
7,4,2,233,4,5,6,,,5.5,5.5
7,4,2,240,4,5,6,,,5.5,5.75
7,4,2,247,4,5,6,,,5.5,5.75
7,4,2,254,4,6,,,,6,6
7,4,2,170,5,0,,,,0,0
7,4,2,177,5,1,,,,1,1
7,4,2,183,5,1,,,,1,1
7,4,2,191,5,2,,,,2,2
7,4,2,198,5,3,4,,,3.5,3.5
7,4,2,205,5,3,4,5,,4,4.5
7,4,2,213,5,3,4,5,,4,4.25
7,4,2,219,5,3,4,5,,4,4.5
7,4,2,226,5,4,5,,,4.5,4.75
7,4,2,233,5,5,6,,,5.5,5.5
7,4,2,240,5,5,6,,,5.5,5.5
7,4,2,247,5,5,6,,,5.5,5.5
7,4,2,254,5,5,6,,,5.5,5.75
7,4,3,183,2,0,,,,0,0
7,4,3,191,2,1,,,,1,1
7,4,3,198,2,1,,,,1,1
7,4,3,205,2,1,2,,,1.5,1.25
7,4,3,213,2,2,3,4,,3,2.75
7,4,3,219,2,2,3,4,5,3.5,3.5
7,4,3,226,2,3,4,5,,4,4.5
7,4,3,233,2,5,,,,5,5
7,4,3,240,2,5,6,,,5.5,5.25
7,4,3,247,2,5,6,,,5.5,5.25
7,4,3,254,2,5,6,,,5.5,5.25
7,4,3,183,3,0,,,,0,0
7,4,3,191,3,1,,,,1,1
7,4,3,198,3,1,2,,,1.5,1.25
7,4,3,205,3,2,3,,,2.5,2.25
7,4,3,213,3,2,3,4,5,3.5,3.25
7,4,3,219,3,3,4,5,,4,3.75
7,4,3,226,3,3,4,5,,4,4.75
7,4,3,233,3,4,5,,,4.5,4.75
7,4,3,240,3,5,6,,,5.5,5.25
7,4,3,247,3,5,6,,,5.5,5.5
7,4,3,254,3,5,6,,,5.5,5.5
7,4,3,183,4,0,,,,0,0
7,4,3,191,4,1,,,,1,1
7,4,3,198,4,1,2,,,1.5,1.25
7,4,3,205,4,2,,,,2,2
7,4,3,213,4,2,3,4,,3,3
7,4,3,219,4,3,4,5,,4,4.5
7,4,3,226,4,3,4,5,,4,4.5
7,4,3,233,4,5,,,,5,4
7,4,3,240,4,5,,,,5,5
7,4,3,247,4,5,6,,,5.5,5.25
7,4,3,254,4,5,6,,,5.5,5.5
7,4,4,155,1,0,,,,0,0
7,4,4,163,1,1,,,,1,1
7,4,4,170,1,1,,,,1,1
7,4,4,177,1,1,,,,1,1
7,4,4,183,1,2,,,,2,2
7,4,4,191,1,2,3,,,2.5,2.75
7,4,4,198,1,3,4,,,3.5,3.5
7,4,4,205,1,3,4,5,,4,4.5
7,4,4,155,2,0,,,,0,0
7,4,4,163,2,1,,,,1,1
7,4,4,170,2,1,,,,1,1
7,4,4,177,2,1,,,,1,1
7,4,4,183,2,1,2,,,1.5,1.25
7,4,4,191,2,2,3,,,2.5,2.25
7,4,4,198,2,3,4,,,3.5,3.5
7,4,4,205,2,3,4,5,,4,4.25
7,4,4,155,3,0,,,,0,0
7,4,4,163,3,1,,,,1,1
7,4,4,170,3,1,,,,1,1
7,4,4,177,3,1,,,,1,1
7,4,4,183,3,1,2,,,1.5,1.25
7,4,4,191,3,2,3,,,2.5,2.25
7,4,4,198,3,1,2,3,4,2.5,2.25
7,4,4,205,3,3,4,5,,4,4.25
7,4,4,213,3,3,4,5,,4,4
7,4,4,219,3,3,4,5,,4,4.25
7,4,4,226,3,4,5,,,4.5,4.75
7,4,4,233,3,5,6,,,5.5,5.25
7,4,4,240,3,5,6,,,5.5,5.25
7,4,4,247,3,6,,,,6,6
7,4,4,254,3,5,6,,,5.5,5.75
7,4,4,155,4,0,,,,0,0
7,4,4,163,4,1,,,,1,1
7,4,4,170,4,1,,,,1,1
7,4,4,177,4,1,,,,1,1
7,4,4,183,4,1,2,,,1.5,1.25
7,4,4,191,4,2,3,,,2.5,2.75
7,4,4,198,4,2,3,4,,3,3.25
7,4,4,205,4,3,4,5,,4,4.5
7,4,4,213,4,3,4,5,,4,4.5
7,4,4,219,4,3,4,5,,4,4.75
7,4,4,226,4,5,6,,,5.5,5.25
7,4,4,233,4,5,6,,,5.5,5.5
7,4,4,240,4,5,6,,,5.5,5.25
7,4,4,247,4,5,6,,,5.5,5.75
7,4,4,254,4,6,,,,6,6
7,4,4,155,5,0,,,,0,0
7,4,4,163,5,1,,,,1,1
7,4,4,170,5,1,,,,1,1
7,4,4,177,5,1,,,,1,1
7,4,4,183,5,1,2,,,1.5,1.25
7,4,4,191,5,2,3,,,2.5,2.25
7,4,4,198,5,3,4,,,3.5,3.5
7,4,4,205,5,3,4,5,,4,4.25
7,4,4,213,5,3,4,5,,4,4.25
7,4,4,219,5,3,4,5,,4,4.5
7,4,4,226,5,6,,,,6,6
7,4,5,177,3,0,,,,0,0
7,4,5,183,3,1,,,,1,1
7,4,5,191,3,1,,,,1,1
7,4,5,198,3,1,2,,,1.5,1.5
7,4,5,205,3,1,2,3,4,2.5,2.5
7,4,5,213,3,2,3,4,5,3.5,3.25
7,4,5,219,3,2,3,4,5,3.5,3.75
7,4,5,226,3,3,4,5,,4,4.5
7,4,5,233,3,5,,,,5,5
7,4,5,240,3,5,6,,,5.5,5.25
7,4,5,247,3,5,6,,,5.5,5.25
7,4,5,254,3,6,,,,6,6
7,4,6,155,1,0,,,,0,0
7,4,6,163,1,1,,,,1,1
7,4,6,170,1,1,,,,1,1
7,4,6,177,1,1,2,,,1.5,1.25
7,4,6,183,1,1,2,,,1.5,1.5
7,4,6,191,1,2,3,,,2.5,2.25
7,4,6,198,1,3,4,,,3.5,3.5
7,4,6,205,1,3,4,,,3.5,3.5
7,4,6,213,1,3,4,5,,4,4.5
7,4,6,219,1,3,4,5,6,4.5,4.75
7,4,6,226,1,6,,,,6,6
7,4,6,155,2,0,,,,0,0
7,4,6,163,2,1,,,,1,1
7,4,6,170,2,1,,,,1,1
7,4,6,177,2,1,2,,,1.5,1.25
7,4,6,183,2,1,2,,,1.5,1.25
7,4,6,191,2,2,,,,2,2
7,4,6,198,2,2,,,,2,1
7,4,6,205,2,1,3,,,2,1.5
7,4,6,213,2,3,,,,3,3
7,4,6,219,2,3,,,,3,3
7,4,6,226,2,3,,,,3,3
7,4,6,233,2,5,6,,,5.5,5.75
7,4,6,240,2,6,,,,6,6
7,4,6,155,3,0,,,,0,0
7,4,6,163,3,1,,,,1,1
7,4,6,170,3,1,,,,1,1
7,4,6,177,3,1,2,,,1.5,1.25
7,4,6,183,3,1,2,,,1.5,1.5
7,4,6,191,3,2,3,,,2.5,2.5
7,4,6,198,3,3,4,,,3.5,3.5
7,4,6,205,3,3,4,5,6,4.5,4.5
7,4,6,213,3,3,4,5,6,4.5,4.75
