,Panicum virgatum (Switchgrass) Phenology Data 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,y,n,,,2.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,10,y,n,0,0,1,1,3,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
4,1,n,y,0,0,0,0,1,1,1,1,1,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
4,2,n,y,0,0,0,0,1,1,1,2,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
4,3,n,y,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
4,4,n,y,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3.5,3.5,4,4,4,4,4,4,4,4,4,4
4,5,n,y,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
4,6,n,y,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5
4,7,n,y,0,0,1,2,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
4,8,n,y,0,0,0,0,1,1,1,1,1,2.5,2.5,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
4,9,n,y,0,0,0,0,1,1,1,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
4,10,n,y,0,0,0,0,1,1,1,2,3,3.5,3.5,3.5,3,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
5,5,y,y,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3.5,3.5,4,4,4,4,4,4,4
5,8,y,y,0,0,1,2,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
5,10,y,y,0,0,0,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
6,1,n,n,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3.5,3.5,4,4,4,4,4,4
6,2,n,n,0,0,0,0,0,1,1,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
6,3,n,n,0,0,0,0,0,1,1,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
6,4,n,n,0,0,0,0,0,0,1,2,2,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
6,5,n,n,0,0,0,1,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
6,6,n,n,0,0,0,0,0,1,1,1,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
6,7,n,n,0,0,0,0,1,1,1,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
6,8,n,n,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,9,n,n,0,0,0,0,0,0,0,0,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
6,10,n,n,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2.5,3,3.5,3.5,3.5,4,4,4,4,4,4,4
7,2,y,n,0,1,1,1,1,1,1,2,2.5,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
7,3,y,n,0,0,1,2,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
7,4,y,n,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3.5,3.5,3.5,4,4,4,4,4
7,5,y,n,1,1.5,2.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,6,y,n,1,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,7,y,n,1,1,1.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7,8,y,n,0,1,1.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
7,9,y,n,0,1,1.5,2,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
7,10,y,n,0,1,1,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
8,1,n,y,0,0,0,0,0,0,0,1,1,1,2,2.5,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
8,2,n,y,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
8,3,n,y,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2.5,3.5,3.5,3.5,3.5,4,4,4,4
8,4,n,y,0,0,0,0,0,0,1,1,1,2,2,2.5,2.5,2.5,3,3,3.5,3.5,3.5,3.5,4,4,4,4,4,4
8,5,n,y,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
8,6,n,y,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
8,7,n,y,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3.5,3.5,4,4,4,4,4,4,4,4,4,4
8,8,n,y,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
8,9,n,y,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
8,10,n,y,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
9,1,y,y,0,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
9,2,y,y,0,1,2.5,2.5,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
9,3,y,y,0,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
9,4,y,y,0,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
9,8,y,y,0,1,2.5,3.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
9,9,y,y,0,0,1,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,10,y,y,0,1.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4
10,1,n,n,0,0,0,0,0,0,0,0,1,1,2.5,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
10,2,n,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.5,4,4,4,4,4
10,3,n,n,0,0,0,1,1,1,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
10,4,n,n,0,0,0,1,1,1,1,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
10,5,n,n,0,0,0,1,1,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
10,7,n,n,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
10,10,n,n,0,0,0,0,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11,1,n,y,0,0,0,0,0,1.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
11,2,n,y,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
11,4,n,y,0,0,0,0,0,0,0,0,1,2.5,3,3,3,3,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
11,5,n,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
11,6,n,y,0,0,0,0,0,1,1,1,1.5,2,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
11,7,n,y,0,0,0,0,0,1,1,1,1,2,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
11,8,n,y,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2.75,3.5,3.5,3.5,4,4,4,4,4,4,4
11,9,n,y,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,3,3.5,3.5,3.5,4,4,4,4
11,10,n,y,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3.5,3.5,3.5,4,4,4,4,4,4
12,1,y,n,0,0,1,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4
12,2,y,n,0,0,1.5,2,3,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,3,y,n,0,0,1,2,2.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,4,y,n,0,0,1,1,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
12,5,y,n,0,0,0,0,2,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
12,6,y,n,0,1.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
12,8,y,n,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
12,10,y,n,0,0,0,0,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
13,2,y,y,0,0,0,1,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
13,3,y,y,0,0,0,1,2.5,3,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
13,4,y,y,0,0,1,1,2.5,3,3,3,3.5,3.5,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
13,5,y,y,0,0,1,2,2.5,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
13,6,y,y,0,0,0,0,0,1,1,1,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
13,7,y,y,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2.5,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5
13,9,y,y,0,1,2.5,2.75,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
13,10,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.5,4,4,4,4,4,4,4
14,3,n,n,0,0,0,0,0,0,0,1,1,2,2.5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14,5,n,n,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15,11,y,n,0,0,0,0,0,1,1,1,1,2,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
15,2,y,n,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2.5,2.5,3.5,3.5,3.5,4,4,4,4
15,4,y,n,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3.5,3.5,4,4,4,4,4
15,5,y,n,1,1,1.5,1.5,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
15,7,y,n,1,1,1.5,2,2.5,2.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
15,8,y,n,1,1,1.5,2,2,2,2,2.5,2.5,2.5,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
15,10,y,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2.5,2.5,3.5
16,13,n,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3.5,3.5,3.5,4,4,4,4
16,4,n,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,2,3.5,3.5,4,4,4,4,4
16,5,n,y,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
16,6,n,y,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3.5,3.5,4,4,4,4,4,4,4,4
16,9,n,y,0,0,0,0,0,0,0,1,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
16,10,n,y,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
17,2,y,y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
17,4,y,y,0,1,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17,5,y,y,0,1,1.5,2,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4
17,8,y,y,0,0,0,1,2,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4
18,1,n,n,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1,1,2.5,2.5,2.5,4,4,4,4,4,4
18,2,n,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.5,3.5,3.5,3.5,3.5,3.5,3.5
18,3,n,n,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,1,1,2,2,2.5,3,3,3.5,3.5,3.5,3.5
18,4,n,n,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,1,1,1,2,2,2.5,3.5,3.5,3.5,3.5,3.5,3.5
18,5,n,n,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,1,1,2,2.5,3.5,3.5,3,3,3.5,3.5
18,8,n,n,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,1,1,1,1,1,2.5,4,4,4,4,4,4
19,1,y,n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4
19,2,y,n,0,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
19,3,y,n,1,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
19,4,y,n,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4
19,5,y,n,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
19,6,y,n,0,0,0,1,2,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4
19,7,y,n,1,2.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
19,8,y,n,0,1,2.5,2.5,3,3,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
19,9,y,n,0,1,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
19,10,y,n,0,1,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4
20,3,n,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,3.5,4,4,4,4,4,4,4
20,8,n,y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2.5,4,4,4,4,4,4,4,4,4
20,9,n,y,0,0,0,0,1,1,2,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
20,10,n,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4
