Plot,Tree,Plot,Tree,Species,1st bud break,>= 3 buds,1st leaf unfolded,>= 3 leaves,full leaf,dead?,Comment
3,E,1,156,A. rubrum ,.,.,.,.,.,yes,
3,E,2,430,Q. rubra  ,.,.,.,.,.,yes,
3,E,3,12,B. lenta  ,.,.,.,.,.,yes,
4,N,2,157,A. rubrum ,95,95,102,102,118,no,"only 1 bud?; 3 buds broken, 3 leaves unfolded-unsure"
4,N,3,431,Q. rubra  ,.,.,.,.,.,yes,tag taken 4-5-10
4,N,4,13,B. lenta  ,.,.,.,.,.,yes,(no tag left)
4,W,1,432,Q. rubra  ,.,.,.,.,.,yes,tag taken 4-5-10
4,W,3,158,A. rubrum ,99,99,102,102,113,no,
4,W,4,14,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
4,S,1,159,A. rubrum ,106,106,111,111,120,no,
4,S,2,15,B. lenta  ,.,.,.,.,.,yes,
4,S,3,433,Q. rubra  ,106,106,111,111,118,no,
4,E,1,434,Q. rubra  ,165,165,165,165,168,yes,"tag taken 4-5-10 resprout on 165; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded<165"
4,E,2,160,A. rubrum ,109,113,.,116,116,yes,
4,E,3,16,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
5,N,1,161,A. rubrum ,.,.,.,.,.,yes,tag taken 4-5-10
5,N,2,435,Q. rubra  ,.,.,.,.,.,yes,
5,N,3,17,B. lenta  ,77,99,111,113,140,no,
5,W,1,436,Q. rubra  ,99,99,99,102,123,no,
5,W,2,162,A. rubrum ,.,.,.,.,.,yes,eaten from below
5,W,3,18,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
5,S,2,437,Q. rubra  ,.,.,.,.,.,yes,
5,S,3,163,A. rubrum ,.,.,.,.,.,yes,dried up stump
5,S,4,19,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
5,E,1,438,Q. rubra  ,.,.,.,.,.,yes,
5,E,3,20,B. lenta  ,.,.,.,.,.,yes,
5,E,4,164,A. rubrum ,.,.,.,.,.,yes,
6,N,1,21,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
6,N,2,165,A. rubrum ,111,113,120,123,125,no,
6,N,3,439,Q. rubra  ,.,.,.,.,.,yes,dried
6,W,1,22,B. lenta  ,116,116,116,120,132,no,(below ground dmg? Shaky) bottom sprout; 3 buds broken - unsure
6,W,2,440,Q. rubra  ,95,.,99,99,125,no,
6,W,4,166,A. rubrum ,.,.,.,.,.,yes,
6,S,2,167,A. rubrum ,120,120,125,125,144,no,low sprouts
6,S,3,23,B. lenta  ,.,.,.,.,.,yes,
6,S,4,441,Q. rubra  ,95,102,99,102,116,no,
6,E,1,168,A. rubrum ,.,.,.,.,.,yes,sugar maple volunteer
6,E,2,24,B. lenta  ,.,.,.,.,.,yes,sugar maple volunteer
6,E,3,442,Q. rubra  ,.,.,.,.,.,yes,sugar maple volunteer
7,N,1,25,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
7,N,2,169,A. rubrum ,.,.,.,.,.,yes,
7,N,3,443,Q. rubra  ,113,.,116,116,140,no,3 leaves unfolded-unsure
7,W,1,170,A. rubrum ,116,116,125,125,140,no,"tiny bottom sprout; 1st bud break, 3 buds broken-unsure"
7,W,2,26,B. lenta  ,146,146,146,146,146,no,"bottom sprouts; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded< 146"
7,W,4,444,Q. rubra  ,.,.,.,.,.,yes,
7,S,1,171,A. rubrum ,.,.,.,.,.,yes,
7,S,2,27,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
7,S,3,445,Q. rubra  ,.,.,.,.,.,yes,
7,E,1,28,B. lenta  ,123,123,134,134,137,no,"main stem girdled, low sprout; 3 buds broken, 3 leaves unfolded-unsure"
7,E,2,446,Q. rubra  ,.,.,.,.,.,yes,
7,E,3,172,A. rubrum ,.,.,.,.,.,yes,
8,N,1,29,B. lenta  ,.,.,.,.,.,yes,girdled main stem
8,N,2,447,Q. rubra  ,102,123,113,118,144,no,bottom sprout; 3 buds broken<123
8,N,4,173,A. rubrum ,97,102,109,116,127,no,top dead?
8,W,1,448,Q. rubra  ,123,123,130,132,152,no,bottom sprouts; 3 buds broken-unsure
8,W,2,30,B. lenta  ,.,.,.,.,.,yes,
8,W,3,174,A. rubrum ,.,.,.,.,.,yes,
8,S,1,31,B. lenta  ,.,.,.,.,.,yes,girdled
8,S,2,449,Q. rubra  ,.,.,.,.,.,yes,
8,S,3,175,A. rubrum ,.,.,.,.,.,yes,
8,E,1,176,A. rubrum ,116,116,123,123,144,no,3 buds broken-unsure
8,E,2,450,Q. rubra  ,123,123,125,127,146,yes,original bud (of 4-9) now dead (5/3)
8,E,3,32,B. lenta  ,.,.,.,.,.,yes,girdled
9,N,1,177,A. rubrum ,.,.,.,.,.,yes,eaten from below (3-22-10)
9,N,3,451,Q. rubra  ,.,.,.,.,.,yes,gone
9,N,4,33,B. lenta  ,.,.,.,.,.,yes,mostly eaten from below (3-22-10)
9,W,1,452,Q. rubra  ,99,99,102,102,118,no,
9,W,2,34,B. lenta  ,95,95,104,111,120,no,
9,W,3,178,A. rubrum ,102,116,111,123,130,no,(bottom)
9,S,2,453,Q. rubra  ,99,99,102,104,116,no,3 buds broken-unsure
9,S,3,179,A. rubrum ,99,99,106,113,127,no,
9,S,4,35,B. lenta  ,95,97,106,113,120,no,
9,E,1,36,B. lenta  ,95,95,106,106,120,no,
9,E,2,454,Q. rubra  ,.,.,.,.,.,yes,
9,E,4,180,A. rubrum ,97,113,99,118,127,,"1st bud break, 1st leaf unfolded -bottom sprouts"
9,E,4,180,A. rubrum (main stem),106,.,118,.,.,,main stem
10,N,1,37,B. lenta  ,95,95,106,111,120,no,
10,N,3,455,Q. rubra  ,99,99,102,106,116,no,
10,N,4,182,A. rubrum ,95,104,106,,123,no,"1st bud break, 1st leaf unfolded -bottom sprout; 1st bb probably 4-14-10"
10,W,1,456,Q. rubra  ,111,111,116,116,123,no,6/8 - beheaded by voles; 3 buds broken-unsure
10,W,2,38,B. lenta  ,81,99,113,116,123,no,
10,W,4,183,A. rubrum ,.,.,.,.,.,yes,
10,S,1,39,B. lenta  ,95,95,106,111,,no,
10,S,2,184,A. rubrum ,106,116,116,123,130,no,1st bud break-bottom sprout
10,S,4,458,Q. rubra  ,102,106,113,113,125,no,
10,E,1,40,B. lenta  ,95,95,106,111,120,no,
10,E,3,185,A. rubrum ,.,.,.,.,.,yes,
10,E,4,457,Q. rubra  ,111,120,113,123,127,no,
11,N,2,186,A. rubrum ,97,99,106,111,123,no,
11,N,3,41,B. lenta  ,95,95,106,116,125,no,
11,N,4,459,Q. rubra  ,116,116,123,123,144,no,3 buds broken-unsure
11,W,1,42,B. lenta  ,95,95,106,106,120,no,
11,W,3,460,Q. rubra  ,102,104,111,113,123,no,
11,W,4,187,A. rubrum ,99,99,113,116,123,no,
11,S,1,43,B. lenta  ,97,99,111,116,125,no,
11,S,2,461,Q. rubra  ,120,123,125,125,130,no,being swallowed by tansy
11,S,4,188,A. rubrum ,.,.,.,.,.,yes,
11,E,1,462,Q. rubra  ,102,102,113,116,123,no,
11,E,3,44,B. lenta  ,95,95,111,116,125,no,
11,E,4,189,A. rubrum ,97,99,102,109,123,no,
12,N,1,463,Q. rubra  ,116,116,118,120,127,no,engulfed by tansy
12,N,3,45,B. lenta  ,81,99,113,116,132,no,
12,N,4,190,A. rubrum ,123,123,125,125,146,no,low sprouts
12,W,1,464,Q. rubra  ,104,104,111,113,123,no,3 buds broken-unsure
12,W,2,191,A. rubrum ,99,102,113,113,125,no,
12,W,4,46,B. lenta  ,95,97,106,106,125,no,
12,S,1,47,B. lenta  ,.,.,.,.,.,yes,
12,S,2,192,A. rubrum ,97,97,102,106,125,no,
12,S,4,465,Q. rubra  ,111,111,116,123,134,no,"bottom sprouts, top dead?"
12,E,2,466,Q. rubra  ,125,137,137,137,146,no,
12,E,3,193,A. rubrum ,104,111,116,120,127,no,
12,E,4,48,B. lenta  ,97,125,120,125,130,no,bottom sprouts; 1st bud break-unsure
13,N,2,467,Q. rubra  ,99,102,106,106,116,no,full leaf expansion-unsure
13,N,3,194,A. rubrum ,99,99,109,111,123,no,
13,N,4,49,B. lenta  ,.,.,.,.,.,yes,tag taken 4-5-10
13,W,1,468,Q. rubra  ,97,97,102,102,118,no,full leaf expansion-unsure
13,W,2,195,A. rubrum ,.,.,.,.,.,yes,
13,W,3,50,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
13,S,1,51,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
13,S,2,196,A. rubrum ,120,123,123,123,132,no,
13,S,3,469,Q. rubra  ,.,.,.,.,.,yes,
13,E,1,197,A. rubrum ,109,116,116,116,118,no,
13,E,2,470,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
13,E,3,52,B. lenta  ,.,.,.,.,.,yes,
14,N,1,471,Q. rubra  ,109,.,113,116,123,no,"dead (dried) bottom sprout live; 3 leaves unfolded, full leaf expansion-unsure"
14,N,2,199,A. rubrum ,97,99,111,113,135,no,
14,N,3,53,B. lenta  ,95,97,111,116,125,no,
14,W,1,54,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
14,W,2,200,A. rubrum ,113,113,116,120,125,no,
14,W,3,472,Q. rubra  ,104,116,113,116,132,no,bottom sprouts; 3 buds broken-unsure
14,S,2,201,A. rubrum ,.,.,.,.,.,yes,gone (eaten from below?) 3-22-10
14,S,3,55,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
14,S,4,473,Q. rubra  ,113,.,113,113,118,no,low branch; 1st bud break<113
14,E,1,56,B. lenta  ,.,.,.,.,.,yes,
14,E,3,474,Q. rubra  ,111,116,116,120,123,no,3 buds broken-unsure
14,E,4,202,A. rubrum ,116,118,123,123,132,no,
15,N,1,203,A. rubrum ,113,118,120,123,130,no,
15,N,2,475,Q. rubra  ,102,.,113,116,132,no,
15,N,4,57,B. lenta  ,99,99,116,116,125,no,
15,W,1,204,A. rubrum ,.,.,.,.,.,yes,chewed off? < 3-22-10
15,W,2,58,B. lenta  ,99,99,116,118,130,no,
15,W,3,476,Q. rubra  ,104,106,111,113,123,no,
15,S,1,59,B. lenta  ,120,120,120,120,127,no,"stump sprouts; 1st bud break, 3 buds broken<120"
15,S,2,477,Q. rubra  ,99,99,111,113,123,no,3 buds broken-unsure
15,S,3,205,A. rubrum ,97,102,111,116,132,no,top dead?; 3 buds broken-unsure
15,E,1,206,A. rubrum ,95,95,111,116,146,no,"3 buds broken, 3 leaves unfolded-unsure"
15,E,2,60,B. lenta  ,.,.,.,.,.,yes,bottom sprout
15,E,3,478,Q. rubra  ,.,.,.,.,.,yes,
15,E,pine - all green 137,,,.,.,.,.,.,yes,"*mostly eaten, hard to tell"
16,N,1,207,A. rubrum ,.,.,.,.,.,yes,chewed from below 3-22-10
16,N,2,61,B. lenta  ,.,.,.,.,.,yes,
16,N,3,479,Q. rubra  ,123,123,127,127,134,no,bottom sprout; 3 buds broken-unsure
16,W,1,480,Q. rubra  ,.,.,.,.,.,yes,
16,W,3,62,B. lenta  ,.,.,.,.,.,yes,small stump only 3-22-10
16,W,4,208,A. rubrum ,125,125,127,130,144,no,
16,S,1,209,A. rubrum ,125,125,127,130,144,no,
16,S,3,63,B. lenta  ,.,.,.,.,.,yes,
16,S,4,481,Q. rubra  ,.,.,.,.,.,yes,eaten from below 3-22-10 tag and stem taken
16,E,1,482,Q. rubra  ,123,123,130,130,134,no,bottom sprout; 1st leaf unfolded<130
16,E,3,210,A. rubrum ,.,.,.,.,.,yes,
16,E,4,64,B. lenta  ,.,.,.,.,.,yes,
17,N,2,65,B. lenta  ,.,.,.,.,.,yes,
17,N,3,211,A. rubrum ,106,106,116,118,144,no,bottom sprout; 3 buds broken-unsure
17,N,4,483,Q. rubra  ,106,109,118,123,140,no,bottom sprouts; frost 130; 3 buds broken-unsure
17,W,2,66,B. lenta  ,97,97,113,116,125,no,
17,W,3,484,Q. rubra  ,116,120,120,120,146,no,
17,W,4,212,A. rubrum ,95,99,106,116,130,no,bottom sprout
17,S,1,67,B. lenta  ,.,.,.,.,.,yes,
17,S,2,485,Q. rubra  ,116,116,123,123,144,no,frost damage 130
17,S,3,213,A. rubrum ,125,125,125,130,146,no,bottom sprouts; 1st bud break<125
17,E,1,214,A. rubrum ,97,97,102,113,130,no,"bottom sprout; 1st bud break<97, 3 buds broken-unsure"
17,E,2,486,Q. rubra  ,.,.,.,.,.,yes,
17,E,4,68,B. lenta  ,.,.,.,.,.,yes,
18,N,1,215,A. rubrum ,.,.,.,.,.,yes,
18,N,2,487,Q. rubra  ,104,104,116,120,125,no,dried stump? Sprouts
18,N,3,69,B. lenta  ,95,97,106,111,120,no,
18,W,1,488,Q. rubra  ,106,.,113,113,123,no,bottom sprout; 3 leaves unfolded-unsure
18,W,2,70,B. lenta  ,.,.,.,.,.,yes,
18,W,3,216,A. rubrum ,125,125,130,130,148,no,3 buds broken-unsure
18,S,2,489,Q. rubra  ,104,111,116,118,140,no,
18,S,3,217,A. rubrum ,.,.,.,.,.,yes,
18,S,4,71,B. lenta  ,99,99,113,116,130,no,
18,E,2,218,A. rubrum ,125,125,130,130,137,no,
18,E,3,72,B. lenta  ,95,97,106,113,123,no,d120- leaves black! -top 90% of tree dead 4-30-10
18,E,4,490,Q. rubra  ,95,106,102,113,120,no,bottom sprout
19,N,1,219,A. rubrum ,.,.,.,.,.,yes,eat from below <<3-22-10 (tag + stem taken)
19,N,2,73,B. lenta  ,95,97,105,113,120,no,
19,N,3,491,Q. rubra  ,106,.,111,113,123,no,bottom sprout
19,W,2,492,Q. rubra  ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag+stem taken)
19,W,3,220,A. rubrum ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag+stem taken)
19,W,4,74,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
19,S,1,221,A. rubrum ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag+stem taken)
19,S,2,493,Q. rubra  ,104,104,113,118,137,no,3 buds broken-unsure
19,S,4,75,B. lenta  ,97,99,111,113,125,no,
19,E,2,494,Q. rubra  ,106,106,111,116,123,no,bottom sprout; 3 buds broken-unsure
19,E,3,222,A. rubrum ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag+stem taken)
19,E,4,76,B. lenta  ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag+stem taken)
20,N,2,495,Q. rubra  ,104,104,111,113,116,no,bottom sprouts; 3 buds broken-unsure
20,N,3,77,B. lenta  ,95,95,102,102,120,no,looking sick-yellow 165
20,N,4,223,A. rubrum ,.,.,.,.,.,yes,
20,W,1,224,A. rubrum ,97,99,102,111,123,no,
20,W,3,496,Q. rubra  ,99,99,102,102,118,no,"bottom sprout; 3 buds broken, 3 leaves unfolded-unsure"
20,W,4,78,B. lenta  ,95,95,102,111,120,no,
20,S,1,79,B. lenta  ,95,95,99,106,120,no,
20,S,2,497,Q. rubra  ,102,102,106,109,116,no,
20,S,3,225,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
20,E,1,226,A. rubrum ,.,.,.,.,.,yes,
20,E,3,498,Q. rubra  ,111,.,111,113,123,no,bottom sprout
20,E,4,80,B. lenta  ,95,95,102,102,120,no,
21,N,2,227,A. rubrum ,.,.,.,.,.,yes,girdled
21,N,3,81,B. lenta  ,95,95,102,106,116,no,
21,N,4,499,Q. rubra  ,99,102,106,106,116,no,
21,W,1,82,B. lenta  ,125,125,125,125,125,no,"bottom sprout dead-165; 1st bud break, 3 buds broken<<125; 1st leaf unfolded, 3 leaves unfolded<125"
21,W,2,500,Q. rubra  ,102,106,111,111,116,no,
21,W,4,228,A. rubrum ,88,95,97,97,116,no,
21,S,1,229,A. rubrum ,99,102,104,111,116,no,
21,S,2,83,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
21,S,3,501,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
21,E,1,84,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
21,E,2,230,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
21,E,4,502,Q. rubra  ,99,.,106,113,116,no,being overtaken by a silene alba
22,N,1,503,Q. rubra  ,97,97,102,106,116,no,
22,N,2,231,A. rubrum ,99,102,109,113,120,no,
22,N,4,85,B. lenta  ,95,95,102,106,120,no,
22,W,1,504,Q. rubra  ,144,144,144,144,144,no,"1st bud break, 3 buds broken<<144; 1st leaf unfolded, 3 leaves unfolded<144"
22,W,2,86,B. lenta  ,.,.,.,.,.,yes,
22,W,4,232,A. rubrum ,111,113,116,116,123,no,
22,S,1,87,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
22,S,2,505,Q. rubra  ,.,.,.,.,.,yes,
22,S,4,233,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
22,E,2,506,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
22,E,3,88,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
22,E,4,234,A. rubrum ,99,99,111,113,120,no,
23,N,1,235,A. rubrum ,111,116,118,123,130,no,
23,N,3,89,B. lenta  ,95,95,102,104,120,no,
23,N,4,507,Q. rubra  ,99,.,113,113,125,no,3 leaves unfolded-unsure
23,W,1,508,Q. rubra  ,102,102,111,113,123,no,
23,W,2,236,A. rubrum ,113,116,120,123,130,no,
23,W,4,90,B. lenta  ,97,97,106,113,125,no,
23,S,1,509,Q. rubra  ,.,.,.,.,.,yes,
23,S,2,237,A. rubrum ,.,.,.,.,.,yes,
23,S,3,91,B. lenta  ,.,.,.,.,.,yes,
23,E,1,92,B. lenta  ,95,97,102,106,123,no,
23,E,2,238,A. rubrum ,.,.,.,.,.,yes,
23,E,4,510,Q. rubra  ,102,102,111,113,123,no,
24,N,1,239,A. rubrum ,95,99,102,116,130,no,"1st bud break, 1st leaf unfolded- bottom sprout"
24,N,2,93,B. lenta  ,95,97,106,111,123,no,
24,N,3,511,Q. rubra  ,106,116,116,120,130,no,bottom sprouts
24,W,1,94,B. lenta  ,95,95,106,113,123,no,
24,W,2,240,A. rubrum ,116,116,116,118,137,no,bottom sprout; 1st bud break<116; 3 buds broken-unsure
24,W,3,512,Q. rubra  ,.,.,.,.,.,yes,
24,S,1,513,Q. rubra  ,146,146,146,148,165,no,"1st bud break, 3 buds broken<146"
24,S,2,95,B. lenta  ,.,.,.,.,.,yes,belowground dmg (shaky) 3-22-10
24,S,4,241,A. rubrum ,116,120,1209,123,137,no,
24,E,2,96,B. lenta  ,95,97,106,113,125,no,
24,E,3,242,A. rubrum ,99,113,111,120,130,no,
24,E,4,514,Q. rubra  ,106,111,113,116,123,no,
25,N,1,243,A. rubrum ,.,.,.,.,.,yes,
25,N,3,97,B. lenta  ,.,.,.,.,.,yes,bud break on fallen barely attached stem
25,N,4,515,Q. rubra  ,116,116,125,130,.,yes,"bottom sprouts, 144 stem broken?; 5/5 btm resprout; 3 buds broken-unsure"
25,W,1,98,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
25,W,2,516,Q. rubra  ,125,125,125,130,137,no,"tag taken 3-22-10; nearly engulfed by plantago but alive 5/5; 1st bud break, 3 buds broken<125"
25,W,4,244,A. rubrum ,137,137,137,146,152,no,"bottom sprout chewed down <165; 1st bud break, 3 buds broken<137"
25,S,2,99,B. lenta  ,.,.,.,.,.,yes,
25,S,3,517,Q. rubra  ,113,116,120,120,130,no,engulfed by tansy
25,S,4,245,A. rubrum ,97,99,109,113,137,no,bottom sprouts; 3 buds broken-unsure
25,E,1,246,A. rubrum ,113,113,123,123,137,no,3 buds broken-unsure
25,E,2,100,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
25,E,4,518,Q. rubra  ,113,116,123,123,140,no,bottom sprout
26,N,1,519,Q. rubra  ,.,.,.,.,.,yes,
26,N,3,247,A. rubrum ,.,.,.,.,.,yes,
26,N,4,101,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
26,W,2,102,B. lenta  ,.,.,.,.,.,yes,tag and stem taken 3-22-10
26,W,3,248,A. rubrum ,97,97,113,118,140,no,"bottom sprout; 3 buds broken, 3 leaves unfolded-unsure"
26,W,4,520,Q. rubra  ,.,.,.,.,.,yes,
26,S,1,103,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
26,S,3,521,Q. rubra  ,102,116,116,120,123,no,
26,S,4,249,A. rubrum ,113,113,118,120,130,no,3 buds broken-unsure
26,E,1,250,A. rubrum ,97,97,111,111,120,no,bottom sprout; 3 buds broken-unsure
26,E,2,522,Q. rubra  ,.,.,.,.,.,yes,dead?
26,E,4,104,B. lenta  ,.,.,.,.,.,yes,
27,N,2,523,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
27,N,3,105,B. lenta  ,144,144,144,144,144,no,"girdled; 1st bud break, 3 buds broken<144"
27,N,4,251,A. rubrum ,120,120,123,123,140,no,bottom sprout; 3 buds broken-unsure
27,W,1,524,Q. rubra  ,.,.,.,.,.,yes,dead?
27,W,2,252,A. rubrum ,165,165,165,165,172,no,"new sprout; 1st bud break, 3 buds broken, 1st leaf unfolded<165"
27,W,3,106,B. lenta  ,.,.,.,.,.,yes,gone 3-22-10
27,S,1,525,Q. rubra  ,116,116,120,123,127,no,bottom sprouts; 3 buds broken-unsure
27,S,2,253,A. rubrum ,116,116,120,123,140,no,3 buds broken-unsure
27,S,3,107,B. lenta  ,123,123,123,123,123,no,"bottom sprouts; 1st bud break, 3 buds broken<<123; 1st leaf unfolded, 3 leaves unfolded<123"
27,E,1,526,Q. rubra  ,116,120,123,123,130,no,
27,E,3,108,B. lenta  ,120,120,120,120,123,no,"dead?; 1st bud break, 3 buds broken<120"
27,E,4,254,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
28,N,1,527,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
28,N,2,109,B. lenta  ,.,.,.,.,.,yes,
28,N,3,255,A. rubrum ,.,.,.,.,.,yes,
28,W,1,528,Q. rubra  ,99,102,106,106,118,no,bottom sprouts
28,W,2,110,B. lenta  ,99,.,.,.,116,no,bottom sp. Lives?
28,W,3,256,A. rubrum ,.,.,.,.,.,yes,
28,S,1,111,B. lenta  ,.,.,.,.,.,yes,dead?
28,S,2,257,A. rubrum ,95,95,95,95,123,no,"bottom sprout; 1st bud break<95; 3 buds broken, 3 leaves unfolded-unsure"
28,S,3,529,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
28,E,1,112,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
28,E,2,258,A. rubrum ,116,116,116,116,123,no,"bottom sp.; 1st bud break, 3 buds broken, 1st leaf unfolded<116"
28,E,3,530,Q. rubra  ,111,120,111,123,140,no,"badly chewed stump 3-22-10; 1st bud break, 1st leaf unfolded<111"
29,N,1,113,B. lenta  ,.,.,.,.,.,yes,dead?
29,N,3,259,A. rubrum ,99,.,111,116,123,no,bottom sprout; 3 leaves unfolded-unsure
29,N,4,531,Q. rubra  ,.,.,.,.,.,yes,
29,W,1,532,Q. rubra  ,104,116,120,123,137,no,
29,W,2,114,B. lenta  ,95,97,102,106,123,no,
29,W,3,260,A. rubrum ,99,102,106,111,123,no,
29,S,1,115,B. lenta  ,144,144,144,144,144,no,"tiny bottom sprout; 1st bud break, 3 buds broken<<144; 1st leaf unfolded, 3 leaves unfolded<144"
29,S,2,533,Q. rubra  ,102,106,113,113,123,no,3 leaves unfolded-unsure
29,S,3,261,A. rubrum ,99,99,111,111,123,no,
29,E,1,116,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
29,E,2,534,Q. rubra  ,.,.,.,.,.,yes,dead?
29,E,4,262,A. rubrum ,.,.,.,.,.,yes,dead?
30,N,2,535,Q. rubra  ,104,106,113,116,125,no,bottom sprout; vole chewed <165
30,N,3,117,B. lenta  ,165,.,165,175,175,yes,new tiny sprout 165; 1st bud break<165
30,N,4,263,A. rubrum ,111,111,113,116,140,no,
30,W,1,264,A. rubrum ,106,109,113,116,123,no,
30,W,2,536,Q. rubra  ,104,104,113,116,134,no,bottom sprout close to new tree; 3 buds broken-unsure
30,W,4,118,B. lenta  ,97,97,111,113,123,no,
30,S,2,537,Q. rubra  ,.,.,.,.,.,yes,dried stump?
30,S,3,119,B. lenta  ,97,97,113,116,125,no,
30,S,4,265,A. rubrum ,102,102,116,118,144,no,"bottom sprout; 3 buds broken, 3 leaves unfolded-unsure"
30,E,2,120,B. lenta  ,.,.,.,.,.,yes,
30,E,4,538,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
30,E,3,266,A. rubrum ,106,111,113,116,123,no,bottom sprout
31,N,1,539,Q. rubra  ,109,113,123,123,137,no,bottom sprout
31,N,3,121,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
31,N,4,267,A. rubrum ,95,95,102,102,137,no,"1st bud break- bottom sprout; 3 buds broken, 3 leaves unfolded-unsure"
31,W,1,122,B. lenta  ,102,106,116,118,123,no,
31,W,2,268,A. rubrum ,106,111,113,118,125,no,
31,W,3,540,Q. rubra  ,106,111,113,113,123,no,
