Plot,"Tree
plot","Plot 
loc.","Tree
ID",Species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,Comment
6,W,4,1333,A. rubrum ,120,120,120,120,127,no,"3 buds broken-unsure; 1st bud break, 3 buds broken <120"
6,S,2,1334,A. rubrum ,95,95,97,97,123,no,"stem dmg, resprouting from bottom "
6,S,3,1022,B. nigra  ,95,97,95,116,125,no,
6,S,4,1178,Q. rubra  ,.,.,.,.,.,yes,
6,E,1,1335,A. rubrum ,99,106,113,113,123,no,sugar maple volunteer
6,E,2,1023,B. nigra  ,165,165,165,165,165,yes,"dead? Girdled (resprout 165); sugar maple volunteer; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded < 165"
6,E,3,1179,Q. rubra  ,116,116,123,123,144,non,3 buds broken-unsure; full leaf expansion-hard to tell - heat dmg; sugar maple volunteer
7,N,1,1024,B. nigra  ,116,116,116,123,132,no,"3 buds broken-unsure; bottom sprout main stem girdled; 1st bud break, 3 buds broken< 116"
7,N,2,1336,A. rubrum ,152,152,152,152,152,no,"3 buds broken-unsure; girdled / new sprout 152; 1st bud break, 3 buds broken, 1st leaf expanded < 152"
7,N,3,1180,Q. rubra  ,.,.,.,.,.,yes,(mia - tag loose)
7,W,1,1337,A. rubrum ,97,97,106,111,132,no,3 buds broken; live @ bottom
7,W,2,1025,B. nigra  ,165,165,165,165,165,yes,"girdled resprouted @ bottom; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded < 165"
7,W,4,1181,Q. rubra  ,137,137,137,137,148,no,"3 buds broken-unsure; 1st bud break, 3 buds broken, 1st leaf unfolded < 137"
7,S,1,1338,A. rubrum ,120,123,123,125,158,no,bottom sprout
7,S,2,1026,B. nigra  ,102,102,106,116,127,no,bottom sprout; 3 buds broken-unsure
7,S,3,1182,Q. rubra  ,.,.,.,.,.,yes,eaten from below
7,E,1,1027,B. nigra  ,.,.,.,.,.,yes,girdled
7,E,2,1183,Q. rubra  ,144,144,144,144,144,no,"herbivore damage bottom sprout; 1st bud break and 3 buds broken-unsure; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded<< 144; full leaf expansion<144"
7,E,3,1339,A. rubrum ,106,106,111,111,137,no,bottom sprout; 3 buds broken-unsure; 3 leaves unfolded-unsure
8,N,1,1028,B. nigra  ,.,.,.,.,.,yes,stem chewed off
8,N,2,1184,Q. rubra  ,165,165,165,165,165,no,"new sprout 165; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded <165"
8,N,4,1340,A. rubrum ,97,102,113,118,140,no,top dead?
8,W,1,1185,Q. rubra  ,111,123,125,132,148,n,bottom sprouts
8,W,2,1029,B. nigra  ,95,95,97,99,123,no,
8,W,3,1341,A. rubrum ,144,144,144,144,146,yes,"3 buds broken-unsure; 1st bud break, 3 buds broken<<144; 1st leaf unfolded<144"
8,S,1,1030,B. nigra  ,95,99,120,120,140,no,(dead? 4-16-10) bottom sprout
8,S,2,1186,Q. rubra  ,111,111,123,125,140,no,sprout from base; 3 buds broken-unsure
8,S,3,1342,A. rubrum ,.,.,.,.,.,yes,
8,E,1,1343,A. rubrum ,95,95,102,102,140,no,3 buds broken-unsure; 3 leaves unfolded-unsure
8,E,2,1187,Q. rubra  ,144,144,146,146,165, no,"bottom sprout, new sprout day 144"
8,E,3,1031,B. nigra  ,99,99,106,111,125,no,
9,N,1,1344,A. rubrum ,88,95,95,95,116,no,resprouting from bottom;  3 buds broken-unsure; 3 leaves unfolded-unsure
9,N,3,1188,Q. rubra  ,.,.,.,.,.,yes,gone (loose tag) -eaten from below (3-22-10)
9,N,4,1032,B. nigra  ,.,.,.,.,.,yes,eaten from below (3-22-10)
9,W,1,2188,Q. rubra  ,.,.,.,.,.,yes,gone (loose tag)
9,W,2,1034,B. nigra  ,95,95,97,99,116,no,
9,W,3,1345,A. rubrum ,.,.,.,.,.,yes,gone (loose tag)
9,S,2,1190,Q. rubra  ,104,104,111,116,123,no,bottom sprouts; 3 buds broken-unsure
9,S,3,1346,A. rubrum ,.,.,.,.,.,yes,
9,S,4,1034,B. nigra  ,95,95,99,106,116,no,
9,E,1,2143,B. nigra  ,.,.,.,.,.,yes,eaten from below (<3-22-10)
9,E,2,1191,Q. rubra  ,.,.,.,.,.,yes,stem chewed off (3-22-10)
9,E,4,1498,A. rubrum ,95,111,106,116,125,no,bottom sprouts?
10,N,1,1036,B. nigra  ,95,95,97,99,116,no,
10,N,3,1192,Q. rubra  ,111,.,116,118,134,no,
10,N,4,1348,A. rubrum ,95,95,104,120,125,no,
10,W,1,1193,Q. rubra  ,.,.,.,.,.,yes,
10,W,2,1037,B. nigra  ,95,95,99,102,125,no,bottom sprout; 3 buds broken/ 3 leaves unfolded-unsure
10,W,4,1349,A. rubrum ,120,123,123,125,134,no,
10,S,1,2103,B. nigra  ,95,95,99,102,120,no,full leaf expansion-hard to tell with insect damage
10,S,2,1350,A. rubrum ,106,111,113,116,127,no,
10,S,4,1194,Q. rubra  ,111,.,113,116,130,yes,herbivore damage bottom sprouts
10,E,1,1039,B. nigra  ,.,.,.,.,.,yes,
10,E,3,1351,A. rubrum ,111,113,116,118,130,no,
10,E,4,2187,Q. rubra  ,111,116,116,120,125,no,bottom sprout; 3 buds broken- unsure
11,N,2,1352,A. rubrum ,97,106,111,116,118,no,
11,N,3,1040,B. nigra  ,95,95,99,111,123,no,full leaf expansion-hard to tell- eaten
11,N,4,1196,Q. rubra  ,165,165,165,165,172,no,"resprout btm 165; 1st bud break, 3 buds broken, 1st leaf unfolded<165"
11,W,1,1138,B. nigra  ,.,.,.,.,.,yes,
11,W,3,1197,Q. rubra  ,109,109,123,123,132,no,bottom sprout; 3 buds broken-unsure
11,W,4,1353,A. rubrum ,95,95,99,99,116,no,"bottom sprouts; 3 buds broken-unsure; 3 leaves unfolded, full leaf expansion - unsure"
11,S,1,1042,B. nigra  ,95,97,106,106,125,no,
11,S,2,1198,Q. rubra  ,106,109,113,120,127,no,
11,S,4,1354,A. rubrum ,95,116,106,116,140,no,3 buds broken<116
11,E,1,1199,Q. rubra  ,.,.,.,.,.,yes,
11,E,3,2111,B. nigra  ,95,99,113,118,125,no,
11,E,4,1355,A. rubrum ,95,116,111,118,125,no,
12,N,1,1200,Q. rubra  ,.,.,.,.,.,yes,
12,N,3,1044,B. nigra  ,95,95,102,116,127,no,many leaves eaten - 127; full leaf expansion-unsure
12,N,4,1356,A. rubrum ,104,109,116,120,137,no,
12,W,1,1201,Q. rubra  ,106,113,113,116,125,no,
12,W,2,1357,A. rubrum ,99,99,111,111,123,no,
12,W,4,1045,B. nigra  ,118,.,118,118,123,no,"bottom sprouts; 1st bud break, 1st leaf unfolded<118"
12,S,1,1046,B. nigra  ,.,.,.,.,.,yes,
12,S,2,1358,A. rubrum ,102,102,113,113,144,no,low sprout; 3 buds broken-unsure; 3 leaves unfolded-unsure
12,S,4,1202,Q. rubra  ,125,.,134,137,146,no,
12,E,2,1203,Q. rubra  ,116,116,125,130,146,no,3 buds broken-unsure
12,E,3,1359,A. rubrum ,113,123,120,123,137,no,vole chopped down < 165
12,E,4,2131,B. nigra  ,.,.,.,.,.,no,
13,N,2,1204,Q. rubra  ,.,.,.,.,.,yes,
13,N,3,1360,A. rubrum ,99,99,120,120,123,no,stem chewed off (<<3-22-10) resprout; 3 buds broken/3 leaves unfolded-unsure
13,N,4,1048,B. nigra  ,.,.,.,.,.,yes,
13,W,1,1205,Q. rubra  ,.,.,.,.,.,yes,
13,W,2,1361,A. rubrum ,95,95,106,116,118,no,3 buds broken/full leaf expansion-unsure
13,W,3,1049,B. nigra  ,.,.,.,.,.,yes,(tag and stem taken 3-22-10) eaten from below
13,S,1,2113,B. nigra  ,.,.,.,.,.,yes,
13,S,2,1362,A. rubrum ,120,120,123,123,134,no,bottom sprout; 3 buds broken/ 3 leaves unfolded-unsure
13,S,3,1206,Q. rubra  ,.,.,.,.,.,yes,
13,E,1,1363,A. rubrum ,.,.,.,.,.,yes,
13,E,2,1207,Q. rubra  ,.,.,.,.,.,yes,
13,E,3,1061,B. nigra  ,.,.,.,.,.,yes,(tag and stem taken) eaten from below
14,N,1,1208,Q. rubra  ,113,120,120,120,123,no,3 buds broken < 120
14,N,2,1365,A. rubrum ,116,116,123,123,137,no,3 buds broken-unsure
14,N,3,1052,B. nigra  ,95,95,99,99,116,no,
14,W,1,1053,B. nigra  ,.,.,.,.,.,yes,
14,W,2,1366,A. rubrum ,.,.,.,.,.,yes,
14,W,3,1209,Q. rubra  ,.,.,.,.,.,yes,(tag and stem taken) eaten from below
14,S,2,1210,A. rubrum ,.,.,.,.,.,yes,
14,S,3,1054,B. nigra  ,.,.,.,.,.,yes,
14,S,4,1364,Q. rubra  ,.,.,.,.,.,yes,
14,E,1,1055,B. nigra  ,.,.,.,.,.,yes,
14,E,3,1211,Q. rubra  ,120,120,123,123,130,no,
14,E,4,1367,A. rubrum ,116,120,123,123,127,no,cut 160 CEG (biomass collection)
15,N,1,1510,A. rubrum ,97,97,106,111,130,no,3 buds broken-unsure
15,N,2,1212,Q. rubra  ,165,165,165,165,165,no,"resprout form btm; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded < 165"
15,N,4,1056,B. nigra  ,95,99,111,116,127,no,herbivory (heavy) + frost?
15,W,1,1369,A. rubrum ,144,144,144,144,146,no,"chewed off < 3-22-10; 3 buds broken - unsure; 1st bud break, 2 buds broken< 144"
15,W,2,1057,B. nigra  ,97,99,106,113,123,no,
15,W,3,2156,Q. rubra  ,99,99,102,106,116,no,3 buds broken-unsure
15,S,1,1058,B. nigra  ,95,97,106,111,116,no,
15,S,2,1214,Q. rubra  ,.,.,.,.,.,yes,
15,S,3,1370,A. rubrum ,.,.,.,.,.,yes,
15,E,1,1371,A. rubrum ,.,.,.,.,.,yes,
15,E,2,1059,B. nigra  ,95,99,111,116,134,no,
15,E,3,1215,Q. rubra  ,116,.,116,116,144,no,full leaf expansion-hard to tell - herbivory; 3 leaves unfolded-unsure; 1st bud break< 116
16,N,1,1372,A. rubrum ,123,123,123,123,127,no,"top chewed off 3-22-10; 1st bud break, 3 buds broken< 123"
16,N,2,1060,B. nigra  ,.,.,.,.,.,no,
16,N,3,1216,Q. rubra  ,.,.,.,.,.,no,
16,W,1,1217,Q. rubra  ,.,.,.,.,.,yes,
16,W,3,1061,B. nigra  ,.,.,.,.,.,yes,top chewed off 3-22-10
16,W,4,1373,A. rubrum ,.,.,.,.,.,yes,
16,S,1,1512,A. rubrum ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag and stem taken)
16,S,3,1062,B. nigra  ,.,.,.,.,.,yes,
16,S,4,1218,Q. rubra  ,.,.,.,.,.,yes,
16,E,1,1219,Q. rubra  ,144,144,144,144,144,no,"3 buds broken-unsure; 1st bud break, 3 buds broken< 144"
16,E,3,1375,A. rubrum ,95,99,106,106,116,yes,herbivore dmg; bottom sprout
16,E,4,1062,B. nigra  ,116,120,120,123,130,no,bottom sprout?
17,N,2,1107,B. nigra  ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag and stem taken)
17,N,3,1376,A. rubrum ,144,144,146,146,168,no,this tree was overlooked during full leaf exp.; 3 buds broken-unsure; full leaf expansion<<168
17,N,4,1220,Q. rubra  ,123,123,123,123,140,no,"gone (loose tage taken) 3-22-10; 1st bud break, 3 buds broken< 123"
17,W,2,1065,B. nigra  ,95,99,106,118,125,no,
17,W,3,1221,Q. rubra  ,116,116,116,118,123,no,top chewed off bottom sprout; 3 buds broken-unsure; 1st bud break < 116
17,W,4,1377,A. rubrum ,.,.,.,.,.,yes,
17,S,1,1066,B. nigra  ,95,95,106,111,118,no,
17,S,2,1222,Q. rubra  ,.,.,.,.,.,no,
17,S,3,1378,A. rubrum ,95,95,123,123,137,no,bottom sprout; 3 buds broken-unsure
17,E,1,1379,A. rubrum ,125,130,134,140,146,no,bottom sprouts
17,E,2,1223,Q. rubra  ,.,.,.,.,.,yes,
17,E,4,1067,B. nigra  ,.,.,.,.,.,no,
18,N,1,1380,A. rubrum ,120,120,120,123,132,no,1st bud break< 120
18,N,2,1068,B. nigra  ,165,.,.,.,.,no,bottom sprout/ new sprout 165 (1st resprout missing)
18,N,3,1224,Q.rubra,123,123,137,137,146,no,bottom sprouts
18,W,1,1225,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
18,W,2,1069,B. nigra  ,97,99,111,113,123,no,
18,W,3,1381,A. rubrum ,95,95,97,102,127,no,bottom sprout; 3 buds broken-unsure
18,S,2,1226,Q. rubra  ,104,104,116,116,123,no,bottom sprout; 3 buds broken-unsure
18,S,3,1382,A. rubrum ,95,95,111,116,123,no,bottom sprouts; 3 buds broken-unsure; 3 leaves unfolded-unsure
18,S,4,1070,B. nigra  ,95,95,106,106,134,no,bottom sprout only top dead?; 3 leaves unfolded-unsure
18,E,2,1383,A. rubrum ,125,125,125,130,144,no,
18,E,3,1071,B. nigra  ,.,.,.,.,.,yes,eaten from below (3-22-10) tag and stem taken
18,E,4,2185,Q. rubra  ,146,146,148,148,152,no,new sprout
19,N,1,1384,A. rubrum ,.,.,.,.,.,no,
19,N,2,1072,B. nigra  ,.,.,.,.,.,no,
19,N,3,1228,Q. rubra  ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag and stem taken)
19,W,2,1229,Q. rubra  ,.,.,.,.,.,yes,gone  (loose tag) tag taken
19,W,3,1385,A. rubrum ,95,95,97,97,118,no,bottom sprout; 3 buds broken;3 leaves unfolded-unsure
19,W,4,1073,B. nigra  ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag and stem taken)
19,S,1,1386,A. rubrum ,.,.,.,.,.,yes,eaten from below 3-22-10 (tag and stem taken)
19,S,2,1230,Q. rubra  ,104,104,113,116,132,no,bottom sprouts; 3 buds broken-unsure
19,S,4,1074,B. nigra  ,.,.,.,.,.,yes,gone
19,E,2,1313,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
19,E,3,1387,A. rubrum ,95,97,95,102,120,no,full leaf expansion-hard to tell; 1st bud break<95
19,E,4,1075,B. nigra  ,.,.,.,.,.,yes,
20,N,2,1232,Q. rubra  ,116,116,116,120,130,no,"dead?; 1st bud break, 3 buds broken< 116"
20,N,3,1076,B. nigra  ,168,168,168,168,168,no,"resprout bottom 165; actually leaves exist already 168; 3 buds broken/3 leaves unfolded-unsure; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded<<168; full leaf expansion<168"
20,N,4,1388,A. rubrum ,125,125,125,125,125,no,"1st bud break, 3 buds broken<<125; 1st leaf unfolded, 3 leaves unfolded< 125"
20,W,1,1389,A. rubrum ,.,.,.,.,.,yes,
20,W,3,1233,Q. rubra  ,99,99,102,109,123,no,bottom sprout; 3 buds broken-unsure
20,W,4,1077,B. nigra  ,165,165,165,168,168,no,"resprout btm 165; 1st bud break, 3 buds broken< 165"
20,S,1,1078,B. nigra  ,95,95,95,99,116,no,bottom sprouts; 3 buds broken/3 leaves unfolded-unsure
20,S,2,1234,Q. rubra  ,104,104,111,113,120,no,bottom sprout; 3 buds broken-unsure
20,S,3,1480,A. rubrum ,104,104,106,106,123,no,3 buds broken/3 leaves unfolded-unsure
20,E,1,1391,A. rubrum ,.,.,.,.,.,yes,
20,E,3,1235,Q. rubra  ,111,116,116,120,130,no,bottom sprout
20,E,4,1079,B. nigra  ,165,165,165,165,165,no,"new btm sprouts 165; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded< 165"
21,N,2,1513,A. rubrum ,88,88,95,95,97,no,bottom sprout; drying up 146; dead 165; 3 buds broken/3 leaves unfolded-unsure
21,N,3,1080,B. nigra  ,.,.,.,.,.,yes,
21,N,4,1314,Q. rubra  ,.,.,.,.,.,yes,eaten from below; tag and stem taken (3-22-10)
21,W,1,1080,B. nigra  ,.,.,.,.,.,yes,
21,W,2,1237,Q. rubra  ,97,97,99,99,113,no,3 buds broken/ 3 leaves unfolded-unsure
21,W,4,1519,A. rubrum ,106,106,111,116,120,no,3 buds broken-unsure
21,S,1,1520,A. rubrum ,99,99,111,113,118,no,3 buds broken-unsure
21,S,2,1082,B. nigra  ,.,.,.,.,.,yes,tag taken 3-22-10
21,S,3,1238,Q. rubra  ,.,.,.,.,.,yes,
21,E,1,1083,B. nigra  ,.,.,.,.,.,yes,
21,E,2,1522,A. rubrum ,81,95,95,95,106,no,bottom sprout
21,E,4,2158,Q. rubra  ,.,.,.,.,.,yes,
22,N,1,2169,Q. rubra  ,.,.,.,.,.,yes,
22,N,2,1526,A. rubrum ,104,104,113,113,125,no,3 buds broken/ 3 leaves unfolded-unsure
22,N,4,1084,B. nigra  ,97,97,102,106,125,no,
22,W,1,2172,Q. rubra  ,.,.,.,.,.,yes,
22,W,2,1085,B. nigra  ,.,.,.,.,.,yes,
22,W,4,1396,A. rubrum ,95,95,97,97,111,no,bottom sprouts; 3 buds broken/3 leaves unfolded-unsure
22,S,1,1086,B. nigra  ,.,.,.,.,.,yes,tag taken 3-22-10
22,S,2,2164,Q. rubra  ,.,.,.,.,.,yes,
22,S,4,1521,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
22,E,2,1312,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
22,E,3,1087,B. nigra  ,.,.,.,.,.,yes,
22,E,4,1523,A. rubrum ,106,106,111,113,123,no,
23,N,1,1511,A. rubrum ,120,120,123,123,140,no,
23,N,3,1088,B. nigra  ,165,165,165,.,.,no,"new btm sp. 165; 172 - no evidence of leaves at all!; 1st bud break, 3 buds broken< 165"
23,N,4,1244,Q. rubra  ,116,116,116,120,130,no,bottom sprouts; 3 buds unbroken-unsure
23,W,1,1245,Q. rubra  ,123,123,127,130,146,no,bottom sprout; 3 buds unbroken-unsure
23,W,2,1401,A. rubrum ,102,113,113,116,127,no,
23,W,4,1089,B. nigra  ,95,95,97,99,116,no,
23,S,1,1247,Q. rubra  ,.,.,.,.,.,yes,
23,S,2,1402,A. rubrum ,.,.,.,.,.,yes,
23,S,3,1090,B. nigra  ,.,.,.,.,.,yes,
23,E,1,1091,B. nigra  ,95,95,102,123,125,no, full leaf expansino-hard to tell-herbivory
23,E,2,1527,A. rubrum ,125,125,125,125,125,no,"1st bud break, 3 buds broken<<125; 1st leaf unfolded, 3 leaves unfolded< 125"
23,E,4,1246,Q. rubra  ,99,99,102,106,123,no,
24,N,1,1316,A. rubrum ,97,116,106,120,130,no,
24,N,2,1092,B. nigra  ,146,146,146,146,146,no,"bottom sprout; 3 buds broken/ 3 leaves unfolded-unsure; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded<146"
24,N,3,1248,Q. rubra  ,116,116,123,123,146,no,bottom sprout; 3 buds broken-unsure
24,W,1,1093,B. nigra  ?,95,95,95,95,99,no,"prunus? Bottom sprout LIVE; 1st bud break, 3 buds broken, 1st leaf unfolded<95"
24,W,2,1405,A. rubrum ,116,118,120,123,144,no,
24,W,3,1249,Q. rubra  ,.,.,.,.,.,yes,
24,S,1,1250,Q. rubra  ,120,120,120,120,134,no,"bottom sprout; 3 buds broken-unsure; 1st bud break, 3 buds broken<120"
24,S,2,1094,B. nigra  ,95,95,97,99,.,no,?dying (113)
24,S,4,1406,A. rubrum ,102,102,106,106,127,no,bottom sprout; 3 buds broken/ 3 leaves unfolded-unsure
24,E,2,1095,B. nigra  ,.,.,.,.,.,no,
24,E,3,1407,A. rubrum ,120,120,123,125,146,no,3 buds broken-unsure
24,E,4,1251,Q. rubra  ,165,165,165,165,165,no ,new sprout; all < 165
25,N,1,1408,A. rubrum ,106,106,116,118,137,no,3 buds broken/3 leaves unfolded-unsure
25,N,3,1096,B. nigra  ,.,.,.,.,.,yes,
25,N,4,2163,Q. rubra  ,.,.,.,.,.,yes,
25,W,1,1097,B. nigra  ,.,.,.,.,.,yes,tag taken 3-22-10
25,W,2,1253,Q. rubra  ,109;144,109;144,113;144,116;146,.;148,no,d120-leaves; frost bitten?
25,W,4,1469,A. rubrum ,.,.,.,.,.,yes,
25,S,2,1098,B. nigra  ,.,.,.,.,.,yes,
25,S,3,1254,Q. rubra  ,.,.,.,.,.,yes,
25,S,4,1515,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
25,E,1,1411,A. rubrum ,146,146,146,146,146,no,"1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded < 146"
25,E,2,1099,B. nigra  ,.,.,.,.,.,yes,tag taken 3-22-10
25,E,4,1255,Q. rubra  ,111,111,123,125,144,no,3 buds broken-unsure
26,N,1,1256,Q. rubra  ,.,.,.,.,.,yes,
26,N,3,1412,A. rubrum ,95,95,102,102,123,no,bottom sprout; 3 buds broken/ 3 leaves unfolded-unsure
26,N,4,1100,B. nigra  ,.,.,.,.,.,yes,
26,W,2,2140,B. nigra  ,.,.,.,.,.,yes,
26,W,3,1413,A. rubrum ,99,99,113,116,130,no,3 buds broken
26,W,4,1257,Q. rubra  ,120,120,123,123,140,no,
26,S,1,1102,B. nigra  ,.,.,.,.,.,yes,
26,S,3,1258,Q. rubra  ,106,106,111,116,123,no,bottom sprout; 3 buds broken-unsure
26,S,4,1414,A. rubrum ,106,106,113,120,130,no,
26,E,1,1415,A. rubrum ,102,118,111,118,140,no,3 buds broken-unsure
26,E,2,1259,Q. rubra  ,.,.,.,.,.,yes,
26,E,4,1103,B. nigra  ,.,.,.,.,.,yes,
27,N,2,1260,Q. rubra  ,.,.,.,.,.,yes,
27,N,3,1104,B. nigra  ,.,.,.,.,.,yes,
27,N,4,1416,A. rubrum ,.,.,.,.,.,yes,Acer saccharum imposter!
27,W,1,1261,Q. rubra  ,.,.,.,.,.,yes,dead?
27,W,2,1417,A. rubrum ,111,116,116,118,.,yes,3 leaves unfolded-unsure
27,W,3,1105,B. nigra  ,.,.,.,.,.,yes,dead?
27,S,1,1262,Q. rubra  ,123,123,123,123,127,no,"1 of 2 sprouts trimmed to 10cm 165; 1st bud break, 3 buds broken< 123"
27,S,2,1418,A. rubrum ,.,.,.,.,.,yes,
27,S,3,1106,B. nigra  ,95,95,102,106,118,no,top chewed off 3-22-10; bottom sprouts
27,E,1,1263,Q. rubra  ,.,.,.,.,.,yes,
27,E,3,2135,B. nigra  ,.,.,.,.,.,yes,
27,E,4,1419,A. rubrum ,.,.,.,.,.,yes,
28,N,1,1264,Q. rubra  ,104,106,111,111,130,no,bottom sprouts
28,N,2,1108,B. nigra  ,102,102,102,102,116,no,"bottom sprouts (hidden @ 151); 1st bud break, 3 buds broken<102"
28,N,3,1420,A. rubrum ,95,95,95,95,97,no,"bottom sprouts; 3 leaves unfolded-unsure; 1st bud break, 3 buds broken<95"
