site,block,plot,temptreat,target,reported,temptreat_units,preciptreat,preciptreat_amt,preciptreat_units
sherry,NA,6,0,NA,NA,NA,0,NA,NA
sherry,NA,7,1,NA,NA,NA,0,NA,NA
sherry,NA,8,0,NA,NA,NA,1,NA,NA
sherry,NA,9,1,4.17,4.17,C,1,200,perc
sherry,NA,10,0,NA,NA,NA,0,NA,NA
sherry,NA,11,0,NA,NA,NA,1,NA,NA
sherry,NA,12,1,NA,NA,NA,0,NA,NA
sherry,NA,13,1,4.17,4.17,C,1,200,perc
sherry,NA,14,0,NA,NA,NA,0,NA,NA
sherry,NA,15,1,NA,NA,NA,0,NA,NA
sherry,NA,16,0,NA,NA,NA,1,NA,NA
sherry,NA,17,1,4.17,4.17,C,1,200,perc
sherry,NA,18,0,NA,NA,NA,0,NA,NA
sherry,NA,19,1,NA,NA,NA,0,NA,NA
sherry,NA,20,0,NA,NA,NA,1,NA,NA
dunne,NA,1,ambient,NA,NA,NA,NA,NA,NA
dunne,NA,10,1,1.5,"1.2, 1.9",C,NA,NA,NA
dunne,NA,2,1,1.5,"1.2, 1.9",C,NA,NA,NA
dunne,NA,3,ambient,NA,NA,NA,NA,NA,NA
dunne,NA,4,1,1.5,"1.2, 1.9",C,NA,NA,NA
dunne,NA,5,ambient,NA,NA,NA,NA,NA,NA
dunne,NA,6,1,1.5,"1.2, 1.9",C,NA,NA,NA
dunne,NA,7,ambient,NA,NA,NA,NA,NA,NA
dunne,NA,8,1,1.5,"1.2, 1.9",C,NA,NA,NA
dunne,NA,9,ambient,NA,NA,NA,NA,NA,NA
price,NA,1,ambient,NA,NA,NA,NA,NA,NA
price,NA,10,1,1,NA,C,NA,NA,NA
price,NA,2,1,1,NA,C,NA,NA,NA
price,NA,3,ambient,NA,NA,NA,NA,NA,NA
price,NA,4,1,1,NA,C,NA,NA,NA
price,NA,5,ambient,NA,NA,NA,NA,NA,NA
price,NA,6,1,1,NA,C,NA,NA,NA
price,NA,7,ambient,NA,NA,NA,NA,NA,NA
price,NA,8,1,1,NA,C,NA,NA,NA
price,NA,9,ambient,NA,NA,NA,NA,NA,NA
force,1,1A,0,NA,NA,NA,0,NA,NA
force,2,2A,0,NA,NA,NA,0,NA,NA
force,3,3A,0,NA,NA,NA,0,NA,NA
force,4,4A,0,NA,NA,NA,0,NA,NA
force,1,1B,1,2,2.3,C,1,120,perchistmean
force,2,2B,1,2,2.3,C,1,120,perchistmean
force,3,3B,1,2,2.3,C,1,120,perchistmean
force,4,4B,1,2,2.3,C,1,120,perchistmean
force,1,1H,1,NA,NA,NA,0,NA,NA
force,2,2H,1,NA,NA,NA,0,NA,NA
force,3,3H,1,NA,NA,NA,0,NA,NA
force,4,4H,1,NA,NA,NA,0,NA,NA
force,1,1W,0,NA,NA,NA,1,NA,NA
force,2,2W,0,NA,NA,NA,1,NA,NA
force,3,3W,0,NA,NA,NA,1,NA,NA
force,4,4W,0,NA,NA,NA,1,NA,NA
chuine,NA,NA,0,NA,NA,NA,NA,NA,NA
chuine,d,d2,1,1.5,1.5,C,-1,70,perc
chuine,a,a1,1,NA,NA,NA,0,NA,NA
chuine,b,b2,1,1.5,1.5,C,-1,70,perc
chuine,e,e1,1,NA,NA,NA,0,NA,NA
chuine,b,b4,1,NA,NA,NA,0,NA,NA
chuine,c,c6,1,1.5,1.5,C,-1,70,perc
chuine,c,c5,1,NA,NA,NA,0,NA,NA
chuine,d,d5,1,NA,NA,NA,0,NA,NA
chuine,e,e5,1,1.5,1.5,C,-1,70,perc
chuine,a,a6,1,1.5,1.5,C,-1,70,perc
chuine,d,d1,2,3,3,C,-1,70,perc
chuine,d,d3,2,NA,NA,NA,0,NA,NA
chuine,e,e3,2,NA,NA,NA,0,NA,NA
chuine,c,c4,2,3,3,C,-1,70,perc
chuine,c,c2,2,NA,NA,NA,0,NA,NA
chuine,a,a2,2,3,3,C,-1,70,perc
chuine,b,b6,2,NA,NA,NA,0,NA,NA
chuine,a,a4,2,NA,NA,NA,0,NA,NA
chuine,e,e4,2,3,3,C,-1,70,perc
chuine,b,b3,2,3,3,C,-1,70,perc
chuine,b,b1,ambient,NA,NA,NA,0,NA,NA
chuine,c,c3,ambient,NA,NA,NA,0,NA,NA
chuine,e,e2,ambient,NA,NA,NA,0,NA,NA
chuine,d,d4,ambient,NA,NA,NA,-1,NA,NA
chuine,a,a5,ambient,NA,NA,NA,0,NA,NA
chuine,d,d6,ambient,NA,NA,NA,0,NA,NA
chuine,e,e6,ambient,NA,NA,NA,-1,NA,NA
chuine,b,b5,ambient,NA,NA,NA,-1,NA,NA
chuine,a,a3,ambient,NA,NA,NA,-1,NA,NA
chuine,c,c1,ambient,NA,NA,NA,-1,NA,NA
cleland,1,1,ambient,NA,NA,NA,1,NA,NA
cleland,1,2,1,1.5,1,C,1,150,perc
cleland,1,3,1,NA,NA,NA,0,NA,NA
cleland,1,4,ambient,NA,NA,NA,1,NA,NA
cleland,3,5,ambient,NA,NA,NA,0,NA,NA
cleland,3,6,1,1.5,1,C,1,150,perc
cleland,2,7,ambient,NA,NA,NA,1,NA,NA
cleland,2,8,ambient,NA,NA,NA,1,NA,NA
cleland,2,9,1,1.5,1,C,1,150,perc
cleland,3,10,ambient,NA,NA,NA,0,NA,NA
cleland,3,11,1,1.5,1,C,1,150,perc
cleland,2,12,1,NA,NA,NA,0,NA,NA
cleland,4,13,ambient,NA,NA,NA,0,NA,NA
cleland,4,14,1,NA,NA,NA,0,NA,NA
cleland,5,15,1,NA,NA,NA,0,NA,NA
cleland,5,16,1,NA,NA,NA,0,NA,NA
cleland,5,17,ambient,NA,NA,NA,1,NA,NA
cleland,5,18,ambient,NA,NA,NA,0,NA,NA
cleland,6,19,1,1.5,1,C,1,150,perc
cleland,6,20,1,1.5,1,C,1,150,perc
cleland,6,21,ambient,NA,NA,NA,1,NA,NA
cleland,8,22,1,1.5,1,C,1,150,perc
cleland,8,23,ambient,NA,NA,NA,0,NA,NA
cleland,8,24,1,1.5,1,C,1,150,perc
cleland,8,25,ambient,NA,NA,NA,1,NA,NA
cleland,4,26,1,1.5,1,C,1,150,perc
cleland,7,27,ambient,NA,NA,NA,0,NA,NA
cleland,7,28,ambient,NA,NA,NA,0,NA,NA
cleland,7,29,1,NA,NA,NA,0,NA,NA
cleland,7,30,1,1.5,1,C,1,150,perc
cleland,6,31,ambient,NA,NA,NA,1,NA,NA
cleland,4,32,ambient,NA,NA,NA,0,NA,NA
cleland,1,33,ambient,NA,NA,NA,0,NA,NA
cleland,4,34,ambient,NA,NA,NA,0,NA,NA
cleland,6,35,ambient,NA,NA,NA,0,NA,NA
cleland,8,36,ambient,NA,NA,NA,0,NA,NA
